stop_name,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ABBASANTA,1.251249107780157,0.0,29,1401,205,131,79,40.128801,8.817733
ABBIATEGRASSO,2.9788090128755367,2.0,57,3728,1105,596,209,45.400631,8.921305
ACQUAVIVA,3.0137322216772926,2.0,30,2039,721,327,61,37.570258,13.674927
ACQUAVIVA DELLE FONTI,1.0412156536219817,1.0,36,2402,158,74,35,40.892806,16.839826
ACQUEDOLCI-S.FRATELLO,0.27212020033388984,0.0,18,1198,93,57,22,38.058459,14.587597
ADRIA,0.8740648379052369,-1.0,15,802,112,66,33,45.06058,12.054228
AFRICO NUOVO,4.0,2.0,10,709,247,143,57,38.053759,16.144283
ALBA,0.5326170376055257,0.0,18,1303,104,34,15,44.697713,8.030629
ALBENGA,4.21236166214241,3.0,91,4789,2181,1423,452,44.04722,8.221663
ALBISOLA,1.9523715803975594,1.0,101,5081,798,428,139,44.33469,8.512092
ALLERONA-CASTEL VISCARDO,3.536281179138322,2.0,12,882,229,114,59,42.78502,12.035236
ALPIGNANO,6.368421052631579,4.0,17,19,10,8,4,45.091077,7.523745
ALTARE,1.3159851301115242,0.0,11,807,77,61,32,44.336169,8.332753
ALTAVILLA M.,0.056943056943056944,0.0,52,3003,166,61,12,38.048392,13.554421
ANAGNI-FIUGGI,1.6046289668336913,1.0,79,4191,677,383,101,41.71037,13.09597
ANCONA TORRETTE,6.166666666666667,2.0,6,6,2,1,1,43.609936,13.455777
ANDORA,2.5813076278290024,1.0,41,2386,749,491,124,,
ANTIGNANO,4.346938775510204,2.0,13,49,18,11,5,43.492482,10.328827
ARBOSTELLA,0.3799126637554585,0.0,61,229,4,2,0,40.677263,15.623814
ARCE,2.602962962962963,1.0,14,675,151,84,32,41.583695,13.571848
ARCISATE,2.6280400572246068,2.0,137,6990,1335,677,209,45.858579,8.86241
ARGENTA,2.323162870648904,2.0,36,2327,482,188,67,44.616867,11.841267
ARONA,1.54150390625,1.0,99,4096,1095,673,221,45.755392,8.559075
AROSIO,0.003952569169960474,0.0,49,3289,0,0,0,,
ARQUATA SCRIVIA,1.4024137931034484,1.0,81,5800,1321,827,291,44.692533,8.885342
ASCOLI PICENO,-1.3509700176366843,-2.0,26,1134,59,42,23,42.855474,13.587939
ASTI,2.0624265569917744,1.0,105,6808,1631,846,254,44.89479,8.208112
AUGUSTA,3.170522707797772,1.0,55,2334,568,408,219,37.24334,15.218628
AVEZZANO,1.1454280155642023,0.0,37,2056,342,198,100,42.039495,13.426446
AVOLA,2.1650943396226414,1.0,19,1060,185,113,55,36.907434,15.125733
BADOLATO,4.160857908847185,4.0,6,373,197,127,27,38.572268,16.567646
BAGNACAVALLO,4.731274638633377,3.0,39,3044,1413,864,304,44.412138,11.969398
BAGNI DI LUCCA,2.848901098901099,2.0,35,2184,698,349,63,44.003447,10.551631
BAGNI DI TIVOLI,2.236879147395938,2.0,76,4973,1034,451,119,41.949593,12.722208
BAGNOLO IN PIANO,0.7244897959183674,0.0,26,1176,125,66,26,,
BALESTRATE,3.7423529411764704,2.0,16,850,265,145,60,38.053364,13.007374
BALSORANO,2.7949479940564634,1.0,14,673,162,91,35,41.809427,13.556546
BALVANO R.,2.909090909090909,2.0,3,143,39,20,7,40.649993,15.495304
BALZOLA,2.779587404994571,1.0,29,1842,452,252,62,45.173985,8.402174
BARI CENTRALE,0.746562228024369,-1.0,211,11490,1973,1393,777,41.11774,16.869601
BARI S. SPIRITO,3.0113538988860324,2.0,98,4668,1295,699,234,41.159653,16.746324
BARI ZONA INDUSTRIALE,1.5876063713724635,0.0,95,4583,815,510,203,,
BARLETTA,4.365244536940687,2.0,164,8649,2858,2017,1069,41.315227,16.278867
BATTAGLIA TERME,3.3164845173041893,1.0,35,2196,841,637,167,45.291475,11.77838
BELLA MURO,4.064851881505204,3.0,21,1249,521,326,125,40.700914,15.542936
BELLANO TARTAVELLE TERME,3.862239174332511,2.0,79,4457,1535,965,374,46.039448,9.302776
BENEVENTO,3.9285024154589374,2.0,38,2070,840,656,369,41.141901,14.769998
BIANZONE,1.9754299754299753,1.0,6,407,48,31,16,46.179383,10.112507
