stop_name,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
ABBIATE GUAZZONE,Fri,0.001953125,0.0,48,512,0,0,0
ACATE,Fri,0.5909090909090909,0.0,4,44,7,4,0
ACCIANO,Fri,7.1875,7.0,5,48,48,35,4
ACIREALE,Fri,2.863128491620112,1.0,79,716,148,111,59
ALBA,Fri,0.5228426395939086,0.0,18,197,17,3,1
ALBAIRATE VERMEZZO,Fri,1.3605664488017428,0.0,93,918,188,115,55
ALBATE-TRECALLO,Fri,2.8449612403100777,2.0,22,258,72,28,4
AMANTEA,Fri,3.030588235294118,0.0,41,425,82,56,33
ANNONE VENETO,Fri,2.5984848484848486,2.0,22,264,46,24,9
ANTIGNANO,Fri,5.166666666666667,2.0,4,6,3,2,1
ANZIO,Fri,1.6428571428571428,2.0,56,518,53,18,6
ARAGONA CALDARE,Fri,1.961630695443645,1.0,39,417,85,44,15
ARBOSTELLA,Fri,0.6052631578947368,0.0,36,38,1,1,0
ARCISATE,Fri,2.660323501427212,2.0,85,1051,213,110,34
AREZZO,Fri,2.699623352165725,2.0,102,1062,332,205,88
ARQUA`,Fri,2.3388429752066116,2.0,10,121,39,21,3
AULLA LUNIGIANA,Fri,1.6681957186544343,1.0,66,654,137,81,30
AVERSA,Fri,2.8053265694356373,1.0,150,1577,384,286,134
BAGHERIA,Fri,0.7941176470588235,0.0,102,1020,72,34,18
BAGNARA,Fri,0.8330058939096268,-1.0,48,509,63,43,19
BALDICHIERI,Fri,2.438902743142145,2.0,33,401,85,36,4
BALESTRATE,Fri,4.125984251968504,2.0,16,127,35,19,11
BARAGIANO,Fri,4.208860759493671,3.0,18,158,69,48,13
BARASSO - COMERIO,Fri,0.0,0.0,34,406,0,0,0
BARGA GALLICANO,Fri,3.5,3.0,34,322,126,59,7
BARI CENTRALE,Fri,1.056644880174292,-1.0,181,1836,346,247,136
BARI PARCO NORD,Fri,57.0,57.0,1,1,1,1,1
BARI ZONA INDUSTRIALE,Fri,1.7486631016042782,1.0,77,748,152,92,33
BARRUCCANA,Fri,1.018421052631579,-1.0,49,380,55,41,17
BASILIANO,Fri,1.8664850136239781,2.0,35,367,56,27,6
BASTIA,Fri,4.0062111801242235,3.0,43,483,207,120,28
BELLANTE RIPATTONE,Fri,3.6265560165975104,4.0,22,241,142,49,12
BELVEDERE MARITTIMO,Fri,3.614886731391586,3.0,31,309,120,65,24
BERCETO,Fri,2.9057377049180326,2.0,42,488,146,97,40
BERNALDA,Fri,2.98,3.0,4,50,16,10,3
BOARIO TERME,Fri,0.03546099290780142,0.0,20,141,0,0,0
BOLLATE NORD,Fri,0.7049586776859504,0.0,101,1210,82,29,2
BOLOGNA CORTICELLA,Fri,3.9450980392156865,2.0,49,510,193,105,37
BOLOGNA S.RUFFILLO,Fri,1.52,1.0,60,600,82,36,11
BOLOGNA SAN VITALE,Fri,4.006673021925644,2.0,106,1049,380,231,75
BOLZANO SUD,Fri,2.4194139194139193,2.0,49,546,129,36,7
BORGO REVEL,Fri,2.185185185185185,2.0,27,324,81,27,7
BORGO VALSUGANA EST,Fri,3.32967032967033,2.0,15,182,59,22,8
BORNATO - CALINO,Fri,0.007194244604316547,0.0,34,278,0,0,0
BORORE,Fri,-0.4794520547945205,-1.0,10,73,1,1,1
BOTRICELLO,Fri,2.772853185595568,2.0,31,361,99,62,29
BRANCALEONE,Fri,4.590296495956873,3.0,35,371,161,106,46
BRANDIZZO,Fri,2.124394184168013,1.0,53,619,128,60,8
BRESCELLO VIADANA,Fri,-0.4474885844748858,-1.0,25,219,15,9,3
BRESSANA BOTTARONE,Fri,5.712401055408971,3.0,31,379,189,129,37
BRIATICO,Fri,3.2241379310344827,3.0,16,174,70,32,4
BRINDISI,Fri,3.084440227703985,1.0,114,1054,294,197,117
BRONI,Fri,5.535433070866142,4.0,32,381,191,120,42
BRUZOLO,Fri,0.797270955165692,0.0,44,513,53,31,10
BUDOIA POLCENIGO,Fri,-0.6,-1.0,14,165,2,2,2
BUSTO ARSIZIO,Fri,2.2034956304619224,1.0,330,3204,739,404,113
CABIATE,Fri,-0.052830188679245285,0.0,47,530,1,0,0
CAIRO MONTENOTTE,Fri,0.4460093896713615,0.0,23,213,14,8,5
CALOLZIOCORTE OLGINATE,Fri,3.388208269525268,2.0,114,1306,413,232,88
CALTIGNAGA,Fri,2.42,1.0,20,200,38,13,6
CAMPAGNA SERRE PERSANO,Fri,3.206896551724138,1.0,8,87,21,13,7
CAMPELLO,Fri,2.2972972972972974,2.0,7,74,20,9,1
CAMPIGLIA MARITTIMA,Fri,2.6411290322580645,1.0,73,744,196,122,52
CAMPOMARINO,Fri,3.1354166666666665,3.0,8,96,37,21,4
CAMPORGIANO,Fri,3.3419354838709676,2.0,33,310,97,40,8
CANDIOLO,Fri,4.436567164179104,4.0,46,536,279,180,16
CANICATTI`,Fri,3.0694444444444446,1.0,15,144,37,20,10
CAPO BONIFATI,Fri,2.5236486486486487,2.0,30,296,85,37,9
CAPO D`ORLANDO-NASO,Fri,3.6341463414634148,1.0,57,533,143,93,49
CAPRALBA,Fri,6.401826484018265,4.0,43,438,235,158,72
CAPRANICA,Fri,1.562363238512035,1.0,47,457,72,37,15
CAPUA,Fri,3.2448453608247423,2.0,40,388,118,72,27
CARATE-CALO`,Fri,3.356701030927835,2.0,40,485,189,95,11
CARIATI,Fri,5.8731884057971016,4.0,24,276,148,100,50
CARNATE USMATE,Fri,2.7185454545454544,1.0,117,1375,380,250,92
CARPI,Fri,1.5153061224489797,0.0,49,588,108,47,16
CARPIGNANO SESIA,Fri,2.9304635761589406,2.0,44,302,82,25,4
CARRITO-ORTONA,Fri,1.1666666666666667,-1.0,5,6,1,1,0
CASALNUOVO,Fri,2.818877551020408,2.0,72,784,230,115,41
CASERTA,Fri,3.8899868247694336,2.0,150,1518,502,334,191
CASLETTO-ROGENO,Fri,3.0517241379310347,2.0,15,174,51,20,3
CASLINO D'ERBA,Fri,0.0076045627376425855,0.0,23,263,0,0,0
CASORATE SEMPIONE,Fri,4.740458015267175,4.0,33,393,209,115,22
CASTEL MADAMA,Fri,2.630081300813008,2.0,23,246,63,30,7
CASTELDACCIA,Fri,6.0,6.0,4,4,4,3,0
CASTELDEBOLE,Fri,2.304029304029304,2.0,107,1092,285,114,19
CASTELLALTO CANZANO,Fri,0.8932461873638344,1.0,42,459,35,20,7
CASTELLAMMARE DEL GOLFO,Fri,4.488188976377953,2.0,16,127,41,23,11
CASTELLANETA,Fri,1.393939393939394,1.0,29,297,19,7,1
CASTELLINA CH,Fri,1.5730337078651686,1.0,35,356,71,32,9
CASTELMAGGIORE,Fri,3.1237721021611002,2.0,49,509,152,87,32
CASTELRAIMONDO CAMERINO,Fri,2.886861313868613,2.0,32,274,99,45,7
CASTELROSSO,Fri,2.021671826625387,2.0,27,323,54,12,4
CASTELVETRO,Fri,1.3833333333333333,1.0,18,180,24,16,6
CASTIONE ANDEVENNO,Fri,2.6153846153846154,2.0,1,13,2,1,1
CASTRO-POFI,Fri,2.016786570743405,1.0,55,417,59,36,10
CAVA CARBONARA,Fri,3.3741935483870966,3.0,26,310,137,51,19
CAVA MANARA,Fri,5.442048517520216,3.0,30,371,181,122,34
CAVARIA OGGIONA JERAGO,Fri,4.153388822829965,2.0,71,841,322,205,73
CAVAZZALE,Fri,1.6588235294117648,2.0,36,425,87,36,6
CECCANO,Fri,0.9417249417249417,0.0,56,429,55,29,10
CEFALU`,Fri,1.6462585034013606,0.0,49,441,78,51,28
CENGIO,Fri,2.083532219570406,1.0,35,419,61,31,16
CENTOLA,Fri,8.0,3.0,2,2,1,1,1
CERIANO LAGHETTO,Fri,0.0,0.0,12,12,0,0,0
CESANO DI ROMA,Fri,2.1416454622561494,2.0,112,1179,229,69,28
CEVA,Fri,1.414027149321267,0.0,37,442,49,24,19
CHAMBAVE,Fri,-1.0,-1.0,1,1,0,0,0
CHIAVENNA,Fri,1.1649484536082475,1.0,17,194,14,9,2
CHIUSA,Fri,15.0,11.0,5,5,5,4,3
CHIUSI C.T.,Fri,2.2358078602620086,1.0,72,687,184,114,56
CIANO D'ENZA,Fri,2.3448275862068964,2.0,10,87,24,12,1
CISLAGO,Fri,0.001953125,0.0,48,512,0,0,0
CISMON DEL GRAPPA,Fri,2.9707602339181287,2.0,14,171,40,21,5
CITTADUCALE,Fri,3.8904593639575973,3.0,32,283,119,63,17
CIVITA D`ANTINO-MORINO,Fri,2.2844827586206895,1.0,12,116,28,15,2
CIVITANOVA MARCHE,Fri,3.0238331678252233,1.0,99,1007,294,180,60
CODOGNO,Fri,5.519148936170213,2.0,77,940,392,269,113
COGOLETO,Fri,1.3168771526980483,1.0,101,871,111,56,21
COLFELICE,Fri,1.3333333333333333,1.0,3,3,0,0,0
COLLE MATTIA,Fri,1.4478417266187051,1.0,54,556,73,30,10
COLLEVECCHIO,Fri,1.3888888888888888,1.0,34,396,45,11,4
COMO NORD BORGHI,Fri,0.002886002886002886,0.0,58,693,0,0,0
COMO S. GIOVANNI,Fri,2.7425219941348975,1.0,162,1705,501,304,109
CONTEA LONDA,Fri,3.600502512562814,3.0,44,398,178,86,21
CONTURSI TERME,Fri,2.089430894308943,1.0,12,123,36,23,12
CORBEZZI,Fri,1.4866666666666666,1.0,12,150,11,4,3
CORMANO-CUSANO MILANINO,Fri,0.0011587485515643105,0.0,96,863,0,0,0
CORONELLA,Fri,3.511111111111111,2.0,11,135,37,19,8
CORTEOLONA,Fri,5.57037037037037,4.0,22,270,153,103,40
COSIO TRAONA,Fri,3.5603112840466924,2.0,21,257,98,59,15
CRESCENTINO,Fri,3.0925925925925926,3.0,27,324,105,39,6
CRESPINO DEL LAMONE,Fri,3.6238938053097347,3.0,22,226,88,57,16
CRESSA FONTANETO,Fri,3.92,2.0,20,200,77,58,13
CREVALCORE,Fri,1.618811881188119,0.0,78,808,180,120,43
CROPANI,Fri,3.8421052631578947,3.0,31,361,125,73,26
CROTONE,Fri,3.977635782747604,3.0,27,313,127,81,33
CUNEO,Fri,-0.3868194842406877,-2.0,44,349,31,18,11
DARFO - CORNA,Fri,0.03355704697986577,0.0,21,149,0,0,0
DESENZANO,Fri,4.728183118741058,3.0,60,699,307,192,75
DESIO,Fri,4.4308632543926665,3.0,143,1309,551,339,121
DIANO,Fri,10.818181818181818,10.0,9,11,10,9,5
DICOMANO,Fri,4.420654911838791,3.0,43,397,180,97,25
DOGATO,Fri,0.6583850931677019,0.0,18,161,11,4,2
DOLO,Fri,1.104490500863558,0.0,109,1158,147,86,25
DORIO,Fri,3.6408668730650153,2.0,28,323,121,75,18
DORMELLETTO,Fri,3.209844559585492,2.0,33,386,130,79,20
DOSSOBUONO,Fri,4.414860681114551,4.0,27,323,164,79,16
EMPOLI,Fri,1.1648963075366716,0.0,199,1977,329,187,72
ENNA,Fri,3.881679389312977,1.0,35,262,71,41,25
EQUI TERME,Fri,3.1846153846153844,2.0,28,260,76,34,3
FAENZA,Fri,3.1563236449332286,1.0,113,1273,370,258,124
FAGNANO CAMPANA,Fri,1.675,1.0,7,40,8,3,0
FALCONARA MARITTIMA,Fri,1.1183478951548849,1.0,112,1259,199,109,36
FALCONE,Fri,3.3210526315789473,2.0,16,190,66,34,9
FELONICA PO,Fri,2.9363057324840764,1.0,18,157,37,22,8
FERNO LONATE POZZOLO,Fri,0.7043269230769231,1.0,38,416,12,4,2
FERRARA,Fri,1.8798283261802575,1.0,128,1398,329,196,80
FIDENZA,Fri,2.18970189701897,1.0,126,1476,336,221,110
FIERA,Fri,-2.1222222222222222,-2.0,60,720,3,2,1
FIRENZE CASTELLO,Fri,1.378839590443686,1.0,84,879,143,78,25
FIRENZE RIFREDI,Fri,1.701670644391408,1.0,332,3352,606,343,140
FIRENZE S.M.N.,Fri,2.027065527065527,0.0,336,3510,848,549,253
FIUMELATTE,Fri,2.3870967741935485,1.0,27,310,83,46,12
FORMIA-GAETA,Fri,3.7007874015748032,1.0,117,1143,350,231,110
FORTEZZA,Fri,2.192938209331652,-1.0,68,793,206,137,70
FRANCAVILLA AL MARE,Fri,1.986254295532646,1.0,25,291,57,31,7
FRASSO T. DUGENTA,Fri,8.741463414634147,6.0,22,205,123,106,61
FRATTE,Fri,1.5,1.0,27,262,49,24,5
FUNO CENTERGROSS,Fri,3.7888675623800383,2.0,50,521,162,102,45
Ficarazzi,Fri,6.5,6.0,4,4,4,3,0
GALLIATE,Fri,0.0,0.0,63,433,0,0,0
GAMBETTOLA,Fri,3.19364161849711,2.0,29,346,105,64,16
GARBAGNATE PARCO GROANE,Fri,0.0,0.0,70,889,0,0,0
GARGAZZONE,Fri,2.437728937728938,2.0,49,546,158,61,10
GEMONA DEL FRIULI,Fri,0.4855072463768116,0.0,35,276,11,4,1
GENGA S.VITTORE TERME,Fri,2.0602739726027397,1.0,32,365,79,30,10
GENOVA QUINTO AL MARE,Fri,10.333333333333334,11.0,6,6,5,5,4
GENOVA SESTRI PONENTE,Fri,1.2355685131195335,1.0,170,1715,211,114,48
GENOVA STURLA,Fri,5.4,5.0,5,5,3,2,1
GHEDI,Fri,4.482315112540193,3.0,25,311,134,94,38
GIOJOSA MAREA,Fri,1.6156462585034013,1.0,31,294,64,39,9
GONZAGA-REGGIOLO,Fri,3.0906801007556677,1.0,33,397,96,62,26
GORGO AL MONTICANO,Fri,2.3446969696969697,1.0,22,264,41,22,11
GRANAROLO,Fri,3.156862745098039,2.0,14,153,31,21,10
GROANE,Fri,0.3333333333333333,0.0,18,18,0,0,0
GRUGLIASCO,Fri,4.0,4.0,1,1,1,0,0
GUARDIA PIEMONTESE TERME,Fri,7.0,7.0,1,1,1,1,0
GUIDONIA-MONTECELIO-S.ANGELO,Fri,2.439655172413793,2.0,66,696,179,68,12
HONE BARD,Fri,2.520446096654275,2.0,53,269,83,48,6
ISERNIA,Fri,2.6133333333333333,-1.0,8,75,19,15,8
ISOLA LIRI,Fri,0.3333333333333333,0.0,3,3,0,0,0
