stop_name,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ABBIATEGRASSO,Sun,2.3852459016393444,1.0,33,366,66,37,19,45.400631,8.921305
ACQUANEGRA CREMONESE,Sun,3.054054054054054,2.0,4,37,13,8,1,45.172102,9.888456
ACQUEDOLCI-S.FRATELLO,Sun,0.36923076923076925,0.0,5,65,5,3,0,38.058459,14.587597
ACQUI TERME,Sun,2.0412371134020617,1.0,16,194,32,15,5,44.67407,8.474482
AFRICO NUOVO,Sun,1.72,1.0,2,25,3,2,1,38.053759,16.144283
AIRUNO,Sun,2.1372549019607843,1.0,37,357,50,28,9,45.754086,9.422066
ALANO FENER VALDOBBIADENE,Sun,0.7039473684210527,0.0,20,152,20,6,2,45.90229,11.944546
ALBACINA,Sun,2.0384615384615383,2.0,16,182,37,20,6,43.345686,12.986501
ALBIZZATE SOLBIATE ARNO,Sun,0.8110687022900763,-1.0,69,524,97,47,11,45.724117,8.80621
ALCANTARA,Sun,-0.14935064935064934,-1.0,15,154,12,6,4,37.82145,15.251158
ALI` TERME,Sun,0.1921182266009852,0.0,18,203,17,9,5,38.013952,15.435184
ALTAVILLA M.,Sun,-0.13043478260869565,0.0,17,207,5,1,1,38.048392,13.554421
AMOROSI MELIZZANO,Sun,3.6153846153846154,1.0,5,52,20,17,5,41.173509,14.470759
ANCONETTA,Sun,0.8646288209606987,3.0,18,229,99,13,7,45.565249,11.567865
ANGUILLARA,Sun,2.631782945736434,2.0,46,516,148,43,6,42.068133,12.304978
ANTRODOCO CENTRO,Sun,6.293103448275862,5.0,9,116,62,56,22,42.409844,13.07096
ANZIO,Sun,1.735408560311284,2.0,20,257,28,9,3,41.4532,12.633205
ANZIO COLONIA,Sun,1.6285714285714286,1.0,19,245,16,6,2,41.459893,12.617442
APPIANO,Sun,1.9771505376344085,1.0,67,744,108,44,8,41.909342,12.43838
ARBIA,Sun,2.9084967320261437,2.0,14,153,55,20,7,43.294393,11.406225
ARCORE,Sun,1.2531824611032532,0.0,73,707,105,41,11,45.623493,9.322798
AREZZO,Sun,2.2513966480446927,1.0,68,716,200,118,58,43.461725,11.874189
ARGENTA,Sun,0.9423076923076923,1.0,18,208,19,3,1,44.616867,11.841267
ARPINO,Sun,2.588235294117647,2.0,2,17,4,2,1,41.648296,13.59959
ASCEA,Sun,4.3686868686868685,2.0,34,396,151,103,38,40.140955,15.172626
ASCIANO MONTE OLIVETO MAGGIORE,Sun,3.46875,3.0,14,160,61,16,5,43.231706,11.563621
ASCOLI SATRIANO,Sun,0.8333333333333334,1.0,8,102,18,10,5,41.219859,15.547828
ASOLA,Sun,5.683333333333334,4.0,15,180,101,60,15,45.220454,10.402313
ASSEMINI,Sun,0.25,-1.0,53,528,30,17,7,39.287603,8.997936
AVIGLIANO LUCANIA,Sun,0.4605809128630705,0.0,19,241,18,14,5,40.714667,15.785619
BAGNOLI AGNANO TERME,Sun,-0.33069082672706684,-1.0,156,883,43,23,12,40.819444,14.166694
BALESTRATE,Sun,3.57,2.0,8,100,34,18,5,38.053364,13.007374
BARBIANO,Sun,1.8636363636363635,1.0,3,22,1,1,1,44.387263,11.878086
BARGA GALLICANO,Sun,3.161676646706587,2.0,13,167,45,18,4,44.068114,10.451938
BARI S. SPIRITO,Sun,2.5703703703703704,1.0,22,270,52,35,19,41.159653,16.746324
BARI ZONA INDUSTRIALE,Sun,0.7868217054263565,-1.0,20,258,31,22,10,,
BARONISSI,Sun,2.3230769230769233,1.0,12,130,30,17,4,40.743779,14.77224
BASTIA,Sun,2.8629441624365484,2.0,18,197,64,27,8,43.07133,12.547735
BATTIPAGLIA,Sun,2.9940029985007497,1.0,57,667,189,122,64,40.605789,14.98324
BAVENO,Sun,3.015873015873016,1.0,31,189,56,26,10,45.909105,8.502121
BEAULARD,Sun,2.7370689655172415,1.0,20,232,47,23,9,45.046495,6.759713
BELGIRATE,Sun,4.220430107526882,2.0,31,186,81,48,23,45.843337,8.570821
BELLA MURO,Sun,3.9224806201550386,2.0,12,129,52,36,11,40.700914,15.542936
BELLANTE RIPATTONE,Sun,5.605263157894737,5.0,3,38,33,19,0,42.705775,13.837978
