stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
AMOROSI MELIZZANO,,30.5,29.0,2,4,4,4,4
ANCONA,,5.823971915747242,3.0,25,1994,915,748,464
BARDONECCHIA,,2.3333333333333335,-2.0,2,36,8,6,2
BARI CENTRALE,,3.1657291215923844,-1.0,33,2311,764,626,394
BOLOGNA C.LE/AV,,2.923631404636665,1.0,130,10266,3314,2291,1044
BOLZANO,,7.738372093023256,5.0,6,516,321,217,93
BOVINO DELICETO,,16.0,16.0,1,1,1,1,1
CAMPIGLIA MARITTIMA,,2.8170594837261502,1.0,11,891,260,180,81
CARPI,,4.859649122807017,3.0,2,171,69,39,12
CECINA,,6.151685393258427,4.0,2,178,95,69,28
CERVIGNANO A.G.,,0.9765395894428153,1.0,5,341,58,32,8
CIVITANOVA MARCHE,,8.59217877094972,6.0,2,179,119,99,59
CONEGLIANO,,2.485294117647059,1.0,4,340,57,31,12
CORNIGLIA,,18.53846153846154,12.0,2,13,10,10,7
DESENZANO,,4.551264980026631,3.0,18,1502,607,341,118
EMPOLI,,7.0,7.0,1,1,1,1,0
FALCONARA MARITTIMA,,3.511764705882353,1.0,2,170,40,30,14
FASANO,,51.5,35.0,1,2,2,2,2
FIUMICINO AEROPORTO,,0.5830985915492958,-1.0,4,355,34,16,12
FOLIGNO,,3.2705882352941176,1.0,2,170,40,27,17
FROSINONE,,2.9604519774011298,0.0,2,177,36,22,15
GENOVA P.PRINCIPE,,5.855907780979827,3.0,13,1041,495,379,182
GENOVA QUARTO DEI MILLE,,0.0,0.0,1,1,0,0,0
GIOIA DEL COLLE,,4.793296089385475,0.0,2,179,50,39,30
GIOIA TAURO,,2.115168539325843,-1.0,4,356,73,54,30
GIULIANOVA,,7.075949367088608,3.0,2,158,71,58,37
LAMEZIA TERME CENTRALE,,3.2688796680497925,1.0,16,1205,310,226,117
MANTOVA,,0.8214285714285714,-2.0,1,84,12,10,6
MASSA CENTRO,,4.41862652869238,3.0,13,1063,456,301,107
METAPONTO,,-1.6233766233766234,-4.0,2,77,2,2,1
MONFALCONE,,1.7900874635568513,1.0,5,343,68,38,11
NAPOLI AFRAGOLA,,5.716325263811298,3.0,61,4833,2263,1790,944
ORA,,5.0,5.0,1,1,1,0,0
OULX CESANA CLAVIERE SESTRIERE,,-0.7887323943661971,-1.0,2,71,6,5,2
PARMA,,7.165262475696695,5.0,20,1543,939,672,325
PERUGIA,,1.4025974025974026,-1.0,1,77,17,11,7
PESARO,,7.501155802126676,4.0,27,2163,1184,929,588
PESCARA,,6.803498542274053,3.0,21,1715,842,662,414
PIACENZA,,4.2073170731707314,4.0,6,410,213,151,58
PIANEROTTOLO DI ARIANO,,27.0,27.0,1,1,1,1,1
REGGIO CALABRIA CENTRALE,,1.5254515599343186,-3.0,8,609,128,105,72
REGGIO EMILIA AV,,5.957561106634435,4.0,48,3723,2030,1486,613
ROMA TERMINI,,4.19869109947644,2.0,146,11460,4174,2866,1392
SAPRI,,3.4212523719165087,1.0,6,527,170,124,69
TARANTO,,8.122222222222222,1.0,2,90,32,27,19
TELESE CERRETO,,25.333333333333332,27.0,2,3,3,3,2
TORANO LATTARICO,,5.0058823529411764,0.0,2,170,67,51,43
TORINO P.NUOVA,,5.033898305084746,1.0,25,1888,636,467,283
TRENTO,,4.4818355640535374,3.0,12,1046,407,213,82
TRIESTE CENTRALE,,1.092,-2.0,4,250,34,26,16
