stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
COMO S. GIOVANNI,EC,3.1582491582491583,2.0,19,594,209,123,41
GALLARATE,EC,8.250602409638555,6.0,7,415,302,221,100
MODANE,EC,8.506493506493506,1.0,4,77,34,33,27
PADOVA,EC,5.383977900552487,1.0,15,362,115,83,58
PESCHIERA DEL GARDA,EC,5.972027972027972,3.0,6,143,64,42,23
PIACENZA,EC,1.90625,1.0,2,32,8,6,3
RHO FIERA MILANO,EC,5.122448979591836,5.0,3,49,26,23,9
ROMA TERMINI,EC,116.0,116.0,1,1,1,1,1
SAN BONIFACIO,EC,42.0,42.0,1,1,1,1,1
SESTRI LEVANTE,EC,-6.0,-6.0,1,1,0,0,0
TORINO PORTA SUSA,EC,10.038709677419355,3.0,4,155,72,50,33
VICENZA,EC,5.426934097421204,2.0,10,349,116,87,56
DOMODOSSOLA,EC,2.860771401693321,1.0,17,1063,387,276,107
FORTEZZA,EC,5.7356870229007635,2.0,16,1048,426,353,176
GENOVA P.PRINCIPE,EC,5.2,3.0,2,25,11,9,4
TORTONA,EC,3.2916666666666665,1.0,1,24,6,4,2
TRENTO,EC,6.387387387387387,3.0,14,888,429,289,152
BARDONECCHIA,EC,9.505376344086022,3.0,2,93,43,31,21
BOLOGNA C.LE,EC,9.813868613138686,4.0,6,274,151,117,79
BOLZANO,EC,6.2631578947368425,3.0,15,969,460,333,198
BRENNERO,EC,2.6793168880455407,-1.0,9,527,165,125,64
BRESCIA,EC,5.5625,3.0,7,144,66,41,21
BRESSANONE,EC,5.812977099236641,2.0,16,1048,456,331,180
CHIASSO,EC,-0.975,-3.0,10,40,7,6,2
DESENZANO,EC,4.0,4.0,1,1,1,0,0
DESIO,EC,17.0,17.0,1,1,1,1,1
DOMEGLIARA,EC,102.5,63.0,2,2,2,2,2
FIRENZE CAMPO MARTE,EC,54.5,21.0,2,4,4,4,4
FIRENZE RIFREDI,EC,4.0,4.0,1,1,1,0,0
FIRENZE S.M.N.,EC,-2.0,-2.0,1,1,0,0,0
GRISIGNANO DI ZOCCO,EC,19.0,19.0,1,1,1,1,1
LEVANTO,EC,-2.0,-2.0,1,1,0,0,0
MILANO CENTRALE,EC,4.727769110764431,2.0,23,1282,491,374,228
MILANO LAMBRATE,EC,3.508771929824561,3.0,4,57,22,14,3
MILANO ROGOREDO,EC,4.578947368421052,4.0,4,57,30,19,3
MODENA,EC,4.78125,1.0,2,32,11,8,3
PARMA,EC,6.9375,2.0,2,32,12,12,8
PAVIA,EC,5.76,4.0,2,25,14,7,3
RECCO,EC,-5.0,-5.0,1,1,0,0,0
REGGIO EMILIA,EC,7.5625,3.0,2,32,16,13,8
ROVERETO,EC,7.041666666666667,4.0,14,888,475,347,171
STRESA,EC,6.556701030927835,6.0,10,679,476,360,133
TARVISIO BOSCOVERDE,EC,23.8,20.0,2,5,4,3,3
VENEZIA MESTRE,EC,4.556521739130435,1.0,11,345,85,59,40
VENEZIA SANTA LUCIA,EC,4.4088669950738915,1.0,6,203,53,42,30
VERONA PORTA NUOVA,EC,6.817112299465241,4.0,21,935,498,344,147
VIPITENO,EC,1.5443037974683544,-2.0,2,158,26,22,17
