stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
DESENZANO,EN,9.581395348837209,3.0,5,86,37,25,19,45.462677,10.536322
LA SPEZIA CENTRALE,EN,-2.4886363636363638,-5.0,7,88,9,8,3,44.11141,9.813906
LEVANTO,EN,2.707865168539326,0.0,8,89,18,16,7,44.174167,9.616018
RAPALLO,EN,32.0,32.0,1,1,1,1,1,44.351398,9.231282
TARVISIO BOSCOVERDE,EN,26.166666666666668,10.0,3,24,17,17,12,46.505956,13.608012
VICENZA,EN,3.963855421686747,-3.0,4,83,19,17,16,45.541102,11.540762
FIRENZE S.M.N.,EN,16.666666666666668,13.0,4,39,28,26,23,43.776893,11.247373
GENOVA P.PRINCIPE,EN,-3.1777777777777776,-8.0,8,90,15,12,7,44.417784,8.9207
PADOVA,EN,7.169354838709677,1.0,14,124,55,52,43,45.417846,11.880794
TORTONA,EN,48.666666666666664,9.0,2,3,3,2,1,44.900126,8.861777
VERONA PORTA NUOVA,EN,3.447058823529412,-3.0,5,85,20,18,15,45.428603,10.982377
BOLOGNA C.LE,EN,12.233333333333333,3.0,5,90,44,40,36,44.50626,11.342267
BRESCIA,EN,11.13953488372093,5.0,5,86,61,43,20,45.532315,10.212828
FIRENZE CAMPO MARTE,EN,25.170731707317074,10.0,4,41,28,26,20,43.776856,11.27702
FIRENZE RIFREDI,EN,4.5,4.0,1,4,3,1,0,43.800873,11.235729
MILANO ROGOREDO,EN,3.9195402298850577,-1.0,8,87,22,20,12,45.433866,9.2391
PAVIA,EN,8.280898876404494,4.0,8,89,48,36,12,45.188843,9.144674
PESCHIERA DEL GARDA,EN,8.488372093023257,2.0,5,86,30,25,18,45.438502,10.702509
RECCO,EN,4.0,-3.0,1,2,1,1,1,44.361215,9.146788
ROMA TERMINI,EN,31.794117647058822,14.0,4,68,38,38,37,41.900636,12.502026
SESTRI LEVANTE,EN,1.0,-13.0,1,2,1,1,1,44.27626,9.397651
