stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
AMOROSI MELIZZANO,IC,10.5,7.0,1,2,2,2,1,41.173509,14.470759
AVERSA,IC,5.1884765625,1.0,35,2048,698,527,308,40.973323,14.218578
BAIANO DI SPOLETO,IC,-1.0,-1.0,1,1,0,0,0,42.726238,12.663615
BARCELLONA,IC,9.647272727272727,3.0,10,275,118,93,64,38.14918,15.212499
BARDONECCHIA,IC,6.409090909090909,0.0,1,22,8,4,2,45.076447,6.709959
BENEVENTO,IC,5.478048780487805,3.0,6,205,95,77,39,41.141901,14.769998
BISCEGLIE,IC,7.450538687561214,4.0,21,1021,548,375,197,41.235445,16.499484
BITETTO PALO DEL COLLE,IC,22.666666666666668,5.0,1,3,2,1,1,41.041481,16.74053
BOLOGNA C.LE,IC,3.4732195409064155,1.0,48,1699,571,423,239,44.50626,11.342267
BRANCALEONE,IC,8.708215297450424,4.0,4,353,203,154,83,37.965475,16.103301
BRESSANONE,IC,4.666666666666667,5.0,3,3,2,1,0,46.710088,11.649677
CAMPOLEONE,IC,108.0,108.0,1,1,1,1,1,41.642396,12.648341
CARONIA,IC,24.142857142857142,27.0,2,14,8,8,8,38.034475,14.443761
CASTELPLANIO CUPRAMONTANA,IC,-3.0,-3.0,1,1,0,0,0,43.481403,13.084733
CERVIGNANO A.G.,IC,2.5734767025089607,1.0,5,279,67,37,16,45.823948,13.342866
CODROIPO,IC,14.590909090909092,5.0,4,22,12,8,3,45.9657,12.976543
CROPANI,IC,10.928366762177651,8.0,4,349,309,268,116,38.921968,16.813562
FAENZA,IC,4.636363636363637,2.0,19,1001,353,264,131,44.293594,11.883268
FERRARA,IC,4.258278145695364,1.0,9,302,97,61,29,44.843047,11.603594
FINALE LIGURE MARINA,IC,6.47565543071161,5.0,26,801,499,361,136,44.169116,8.34033
FIRENZE S.M.N.,IC,8.261363636363637,5.0,8,264,155,126,70,43.776893,11.247373
GIOIA DEL COLLE,IC,3.5267175572519083,-2.0,6,131,37,30,23,40.796983,16.916569
GIOIOSA JONICA,IC,8.263456090651559,5.0,4,353,202,161,88,38.300812,16.332501
GIULIANOVA,IC,4.786157024793388,3.0,14,968,437,301,120,42.751673,13.965743
GRICIGNANO,IC,26.0,15.0,1,2,2,2,2,40.998742,14.241657
