stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
AGROPOLI CASTELLABATE,ICN,5.591549295774648,2.0,2,71,27,23,13
BAGNARA,ICN,9.01526717557252,2.0,2,131,59,54,26
BARCELLONA,ICN,4.803398058252427,1.0,6,412,120,99,74
BATTIPAGLIA,ICN,3.4788732394366195,-1.0,2,71,21,17,14
BRESSANONE,ICN,7.533333333333333,6.0,2,15,12,8,3
BRUNICO,ICN,5.866666666666666,3.0,2,15,7,4,3
CAPO D`ORLANDO-NASO,ICN,6.956310679611651,1.0,6,412,135,112,84
CASERTA,ICN,10.15,-3.0,2,20,4,4,4
CHIUSI C.T.,ICN,4.280701754385965,-1.0,4,114,35,29,22
CODROIPO,ICN,7.618421052631579,4.0,5,152,79,58,32
FERRARA,ICN,3.9869281045751634,1.0,5,153,38,32,19
FIRENZE CAMPO MARTE,ICN,-1.3278688524590163,-3.0,3,122,50,46,37
FORMIA-GAETA,ICN,8.781970649895179,2.0,10,477,189,158,113
GIOIA DEL COLLE,ICN,5.554878048780488,1.0,2,164,52,35,19
GIOIA TAURO,ICN,11.252475247524753,6.0,4,202,122,102,57
GROSSETO,ICN,1.6462585034013606,-2.0,5,294,64,53,38
MEZZOCORONA,ICN,7.102564102564102,3.0,2,39,14,10,5
MILAZZO,ICN,4.652912621359223,0.0,6,412,129,102,72
NAPOLI CENTRALE,ICN,2.6884531590413943,-1.0,8,459,124,93,62
NOVARA,ICN,3.7039473684210527,1.0,2,152,55,33,18
ORA,ICN,9.0,9.0,1,1,1,1,0
ORTE,ICN,5.337016574585635,1.0,4,181,54,44,36
OSTUNI,ICN,4.6103896103896105,1.0,6,308,80,58,30
PALMI,ICN,10.641221374045802,4.0,2,131,69,57,28
PAVIA,ICN,2.7777777777777777,4.0,2,9,5,2,0
PESARO,ICN,-1.966887417218543,-3.0,2,151,21,14,9
PESCARA,ICN,-0.5637583892617449,-3.0,6,447,97,79,48
PISA CENTRALE,ICN,5.5625,1.0,7,304,91,68,50
