stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ALA,IR,22.0,3.0,2,2,1,1,1,45.760087,10.996775
BOLOGNA C.LE,IR,14.0,14.0,1,1,1,1,1,44.50626,11.342267
BRESSANONE,IR,16.0,16.0,1,1,1,1,1,46.710088,11.649677
FALCIANO MONDRAGONE CAR.,IR,0.0,0.0,1,1,0,0,0,41.123525,13.971792
FINALE LIGURE MARINA,IR,5.0,5.0,1,1,1,0,0,44.169116,8.34033
FONDI - SPERLONGA,IR,0.0,0.0,1,1,0,0,0,41.337663,13.424893
FORMIA-GAETA,IR,-3.0,-3.0,1,1,0,0,0,41.258773,13.605996
GENOVA SAMPIERDARENA,IR,-2.0,-2.0,1,1,0,0,0,44.413102,8.887271
LATINA,IR,0.0,0.0,1,1,0,0,0,41.538372,12.945888
LATISANA LIGNANO B.,IR,6.0,6.0,1,1,1,1,0,45.777733,13.001101
MEZZOCORONA,IR,23.5,8.0,2,2,2,2,1,46.207258,11.128595
NAPOLI CENTRALE,IR,-13.0,-13.0,1,1,0,0,0,40.852933,14.272908
S. DONA` DI PIAVE,IR,4.0,4.0,1,1,1,0,0,45.63983,12.559791
S. STINO DI LIVENZA,IR,4.0,4.0,1,1,1,0,0,45.721088,12.682769
S.FELICE SP,IR,9.5,2.0,2,2,1,1,1,44.834527,11.140243
TRENTO,IR,21.5,4.0,2,2,2,1,1,46.072414,11.118941
BORDIGHERA,IR,3.0,3.0,1,1,0,0,0,43.778313,7.663504
DOMEGLIARA,IR,22.0,4.0,2,2,2,1,1,45.522348,10.820408
IMPERIA,IR,2.0,2.0,1,1,0,0,0,43.88051,8.019182
MIRANDOLA,IR,10.5,4.0,2,2,2,1,1,44.891638,11.111689
MONFALCONE,IR,9.0,9.0,1,1,1,1,0,45.807683,13.542929
OSTERIA NUOVA,IR,9.5,2.0,2,2,1,1,1,44.586613,11.236525
POGGIO RUSCO,IR,9.5,2.0,2,2,1,1,1,44.981859,11.124627
PONTE GARDENA,IR,17.0,17.0,1,1,1,1,1,46.6012,11.53251
ROVERETO,IR,20.5,2.0,2,2,1,1,1,45.890985,11.033518
SAN GIOVANNI IN PERSICETO,IR,10.5,4.0,2,2,2,1,1,44.643151,11.189444
SPOTORNO NOLI,IR,4.0,4.0,1,1,1,0,0,44.226528,8.410932
TRIESTE AIRPORT,IR,6.0,6.0,1,1,1,1,0,,
VENEZIA MESTRE,IR,-1.0,-1.0,1,1,0,0,0,45.482123,12.232069
ALASSIO,IR,1.0,1.0,1,1,0,0,0,44.007889,8.17112
ALBENGA,IR,0.0,0.0,1,1,0,0,0,44.04722,8.221663
AVERSA,IR,1.0,1.0,1,1,0,0,0,40.973323,14.218578
CERVIGNANO A.G.,IR,6.0,6.0,1,1,1,1,0,45.823948,13.342866
CREVALCORE,IR,9.5,2.0,2,2,1,1,1,44.719156,11.152625
GENOVA BRIGNOLE,IR,1.0,1.0,1,1,0,0,0,44.407213,8.947553
GENOVA P.PRINCIPE,IR,1.0,1.0,1,1,0,0,0,44.417784,8.9207
GENOVA SESTRI PONENTE,IR,0.0,0.0,1,1,0,0,0,44.422374,8.847707
GENOVA VOLTRI,IR,-1.0,-1.0,1,1,0,0,0,44.428467,8.758163
ISOLA DELLA SCALA,IR,11.5,4.0,2,2,2,1,1,45.269474,11.013312
LOANO,IR,2.0,2.0,1,1,0,0,0,44.122429,8.254523
MINTURNO,IR,-2.0,-2.0,1,1,0,0,0,41.257621,13.720664
MONTE S.BIAGIO,IR,-1.0,-1.0,1,1,0,0,0,41.345967,13.347037
NOGARA,IR,10.5,3.0,2,2,1,1,1,45.179937,11.070572
PIETRA LIGURE,IR,2.0,2.0,1,1,0,0,0,44.145345,8.277403
PORTOGRUARO CAORLE,IR,6.0,6.0,1,1,1,1,0,45.781438,12.832375
PRIVERNO FOSSANOVA,IR,-2.0,-2.0,1,1,0,0,0,41.421853,13.186406
QUARTO D`ALTINO,IR,5.0,5.0,1,1,1,0,0,45.574576,12.365032
S.MARCELLINO FRIGNANO,IR,2.0,2.0,1,1,0,0,0,40.992103,14.171976
SAN GIORGIO DI NOGARO,IR,5.0,5.0,1,1,1,0,0,45.82917,13.210315
SAVONA,IR,2.0,2.0,1,1,0,0,0,44.306892,8.470259
SESSA AURUNCA R.,IR,-1.0,-1.0,1,1,0,0,0,41.1955,13.8761
SEZZE ROMANO,IR,-1.0,-1.0,1,1,0,0,0,41.495542,13.038452
TAGGIA ARMA,IR,2.0,2.0,1,1,0,0,0,43.840764,7.835604
TRIESTE CENTRALE,IR,9.0,9.0,1,1,1,1,0,45.657456,13.771873
VENAFRO,IR,2.0,2.0,1,1,0,0,0,41.482975,14.048722
VERONA PORTA NUOVA,IR,20.0,-2.0,2,2,1,1,1,45.428603,10.982377
VILLA LITERNO,IR,3.0,3.0,1,1,0,0,0,41.004956,14.06753
VIPITENO,IR,18.0,18.0,1,1,1,1,1,46.895732,11.440206
