stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
BAGNOLI AGNANO TERME,MET,-0.41926729986431477,-1.0,131,5159,229,112,36
CASALNUOVO,MET,4.13347022587269,3.0,28,1948,798,408,122
CASTELLAMMARE DI STABIA,MET,0.7222222222222222,0.0,7,72,6,3,1
GIUGLIANO QUALIANO,MET,37.0,37.0,1,1,1,1,1
MINTURNO,MET,0.0,0.0,1,1,0,0,0
NAPOLI MERGELLINA,MET,8.294117647058824,6.0,28,34,22,19,10
NOCERA INFERIORE,MET,3.4285714285714284,3.0,61,4613,1415,571,180
PIAZZA CAVOUR,MET,-0.5787124060150376,-2.0,136,4256,405,235,95
PRIVERNO FOSSANOVA,MET,4.0,4.0,1,1,1,0,0
S.MARCELLINO FRIGNANO,MET,2.0,2.0,1,1,0,0,0
SALERNO,MET,-1.0469710272168569,-2.0,33,2278,244,150,85
SCAFATI,MET,2.027542832357406,1.0,61,4611,944,438,168
ANGRI,MET,3.5368284228769498,3.0,61,4616,1807,779,201
ARECHI,MET,12.0,0.0,2,2,1,1,1
CANCELLO,MET,5.099690082644628,4.0,28,1936,1115,539,137
CAVA DEI TIRRENI,MET,2.691664833956455,2.0,60,4547,1123,576,175
DUOMO VIA VERNIERI,MET,5.25,1.0,7,8,4,3,1
MADDALONI INFERIORE,MET,16.44,13.0,13,25,24,24,17
NAPOLI CENTRALE,MET,-6.777777777777778,-1.0,9,9,3,2,0
NAPOLI S.GIOV.BARRA,MET,0.23448535643657595,1.0,141,10619,701,321,126
NOCERA SUPERIORE,MET,3.2148651611488708,2.0,60,4561,1259,561,172
PAGANI,MET,3.7563935847420895,3.0,61,4614,1806,723,189
PASTENA,MET,3.0,2.0,2,2,1,0,0
PIAZZA AMEDEO,MET,-1.1290569895221059,-2.0,231,7826,427,271,121
POMPEI,MET,2.37708830548926,1.0,61,4609,1112,504,170
PORTICI- ERCOLANO,MET,1.482253860036094,1.0,74,4987,716,375,139
SEZZE ROMANO,MET,4.0,4.0,1,1,1,0,0
TORRE ANNUNZIATA CENTRALE,MET,2.4092129725263374,2.0,71,4841,1076,511,165
TORRE DEL GRECO,MET,1.6413239719157473,1.0,74,4985,789,408,148
VIETRI SUL MARE,MET,1.75,2.0,7,8,3,2,1
ACERRA,MET,4.110996916752312,3.0,28,1946,786,383,121
AVERSA,MET,1.0,1.0,1,1,0,0,0
CASERTA,MET,3.4813186813186814,2.0,13,910,328,175,52
CAVALLEGGERI AOSTA,MET,-0.29540559942569994,-1.0,131,11144,494,198,54
FALCIANO MONDRAGONE CAR.,MET,1.0,1.0,1,1,0,0,0
FONDI - SPERLONGA,MET,5.0,5.0,1,1,1,0,0
FORMIA-GAETA,MET,1.0,1.0,1,1,0,0,0
LATINA,MET,4.0,4.0,1,1,1,0,0
MERCATELLO,MET,17.333333333333332,26.0,3,3,2,2,2
MONTE S.BIAGIO,MET,5.0,5.0,1,1,1,0,0
NAPOLI CAMPI FLEGREI,MET,-1.0107366132101114,-2.0,180,14716,742,430,189
NAPOLI GIANTURCO,MET,-0.8288515252752068,-2.0,235,18259,1606,888,290
NAPOLI MONTESANTO,MET,8.605263157894736,6.0,32,38,22,21,7
NAPOLI PIAZZA GARIBALDI,MET,7.942028985507246,7.0,54,69,48,41,18
NAPOLI PIAZZA LEOPARDI,MET,0.48134165025169623,0.0,233,18276,1537,804,296
PIETRARSA,MET,13.277777777777779,10.0,14,18,15,12,8
POZZUOLI SOLFATARA,MET,-0.18500088857295183,-1.0,66,5627,366,169,54
ROVIGLIANO,MET,4.5,3.0,1,2,1,1,0
S.MARIA LA BRUNA,MET,1.850381066987565,1.0,74,4986,856,420,157
SESSA AURUNCA R.,MET,0.0,0.0,1,1,0,0,0
TORRE ANNUNZIATA CITTA',MET,0.0,0.0,1,1,0,0,0
TORRIONE,MET,4.0,2.0,2,2,1,1,0
TRACCIA,MET,4.431718061674009,3.0,4,227,100,29,10
VILLA LITERNO,MET,19.0,2.0,2,2,1,1,1
