stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
AMANTEA,NCL,-22.0,-22.0,1,1,0,0,0,39.134353,16.068448
CAMPIGLIA MARITTIMA,NCL,49.5,48.0,4,4,4,4,4,43.017118,10.586558
CASERTA,NCL,46.0,9.0,2,2,2,2,1,41.068655,14.328457
CHIASSO,NCL,-2.6666666666666665,-4.0,4,12,4,4,3,45.830736,9.03421
FAENZA,NCL,37.2,43.0,3,5,5,5,4,44.293594,11.883268
FOGGIA,NCL,39.0,39.0,1,1,1,1,1,41.466,15.555816
SAN GIUSEPPE DI CAIRO,NCL,-1.3333333333333333,-4.0,2,3,1,1,1,44.370096,8.28864
VENEZIA MESTRE,NCL,-2.0,-2.0,1,1,0,0,0,45.482123,12.232069
AGROPOLI CASTELLABATE,NCL,-25.0,-25.0,1,1,0,0,0,40.351521,15.002053
CASTELFRANCO D'EMILIA,NCL,14.0,19.0,2,3,2,2,2,44.597381,11.056408
CETRARO,NCL,4.0,4.0,1,1,1,0,0,39.512553,15.939263
COMO S. GIOVANNI,NCL,0.25,-5.0,4,12,4,4,3,45.808946,9.072331
PIACENZA,NCL,88.66666666666667,107.0,2,3,3,3,3,45.052238,9.70633
PIEDIMONTE-V.S.L.-AQUINO,NCL,58.5,26.0,1,2,2,2,2,,
PRAJA AJETA TORTORA,NCL,20.0,20.0,1,1,1,1,1,39.900832,15.780628
SANTARCANGELO DI ROMAGNA,NCL,-13.0,-19.0,1,2,0,0,0,44.070316,12.45454
TRECATE,NCL,-16.0,-15.0,3,3,0,0,0,45.428589,8.739561
ALESSANDRIA,NCL,72.5,61.0,2,2,2,2,2,44.909091,8.606498
BARI PARCO NORD,NCL,57.0,57.0,1,1,1,1,1,41.123916,16.837018
CELLE BULGHERIA ROCCAGLORIOSA,NCL,18.0,18.0,1,1,1,1,1,40.10287,15.39473
FALCONARA MARITTIMA,NCL,-50.0,-50.0,1,1,0,0,0,43.630577,13.397378
FANO,NCL,-38.0,-38.0,1,1,0,0,0,43.842977,13.02478
GROSSETO,NCL,36.8,57.0,5,5,4,4,4,42.76728,11.1065
NOVARA,NCL,-11.0,-10.0,3,3,0,0,0,45.451376,8.624895
PADOVA CAMPO MARTE,NCL,92.0,92.0,1,1,1,1,1,,
PAOLA,NCL,-46.5,-65.0,1,2,0,0,0,39.359442,16.033093
RIMINI,NCL,35.8,24.0,3,5,5,5,5,44.064176,12.574093
S.PIETRO IN CASALE,NCL,104.0,104.0,1,1,1,1,1,44.697928,11.404763
SENIGALLIA,NCL,-58.0,-58.0,1,1,0,0,0,43.716277,13.221652
VERONA PORTA NUOVA,NCL,-43.0,-43.0,1,1,0,0,0,45.428603,10.982377
