stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ABBASANTA,REG,1.251249107780157,0.0,29,1401,205,131,79,40.128801,8.817733
ACQUAVIVA DELLE FONTI,REG,1.0412156536219817,1.0,36,2402,158,74,35,40.892806,16.839826
ACQUI TERME,REG,3.531089978054133,3.0,41,2734,994,453,103,44.67407,8.474482
AIRASCA,REG,4.418723404255319,4.0,46,3525,2073,1247,134,44.928093,7.483536
AIRUNO,REG,3.0874976428436733,1.0,69,5303,1339,778,275,45.754086,9.422066
ALA,REG,4.321287779237845,3.0,69,4566,2119,1360,448,45.760087,10.996775
ALBA,REG,0.5326170376055257,0.0,18,1303,104,34,15,44.697713,8.030629
ALBAIRATE VERMEZZO,REG,1.008749189889825,0.0,95,6172,1067,631,279,,
ALBATE-TRECALLO,REG,2.538695917123705,2.0,22,1641,396,160,19,45.777391,9.095752
ALBISOLA,REG,1.9523715803975594,1.0,101,5081,798,428,139,44.33469,8.512092
ALESSANDRIA,REG,1.1352555701179554,1.0,121,7630,1794,1020,287,44.909091,8.606498
ALI` TERME,REG,2.331540013449899,1.0,51,2974,721,458,162,38.013952,15.435184
ALTARE,REG,1.3159851301115242,0.0,11,807,77,61,32,44.336169,8.332753
ANCONA,REG,0.9907662400777579,-1.0,104,6173,956,535,265,43.607734,13.497665
ANDORA,REG,2.5813076278290024,1.0,41,2386,749,491,124,,
ANTRODOCO BORGO VELINO,REG,2.422520107238606,2.0,32,1865,486,206,64,42.415393,13.076193
APPIANO,REG,2.130678693213068,1.0,152,9091,1414,496,110,41.909342,12.43838
APRILIA,REG,2.511265164644714,2.0,60,3462,887,367,102,41.592386,12.639126
ARBOSTELLA,REG,0.3799126637554585,0.0,61,229,4,2,0,40.677263,15.623814
ARDENNO MASINO,REG,4.124066628374497,3.0,21,1741,710,385,117,46.16198,9.651374
ARENZANO,REG,1.1027372262773723,0.0,110,5480,811,476,167,44.403089,8.678322
ARQUA`,REG,3.32574679943101,2.0,10,703,245,147,42,45.006465,11.748518
ASCIANO,REG,2.4819694868238558,2.0,31,1442,445,199,32,43.235245,11.579237
ASOLA,REG,7.436921578178276,6.0,25,2053,1523,1088,355,45.220454,10.402313
ASSEMINI,REG,0.25878241677395625,0.0,105,5437,290,153,57,39.287603,8.997936
AUGUSTA,REG,1.7873015873015874,1.0,30,1575,307,211,100,37.24334,15.218628
AVERSA,REG,1.6793417279640943,1.0,130,8021,1607,1054,443,40.973323,14.218578
AVEZZANO,REG,1.1454280155642023,0.0,37,2056,342,198,100,42.039495,13.426446
AVIANO,REG,-0.09692028985507246,-1.0,24,1104,11,8,6,46.064362,12.590686
AVOLA,REG,2.1650943396226414,1.0,19,1060,185,113,55,36.907434,15.125733
BAGNARA,REG,0.4891745602165088,-1.0,46,2956,281,162,63,38.282695,15.800327
BAGNI DI TIVOLI,REG,2.236879147395938,2.0,76,4973,1034,451,119,41.949593,12.722208
BALSORANO,REG,2.7949479940564634,1.0,14,673,162,91,35,41.809427,13.556546
