stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
AGROPOLI CASTELLABATE,,Fri,4.423076923076923,3.0,2,26,12,8,3,40.351521,15.002053
ASTI,,Fri,3.4615384615384617,2.0,2,26,8,7,2,44.89479,8.208112
BOLOGNA C.LE/AV,,Fri,3.122014202711427,1.0,125,1549,529,353,159,44.50626,11.342267
CAMPIGLIA MARITTIMA,,Fri,3.4846153846153847,1.0,11,130,44,34,15,43.017118,10.586558
CECINA,,Fri,6.8076923076923075,5.0,2,26,14,12,6,43.31028,10.514225
CIVITAVECCHIA,,Fri,3.046153846153846,-1.0,11,130,46,39,15,42.088287,11.79815
FALCONARA MARITTIMA,,Fri,1.8461538461538463,1.0,2,26,6,3,0,43.630577,13.397378
FIRENZE CAMPO MARTE,,Fri,5.9875,4.0,8,80,46,30,11,43.776856,11.27702
FIRENZE S.M.N.,,Fri,4.297370806890299,3.0,90,1103,475,334,137,43.776893,11.247373
FOGGIA,,Fri,8.568527918781726,5.0,33,394,231,176,107,41.466,15.555816
GENOVA BRIGNOLE,,Fri,4.095454545454546,2.0,18,220,80,54,24,44.407213,8.947553
LAMEZIA TERME CENTRALE,,Fri,2.425414364640884,1.0,14,181,48,35,16,38.921347,16.255577
LECCE,,Fri,7.764285714285714,2.0,12,140,65,59,44,40.34566,18.165724
LIVORNO CENTRALE,,Fri,5.0,3.0,11,130,57,39,14,43.55406,10.336593
MILANO ROGOREDO,,Fri,4.5,2.0,56,676,276,198,96,45.433866,9.2391
MONFALCONE,,Fri,1.7346938775510203,1.0,4,49,11,5,2,45.807683,13.542929
PESCHIERA DEL GARDA,,Fri,4.512915129151292,3.0,21,271,108,75,31,45.438502,10.702509
PISA CENTRALE,,Fri,5.202898550724638,3.0,17,207,102,75,26,43.70794,10.398183
PORDENONE,,Fri,4.285714285714286,-3.0,4,49,6,6,4,45.956281,12.654126
PORTOGRUARO CAORLE,,Fri,0.6923076923076923,0.0,2,26,2,2,1,45.781438,12.832375
POTENZA CENTRALE,,Fri,-2.5,-4.0,1,12,0,0,0,40.629469,15.806808
ROSARNO,,Fri,3.3480662983425415,1.0,14,181,61,42,20,38.488593,15.970149
S.BENEDETTO DEL TRONTO,,Fri,8.808219178082192,6.0,12,146,88,75,42,42.954386,13.882297
SAPRI,,Fri,2.9743589743589745,1.0,6,78,28,18,11,40.078013,15.627204
SIBARI,,Fri,8.923076923076923,9.0,1,13,8,8,6,39.749863,16.456922
TELESE CERRETO,,Fri,39.0,39.0,1,1,1,1,1,41.211709,14.526165
TRIESTE CENTRALE,,Fri,-0.6571428571428571,-2.0,3,35,3,3,1,45.657456,13.771873
VERONA PORTA NUOVA,,Fri,4.528771384136858,3.0,50,643,271,179,74,45.428603,10.982377
ALESSANDRIA,,Fri,1.5384615384615385,0.0,2,26,6,4,2,44.909091,8.606498
ANCONA,,Fri,5.809027777777778,3.0,25,288,140,116,75,43.607734,13.497665
BENEVENTO,,Fri,9.857142857142858,7.0,14,168,116,94,60,41.141901,14.769998
BERGAMO,,Fri,-3.0526315789473686,-4.0,3,38,3,1,1,45.690271,9.675082
CERVIGNANO A.G.,,Fri,0.9183673469387755,1.0,4,49,6,4,2,45.823948,13.342866
CONEGLIANO,,Fri,7.775510204081633,1.0,4,49,10,5,5,45.884706,12.298909
DESENZANO,,Fri,5.171673819742489,3.0,18,233,107,65,25,45.462677,10.536322
FERRANDINA,,Fri,-0.5,-1.0,1,12,0,0,0,40.516566,16.475276
FERRARA,,Fri,4.211221122112211,3.0,25,303,118,74,26,44.843047,11.603594
GROSSETO,,Fri,3.8,1.0,11,130,47,30,15,42.76728,11.1065
MANTOVA,,Fri,3.0,-2.0,1,13,2,2,1,45.158746,10.783165
OULX CESANA CLAVIERE SESTRIERE,,Fri,-1.1666666666666667,-1.0,2,24,1,1,1,45.038789,6.831432
PAOLA,,Fri,1.178743961352657,-1.0,16,207,56,41,24,39.359442,16.033093
PESARO,,Fri,7.425396825396826,5.0,27,315,184,140,86,43.906014,12.904848
PESCARA,,Fri,6.473895582329317,4.0,21,249,136,105,60,42.467789,14.205066
PIACENZA,,Fri,4.475409836065574,4.0,5,61,34,24,8,45.052238,9.70633
REGGIO EMILIA AV,,Fri,5.956284153005464,4.0,46,549,310,227,90,44.779886,10.744171
RHO FIERA MILANO,,Fri,4.097560975609756,2.0,18,205,74,47,20,,
RICCIONE,,Fri,12.901960784313726,7.0,7,51,36,33,21,43.999218,12.658549
RIMINIFIERA,,Fri,6.7272727272727275,3.0,11,11,4,4,2,,
ROVERETO,,Fri,4.628205128205129,4.0,12,156,83,43,15,45.890985,11.033518
S. DONA` DI PIAVE,,Fri,-1.1923076923076923,-2.0,2,26,4,3,1,45.63983,12.559791
SALERNO,,Fri,2.0,0.0,28,349,99,79,46,40.675137,14.772822
SCALEA S.DOMENICA TALAO,,Fri,6.107142857142857,4.0,6,56,33,22,13,39.8083,15.80139
TORINO PORTA SUSA,,Fri,2.820415879017013,0.0,44,529,134,99,57,45.075906,7.667673
VENEZIA SANTA LUCIA,,Fri,3.5435356200527703,1.0,32,379,99,68,38,45.441569,12.320882
BARDONECCHIA,,Fri,2.0,-2.0,1,12,1,1,1,45.076447,6.709959
BATTIPAGLIA,,Fri,3.953846153846154,1.0,6,65,17,15,12,40.605789,14.98324
BRINDISI,,Fri,5.696296296296296,0.0,23,270,96,86,64,40.634339,17.938978
CARPI,,Fri,9.846153846153847,4.0,2,26,16,9,3,44.782919,10.891952
CASERTA,,Fri,9.734806629834255,6.0,15,181,109,94,61,41.068655,14.328457
CESENA,,Fri,9.849056603773585,7.0,9,106,75,60,37,44.145449,12.24964
CHIAVARI,,Fri,4.871794871794871,3.0,10,117,47,35,13,44.315156,9.322464
CHIUSI C.T.,,Fri,6.0,5.0,2,2,2,1,0,43.002466,11.957893
CIVITANOVA MARCHE,,Fri,6.3076923076923075,6.0,2,26,15,14,8,43.3091,13.7257
FIUMICINO AEROPORTO,,Fri,-0.36538461538461536,-1.0,4,52,3,1,0,41.793673,12.251728
FORLI`,,Fri,9.195945945945946,7.0,13,148,91,81,46,44.22413,12.054871
GIOIA DEL COLLE,,Fri,1.6923076923076923,-1.0,2,26,7,6,2,40.796983,16.916569
JESI,,Fri,0.7692307692307693,-1.0,2,26,7,4,2,43.520164,13.251316
LA SPEZIA CENTRALE,,Fri,5.130434782608695,3.0,17,207,98,58,22,44.11141,9.813906
