stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
BARDONECCHIA,EC,Fri,8.466666666666667,5.0,2,15,9,5,4
BOLZANO,EC,Fri,6.829787234042553,4.0,11,141,76,53,34
BRESCIA,EC,Fri,4.818181818181818,3.0,4,33,14,7,3
FORTEZZA,EC,Fri,6.256578947368421,3.0,12,152,71,56,33
GENOVA P.PRINCIPE,EC,Fri,6.5,3.0,1,4,2,2,1
MILANO ROGOREDO,EC,Fri,4.454545454545454,4.0,3,11,6,4,1
PIACENZA,EC,Fri,1.5714285714285714,-1.0,2,7,2,1,1
STRESA,EC,Fri,7.854368932038835,7.0,9,103,75,64,21
TORINO PORTA SUSA,EC,Fri,11.23076923076923,4.0,4,26,14,11,6
VICENZA,EC,Fri,5.754385964912281,1.0,6,57,18,13,8
BOLOGNA C.LE,EC,Fri,6.5227272727272725,3.0,5,44,21,15,12
CHIASSO,EC,Fri,-0.4166666666666667,-4.0,6,12,3,3,1
FIRENZE RIFREDI,EC,Fri,4.0,4.0,1,1,1,0,0
MILANO LAMBRATE,EC,Fri,5.2727272727272725,3.0,3,11,5,5,1
ROVERETO,EC,Fri,7.4186046511627906,4.0,10,129,68,51,29
VENEZIA MESTRE,EC,Fri,5.321428571428571,1.0,6,56,13,7,6
VERONA PORTA NUOVA,EC,Fri,6.412162162162162,4.0,13,148,80,51,19
BRESSANONE,EC,Fri,6.368421052631579,4.0,12,152,78,54,32
MODANE,EC,Fri,4.642857142857143,0.0,4,14,6,5,3
PADOVA,EC,Fri,5.706896551724138,2.0,7,58,19,12,9
PARMA,EC,Fri,2.5714285714285716,0.0,2,7,1,1,1
PAVIA,EC,Fri,6.25,5.0,1,4,3,2,1
PESCHIERA DEL GARDA,EC,Fri,4.7272727272727275,3.0,4,33,14,7,3
REGGIO EMILIA,EC,Fri,3.857142857142857,3.0,2,7,3,2,1
RHO FIERA MILANO,EC,Fri,5.222222222222222,3.0,3,9,4,4,1
TORTONA,EC,Fri,2.5,2.0,1,4,1,0,0
TRENTO,EC,Fri,6.736434108527132,4.0,10,129,67,40,26
VENEZIA SANTA LUCIA,EC,Fri,7.785714285714286,2.0,3,28,7,6,4
VIPITENO,EC,Fri,-0.8260869565217391,-1.0,2,23,3,2,2
BRENNERO,EC,Fri,2.9078947368421053,1.0,6,76,28,25,14
COMO S. GIOVANNI,EC,Fri,4.070707070707071,2.0,18,99,42,29,11
DOMODOSSOLA,EC,Fri,4.496894409937888,2.0,15,161,69,55,23
GALLARATE,EC,Fri,10.11111111111111,7.0,6,72,52,44,22
MILANO CENTRALE,EC,Fri,7.019704433497537,3.0,21,203,100,84,50
MODENA,EC,Fri,2.142857142857143,1.0,2,7,2,1,1
TARVISIO BOSCOVERDE,EC,Fri,-12.0,-12.0,1,1,0,0,0
