stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
DESENZANO,EN,Fri,7.538461538461538,4.0,1,13,7,3,3
GENOVA P.PRINCIPE,EN,Fri,-5.769230769230769,-4.0,1,13,2,2,1
PAVIA,EN,Fri,9.692307692307692,4.0,1,13,7,6,3
FIRENZE CAMPO MARTE,EN,Fri,2.3,1.0,2,10,3,3,1
FIRENZE S.M.N.,EN,Fri,19.5,13.0,2,6,5,5,4
PESCHIERA DEL GARDA,EN,Fri,6.0,2.0,1,13,5,3,2
ROMA TERMINI,EN,Fri,16.615384615384617,-1.0,2,13,5,5,5
BRESCIA,EN,Fri,11.307692307692308,6.0,1,13,9,7,3
LA SPEZIA CENTRALE,EN,Fri,-4.6923076923076925,-7.0,1,13,1,1,0
MILANO ROGOREDO,EN,Fri,4.076923076923077,-2.0,1,13,4,4,3
PADOVA,EN,Fri,2.15,-3.0,3,20,9,9,6
TARVISIO BOSCOVERDE,EN,Fri,6.2,2.0,1,5,2,2,1
VERONA PORTA NUOVA,EN,Fri,2.5384615384615383,-2.0,1,13,3,2,2
BOLOGNA C.LE,EN,Fri,0.7777777777777778,-2.0,3,18,6,6,4
LEVANTO,EN,Fri,0.15384615384615385,-1.0,1,13,1,1,0
VICENZA,EN,Fri,2.4615384615384617,-3.0,1,13,3,2,2
