stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
AREZZO,IC,Fri,5.300699300699301,2.0,12,143,64,41,22
ASSISI,IC,Fri,6.549019607843137,5.0,4,51,31,19,6
BAIANO DI SPOLETO,IC,Fri,-1.0,-1.0,1,1,0,0,0
BATTIPAGLIA,IC,Fri,9.651006711409396,4.0,13,149,75,54,34
BENEVENTO,IC,Fri,10.083333333333334,8.0,3,36,27,23,14
BORDIGHERA,IC,Fri,4.233766233766234,3.0,7,77,35,23,8
BRINDISI,IC,Fri,4.643564356435643,2.0,11,101,37,26,18
CAPACCIO ROCCADASPIDE,IC,Fri,3.026315789473684,2.0,3,38,12,8,5
CASTELBOLOGNESE,IC,Fri,-1.0,-1.0,1,1,0,0,0
CASTELLANETA MARINA,IC,Fri,-2.0,-2.0,1,1,0,0,0
CASTELPLANIO CUPRAMONTANA,IC,Fri,-3.0,-3.0,1,1,0,0,0
CATANZARO LIDO,IC,Fri,8.62,7.0,4,50,32,29,16
FABRIANO,IC,Fri,4.326923076923077,0.0,4,52,8,7,5
FINALE LIGURE MARINA,IC,Fri,6.966101694915254,5.0,12,118,81,57,18
FIRENZE CAMPO MARTE,IC,Fri,7.142857142857143,3.0,7,42,20,15,13
GENOVA BRIGNOLE,IC,Fri,3.227106227106227,1.0,24,273,89,64,27
GIOIA DEL COLLE,IC,Fri,-0.7692307692307693,-5.0,3,26,5,5,3
GIOIA TAURO,IC,Fri,8.080882352941176,1.0,13,136,46,40,29
GIOJOSA MAREA,IC,Fri,3.0,3.0,1,1,0,0,0
IMOLA,IC,Fri,-1.0,-1.0,1,1,0,0,0
LAMEZIA TERME CENTRALE,IC,Fri,7.573426573426573,1.0,15,143,50,41,30
LENTINI,IC,Fri,10.206896551724139,5.0,9,58,35,28,16
LOANO,IC,Fri,3.0,1.0,2,2,1,0,0
LOCRI,IC,Fri,8.2,5.0,4,50,29,23,16
LORETO,IC,Fri,-0.6153846153846154,-1.0,1,13,1,1,0
MASSA CENTRO,IC,Fri,4.364864864864865,2.0,18,222,88,52,29
MONSELICE,IC,Fri,8.035714285714286,6.0,3,28,19,15,4
ORBETELLO,IC,Fri,5.130434782608695,2.0,2,23,9,5,4
OSTUNI,IC,Fri,5.058139534883721,2.0,9,86,31,22,17
PALIZZI,IC,Fri,77.0,77.0,1,1,1,1,1
PERUGIA,IC,Fri,6.794871794871795,4.0,3,39,20,15,4
POLICORO TURSI,IC,Fri,8.5,5.0,4,48,32,24,13
PORDENONE,IC,Fri,23.5,5.0,1,2,2,1,1
PORTO S. GIORGIO FERMO,IC,Fri,4.3478260869565215,3.0,11,138,68,47,16
POTENZA CENTRALE,IC,Fri,3.6808510638297873,2.0,4,47,17,9,5
PRATO CENTRALE,IC,Fri,3.9224806201550386,-2.0,11,129,45,41,34
REGGIO CALABRIA CENTRALE,IC,Fri,3.3970588235294117,-2.0,6,68,19,19,9
RICADI,IC,Fri,10.5,-2.0,2,8,2,2,2
ROSSANO,IC,Fri,12.4,9.0,4,50,44,36,17
S. DONA` DI PIAVE,IC,Fri,3.289473684210526,1.0,3,38,11,7,5
SALERNO,IC,Fri,6.857142857142857,1.0,25,238,93,79,53
SANTO STEFANO DI CAMASTRA,IC,Fri,24.88888888888889,2.0,4,9,4,4,4
SIBARI,IC,Fri,8.1,5.0,4,50,30,20,10
SICIGNANO DEGLI ALBURNI,IC,Fri,7.804347826086956,6.0,4,46,30,25,11
TELESE CERRETO,IC,Fri,15.0,12.0,2,25,20,18,13
TERME EUGANEE-ABANO-MONTEGR.,IC,Fri,4.714285714285714,1.0,2,14,4,4,3
TERNI,IC,Fri,5.634615384615385,4.0,4,52,32,15,3
TORINO P.NUOVA,IC,Fri,2.7857142857142856,1.0,7,56,9,2,1
TRIESTE AIRPORT,IC,Fri,3.526315789473684,3.0,3,38,15,11,3
VAIRANO,IC,Fri,14.48,14.0,2,25,14,14,14
VALLO DELLA LUC. CASTELNUOVO,IC,Fri,12.853932584269662,5.0,8,89,52,44,27
VERCELLI,IC,Fri,-0.6071428571428571,-1.0,4,28,1,1,0
VIBO MARINA,IC,Fri,16.125,4.0,2,8,5,3,2
VIBO VALENZIA PIZZO,IC,Fri,7.029411764705882,1.0,9,102,29,22,14
ACIREALE,IC,Fri,8.620689655172415,5.0,9,58,32,27,16
ALASSIO,IC,Fri,8.635593220338983,7.0,12,118,95,81,27
ANCONA,IC,Fri,3.0685714285714285,1.0,17,175,62,54,22
AUGUSTA,IC,Fri,8.12280701754386,4.0,9,57,30,18,11
BARI CENTRALE,IC,Fri,3.639705882352941,1.0,14,136,56,41,22
BOTRICELLO,IC,Fri,11.62,9.0,4,50,44,37,24
BOVALINO,IC,Fri,8.92,5.0,4,50,36,25,15
CAMOGLI SAN FRUTTUOSO,IC,Fri,9.0,9.0,1,1,1,1,0
CAMPIGLIA MARITTIMA,IC,Fri,5.6891891891891895,2.0,6,74,32,26,12
CANCELLO,IC,Fri,-4.0,-4.0,1,1,0,0,0
CARIATI,IC,Fri,14.48,12.0,4,50,42,39,31
CARONIA,IC,Fri,29.5,-2.0,1,2,1,1,1
CESENA,IC,Fri,2.5642857142857145,1.0,12,140,48,37,19
CIVITANOVA MARCHE,IC,Fri,3.710144927536232,2.0,11,138,56,45,16
CORNIGLIA,IC,Fri,-4.0,-4.0,1,1,0,0,0
CROPANI,IC,Fri,11.82,8.0,4,50,43,39,21
CUTRO,IC,Fri,17.23076923076923,14.0,1,13,12,11,8
FAENZA,IC,Fri,4.485714285714286,2.0,12,140,52,42,22
FALCONARA MARITTIMA,IC,Fri,2.8846153846153846,2.0,4,52,11,7,4
FASANO,IC,Fri,5.011627906976744,1.0,9,86,28,23,16
FERRARA,IC,Fri,4.175,1.0,4,40,14,9,4
FIDENZA,IC,Fri,4.422077922077922,1.0,13,154,59,43,22
FIRENZE RIFREDI,IC,Fri,1.2696629213483146,-1.0,7,89,19,13,8
FORTE DEI MARMI SERRAVEZZA Q.,IC,Fri,-1.0,-1.0,2,2,0,0,0
FRANCAVILLA FONTANA,IC,Fri,2.8,3.0,2,15,4,3,1
JESI,IC,Fri,4.0,0.0,4,52,11,6,5
LATISANA LIGNANO B.,IC,Fri,3.763157894736842,2.0,3,38,11,8,5
LECCE,IC,Fri,4.610169491525424,1.0,6,59,20,15,9
MILANO LAMBRATE,IC,Fri,3.5384615384615383,2.0,3,39,14,9,4
MODENA,IC,Fri,3.8152866242038215,1.0,15,157,63,48,25
MOLFETTA,IC,Fri,6.358620689655172,4.0,14,145,80,54,26
MONASTERACE STILO,IC,Fri,5.74,3.0,4,50,25,19,10
MONTEROSSO,IC,Fri,2.24,1.0,16,200,66,41,14
NOVI LIGURE,IC,Fri,-0.18421052631578946,-1.0,3,38,5,2,1
PADOVA,IC,Fri,6.45,3.0,4,40,16,11,7
PESCARA,IC,Fri,2.627737226277372,1.0,14,137,51,27,14
PIETRASANTA,IC,Fri,0.0,0.0,2,2,0,0,0
PISCIOTTA PALINURO,IC,Fri,21.146341463414632,8.0,5,41,29,26,15
