stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
ACIREALE,ICN,Fri,5.191489361702128,1.0,6,47,19,15,9
ALESSANDRIA,ICN,Fri,5.875,3.0,6,64,30,25,7
ANCONA,ICN,Fri,-4.303030303030303,-3.0,6,66,15,10,4
AREZZO,ICN,Fri,-1.0,1.0,4,20,5,4,3
ASCEA,ICN,Fri,6.0,5.0,2,12,7,6,2
BAGNARA,ICN,Fri,5.833333333333333,1.0,2,18,8,8,3
BARI CENTRALE,ICN,Fri,0.7761194029850746,-1.0,7,67,10,6,4
BARLETTA,ICN,Fri,5.791044776119403,2.0,7,67,25,16,9
BRINDISI,ICN,Fri,0.373134328358209,-1.0,7,67,12,8,3
CAPO D`ORLANDO-NASO,ICN,Fri,7.403225806451613,2.0,6,62,22,21,17
CASSINO,ICN,Fri,-10.0,-10.0,1,1,0,0,0
CHIUSI C.T.,ICN,Fri,1.25,-2.0,4,20,2,2,2
CIAMPINO,ICN,Fri,4.0,4.0,1,1,1,0,0
CORNIGLIA,ICN,Fri,7.0,7.0,1,1,1,1,0
FASANO,ICN,Fri,2.2093023255813953,0.0,5,43,11,8,2
FORMIA-GAETA,ICN,Fri,7.449275362318841,3.0,7,69,30,21,14
GIOIA DEL COLLE,ICN,Fri,4.333333333333333,1.0,2,24,5,3,3
GIOIA TAURO,ICN,Fri,8.966666666666667,6.0,4,30,17,16,8
GORIZIA CENTRALE,ICN,Fri,5.708333333333333,-1.0,5,24,9,6,6
LIVORNO CENTRALE,ICN,Fri,5.186046511627907,1.0,4,43,13,9,5
MILANO CENTRALE,ICN,Fri,1.7741935483870968,1.0,3,31,12,6,3
MILAZZO,ICN,Fri,4.403225806451613,1.0,6,62,19,16,12
MODENA,ICN,Fri,3.9130434782608696,3.0,5,46,21,18,5
PADOVA,ICN,Fri,-0.7083333333333334,-4.0,5,24,2,2,2
PIACENZA,ICN,Fri,4.868131868131868,2.0,9,91,44,32,14
PORDENONE,ICN,Fri,8.416666666666666,3.0,5,24,11,10,6
SANTO STEFANO DI CAMASTRA,ICN,Fri,0.7142857142857143,1.0,2,21,4,2,2
SAPRI,ICN,Fri,9.862068965517242,5.0,4,29,15,13,9
TERMINI IMERESE,ICN,Fri,-0.016129032258064516,-1.0,6,62,16,11,6
TERMOLI,ICN,Fri,-3.857142857142857,-7.0,2,21,2,2,1
TORINO LINGOTTO,ICN,Fri,1.875,1.0,6,64,14,9,6
TORTONA,ICN,Fri,5.904761904761905,5.0,2,21,12,10,2
VIAREGGIO,ICN,Fri,2.2222222222222223,-6.0,2,18,3,3,2
VIBO MARINA,ICN,Fri,8.0,3.0,2,18,8,7,6
AUGUSTA,ICN,Fri,2.9183673469387754,2.0,6,49,15,10,6
AVERSA,ICN,Fri,4.68,-1.0,2,25,10,8,2
BARCELLONA,ICN,Fri,5.032258064516129,1.0,6,62,20,18,13
BISCEGLIE,ICN,Fri,5.212121212121212,1.0,4,33,7,6,5
CASARSA,ICN,Fri,9.291666666666666,4.0,5,24,13,12,7
CASERTA,ICN,Fri,3.0,3.0,1,1,0,0,0
CESENA,ICN,Fri,0.6285714285714286,-3.0,3,35,8,5,3
CHIAVARI,ICN,Fri,7.976744186046512,1.0,4,43,16,12,8
CIVITAVECCHIA,ICN,Fri,9.813953488372093,4.0,4,43,23,17,6
GROSSETO,ICN,Fri,0.16279069767441862,-2.0,4,43,5,5,5
LA SPEZIA CENTRALE,ICN,Fri,-3.558139534883721,-9.0,4,43,5,5,3
LENTINI,ICN,Fri,3.7346938775510203,2.0,6,49,18,10,7
MOLFETTA,ICN,Fri,3.5757575757575757,1.0,4,33,7,6,4
MONOPOLI,ICN,Fri,3.488372093023256,2.0,5,43,15,8,2
MONSELICE,ICN,Fri,1.2083333333333333,-1.0,5,24,4,2,2
NOVARA,ICN,Fri,3.875,-1.0,2,24,9,8,5
OSTUNI,ICN,Fri,2.604651162790698,1.0,5,43,12,8,3
PALERMO CENTRALE,ICN,Fri,-10.857142857142858,-15.0,3,28,4,3,2
PESARO,ICN,Fri,-3.769230769230769,-3.0,2,26,1,0,0
PISCIOTTA PALINURO,ICN,Fri,5.416666666666667,3.0,2,12,6,6,2
REGGIO CALABRIA CENTRALE,ICN,Fri,5.125,1.0,1,8,3,2,1
S.BENEDETTO DEL TRONTO,ICN,Fri,-2.2,-2.0,1,10,3,0,0
SCALEA S.DOMENICA TALAO,ICN,Fri,10.4,5.0,4,30,18,13,9
SIRACUSA,ICN,Fri,-1.0555555555555556,-2.0,3,18,6,4,3
TERME EUGANEE-ABANO-MONTEGR.,ICN,Fri,3.0416666666666665,1.0,5,24,5,2,2
TORINO P.NUOVA,ICN,Fri,3.851063829787234,1.0,4,47,9,9,6
UDINE,ICN,Fri,8.041666666666666,2.0,5,24,10,8,7
VENEZIA MESTRE,ICN,Fri,3.4347826086956523,2.0,5,23,7,5,3
VERCELLI,ICN,Fri,5.5,2.0,2,24,10,9,4
VILLA SAN GIOVANNI,ICN,Fri,3.2363636363636363,0.0,7,55,18,15,11
VOGHERA,ICN,Fri,3.1904761904761907,5.0,2,21,12,8,2
AMANTEA,ICN,Fri,2.8,-2.0,4,30,13,10,7
BATTIPAGLIA,ICN,Fri,0.6666666666666666,-1.0,2,12,2,1,1
BENEVENTO,ICN,Fri,-1.0,-1.0,1,1,0,0,0
CATANIA CENTRALE,ICN,Fri,3.326530612244898,0.0,6,49,14,11,8
CEFALU`,ICN,Fri,1.7258064516129032,0.0,6,62,17,13,8
CODROIPO,ICN,Fri,9.458333333333334,5.0,5,24,13,11,7
CONEGLIANO,ICN,Fri,4.5,2.0,5,24,9,7,5
FERRARA,ICN,Fri,3.1666666666666665,1.0,5,24,5,4,2
FOGGIA,ICN,Fri,3.044776119402985,-1.0,7,67,18,13,6
FRANCAVILLA FONTANA,ICN,Fri,5.583333333333333,2.0,2,24,11,6,2
GENOVA BRIGNOLE,ICN,Fri,6.534883720930233,1.0,4,43,18,16,10
GIARRE RIPOSTO,ICN,Fri,3.9166666666666665,1.0,6,48,17,12,8
LAMEZIA TERME CENTRALE,ICN,Fri,8.617021276595745,5.0,6,47,31,22,16
MILANO PORTA GARIBALDI,ICN,Fri,1.75,-1.0,2,24,9,6,2
MONFALCONE,ICN,Fri,8.916666666666666,3.0,5,24,11,8,5
NAPOLI CENTRALE,ICN,Fri,2.739130434782609,-1.0,6,69,23,16,9
ORTE,ICN,Fri,2.7083333333333335,1.0,2,24,6,5,2
PALMI,ICN,Fri,7.833333333333333,3.0,2,18,9,8,3
PISA CENTRALE,ICN,Fri,4.558139534883721,1.0,4,43,10,6,5
PRATO CENTRALE,ICN,Fri,-1.25,-9.0,2,12,5,4,2
RAPALLO,ICN,Fri,13.0,10.0,2,2,2,2,1
REGGIO EMILIA,ICN,Fri,5.434782608695652,4.0,5,46,26,18,6
RIMINI,ICN,Fri,-6.848484848484849,-6.0,6,66,3,2,2
ROMA OSTIENSE,ICN,Fri,6.594594594594595,0.0,4,37,14,11,6
ROMA TERMINI,ICN,Fri,1.375,0.0,6,32,10,8,4
S.AGATA M.,ICN,Fri,3.0,0.0,6,62,19,17,12
SALERNO,ICN,Fri,2.1621621621621623,-2.0,8,74,14,12,11
TAORMINA,ICN,Fri,2.510204081632653,0.0,6,49,16,10,7
TORINO PORTA SUSA,ICN,Fri,4.291666666666667,1.0,2,24,6,4,3
TREVISO C.,ICN,Fri,4.666666666666667,1.0,5,24,9,7,4
TROPEA,ICN,Fri,5.5,-1.0,2,18,7,7,5
VENEZIA SANTA LUCIA,ICN,Fri,3.5833333333333335,2.0,5,24,7,6,2
VIBO VALENZIA PIZZO,ICN,Fri,12.75,7.0,2,12,10,10,6
AGROPOLI CASTELLABATE,ICN,Fri,2.5833333333333335,2.0,2,12,4,2,1
ASTI,ICN,Fri,3.703125,2.0,6,64,26,15,5
BOLOGNA C.LE,ICN,Fri,-0.2647058823529412,0.0,13,102,33,26,12
FAENZA,ICN,Fri,5.864864864864865,3.0,3,37,17,11,8
FIDENZA,ICN,Fri,2.1666666666666665,1.0,2,12,2,1,1
FIRENZE CAMPO MARTE,ICN,Fri,-4.782608695652174,-1.0,3,23,9,8,6
FORLI`,ICN,Fri,2.1142857142857143,-2.0,3,35,9,7,3
FROSINONE,ICN,Fri,1.0,1.0,1,1,0,0,0
GENOVA P.PRINCIPE,ICN,Fri,6.534883720930233,2.0,4,43,16,14,8
LATINA,ICN,Fri,6.615384615384615,1.0,6,65,27,19,14
LECCE,ICN,Fri,-0.24242424242424243,-2.0,4,33,6,5,2
MARATEA,ICN,Fri,6.5,6.0,2,12,8,7,2
MESSINA CENTRALE,ICN,Fri,0.8292682926829268,0.0,9,82,14,13,6
NICOTERA,ICN,Fri,7.388888888888889,4.0,2,18,12,7,5
ORVIETO,ICN,Fri,1.05,-1.0,2,20,6,5,3
PAOLA,ICN,Fri,5.366666666666666,-2.0,4,30,10,9,6
PARMA,ICN,Fri,5.757142857142857,2.0,7,70,31,22,17
PATTI-SAN PIERO PATTI,ICN,Fri,4.790322580645161,2.0,6,62,24,21,12
PESCARA,ICN,Fri,-1.8333333333333333,-4.0,6,66,10,8,5
RICADI,ICN,Fri,5.944444444444445,3.0,2,18,8,7,5
ROMA TIBURTINA,ICN,Fri,1.6818181818181819,-1.0,2,22,5,4,2
ROSARNO,ICN,Fri,9.4,5.0,4,30,21,15,9
ROVIGO,ICN,Fri,2.2083333333333335,0.0,5,24,6,5,2
SACILE,ICN,Fri,7.541666666666667,3.0,5,24,11,9,7
SAN SEVERO,ICN,Fri,3.0,-1.0,2,22,5,4,2
TARANTO,ICN,Fri,3.0,-1.0,2,24,7,5,2
TERONTOLA CORTONA,ICN,Fri,6.105263157894737,3.0,4,19,7,4,2
TRANI,ICN,Fri,6.0,2.0,4,35,10,6,4
TRIESTE CENTRALE,ICN,Fri,7.0,-1.0,1,13,3,3,3
VALLO DELLA LUC. CASTELNUOVO,ICN,Fri,5.166666666666667,2.0,2,12,6,6,1
