stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
CERVIGNANO A.G.,IR,Fri,6.0,6.0,1,1,1,1,0
LATISANA LIGNANO B.,IR,Fri,6.0,6.0,1,1,1,1,0
TRIESTE AIRPORT,IR,Fri,6.0,6.0,1,1,1,1,0
PORTOGRUARO CAORLE,IR,Fri,6.0,6.0,1,1,1,1,0
S. DONA` DI PIAVE,IR,Fri,4.0,4.0,1,1,1,0,0
MONFALCONE,IR,Fri,9.0,9.0,1,1,1,1,0
QUARTO D`ALTINO,IR,Fri,5.0,5.0,1,1,1,0,0
S. STINO DI LIVENZA,IR,Fri,4.0,4.0,1,1,1,0,0
SAN GIORGIO DI NOGARO,IR,Fri,5.0,5.0,1,1,1,0,0
TRIESTE CENTRALE,IR,Fri,9.0,9.0,1,1,1,1,0
VENEZIA MESTRE,IR,Fri,-1.0,-1.0,1,1,0,0,0
