stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
CASTELLAMMARE DI STABIA,MET,Fri,0.6,0.0,7,15,1,1,0,40.701398,14.483737
GIUGLIANO QUALIANO,MET,Fri,37.0,37.0,1,1,1,1,1,40.935018,14.10378
NAPOLI GIANTURCO,MET,Fri,-0.8501291989664083,-2.0,229,2709,231,117,37,40.853959,14.288213
NAPOLI MERGELLINA,MET,Fri,7.2,5.0,10,10,7,5,2,40.831531,14.218662
POMPEI,MET,Fri,2.4388807069219443,2.0,59,679,167,72,24,40.745918,14.501109
PORTICI- ERCOLANO,MET,Fri,1.5080428954423593,1.0,71,746,98,63,23,40.809907,14.335809
S.MARIA LA BRUNA,MET,Fri,1.8981233243967828,1.0,71,746,134,69,28,40.755435,14.407647
ACERRA,MET,Fri,3.6677740863787376,3.0,26,301,119,47,13,40.939066,14.372243
ANGRI,MET,Fri,3.375,3.0,59,680,259,114,30,40.746404,14.575366
ARECHI,MET,Fri,0.0,0.0,1,1,0,0,0,,
BAGNOLI AGNANO TERME,MET,Fri,-0.2574123989218329,-1.0,130,742,40,21,8,40.819444,14.166694
CANCELLO,MET,Fri,4.648829431438127,4.0,26,299,179,67,16,40.993063,14.418877
NAPOLI CAMPI FLEGREI,MET,Fri,-0.8496066635816751,-1.0,176,2161,111,69,33,40.822462,14.194649
NAPOLI MONTESANTO,MET,Fri,4.6,3.0,10,10,5,5,0,40.847807,14.244022
NAPOLI PIAZZA GARIBALDI,MET,Fri,4.7272727272727275,4.0,10,11,7,4,0,40.852326,14.275159
NAPOLI S.GIOV.BARRA,MET,Fri,0.2021614748887476,1.0,137,1573,95,40,18,40.831269,14.307811
NOCERA SUPERIORE,MET,Fri,3.013372956909361,2.0,59,673,186,75,20,40.742597,14.672398
PAGANI,MET,Fri,3.6544117647058822,3.0,59,680,266,104,26,40.74654,14.616996
PIAZZA AMEDEO,MET,Fri,-1.146341463414634,-2.0,224,1230,76,51,19,40.838506,14.232974
PIAZZA CAVOUR,MET,Fri,-0.6834415584415584,-2.0,116,616,56,36,14,40.855248,14.255175
SALERNO,MET,Fri,-1.517751479289941,-2.0,31,338,30,13,6,40.675137,14.772822
SCAFATI,MET,Fri,2.0308823529411764,1.0,59,680,138,66,24,40.746028,14.523253
TORRIONE,MET,Fri,4.0,2.0,2,2,1,1,0,,
CAVA DEI TIRRENI,MET,Fri,2.5141579731743664,2.0,59,671,168,77,20,40.703662,14.708461
MERCATELLO,MET,Fri,0.0,0.0,1,1,0,0,0,40.606491,15.38979
NAPOLI PIAZZA LEOPARDI,MET,Fri,0.5492438214680929,0.0,229,2711,248,118,48,40.82397,14.199117
NOCERA INFERIORE,MET,Fri,3.5454545454545454,3.0,59,682,205,84,26,40.745318,14.635346
POZZUOLI SOLFATARA,MET,Fri,0.09634146341463415,-1.0,66,820,64,31,10,40.827586,14.126163
CASALNUOVO,MET,Fri,3.6578073089700998,3.0,26,301,120,48,12,40.915559,14.35296
CASERTA,MET,Fri,2.9432624113475176,2.0,12,141,49,22,4,41.068655,14.328457
CAVALLEGGERI AOSTA,MET,Fri,-0.13916256157635468,-1.0,130,1624,89,30,7,40.819292,14.185679
MADDALONI INFERIORE,MET,Fri,15.0,15.0,1,1,1,1,1,41.035954,14.380504
PASTENA,MET,Fri,3.0,2.0,2,2,1,0,0,,
PIETRARSA,MET,Fri,3.0,3.0,1,1,0,0,0,40.822433,14.32058
TORRE ANNUNZIATA CENTRALE,MET,Fri,2.4301521438450897,2.0,68,723,169,78,25,40.747131,14.463744
TORRE DEL GRECO,MET,Fri,1.6751677852348994,1.0,71,745,113,69,27,40.787631,14.363159
TRACCIA,MET,Fri,4.1891891891891895,3.0,3,37,15,4,2,,
VILLA LITERNO,MET,Fri,36.0,36.0,1,1,1,1,1,41.004956,14.06753
