stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
ANCONA,,Mon,6.852739726027397,3.0,25,292,141,114,69
BARI CENTRALE,,Mon,4.2507552870090635,1.0,28,331,124,98,64
BATTIPAGLIA,,Mon,3.5223880597014925,1.0,6,67,22,18,10
BOLOGNA C.LE,,Mon,6.962264150943396,4.0,27,318,168,133,76
CERVIGNANO A.G.,,Mon,1.12,1.0,5,50,13,5,1
CIVITANOVA MARCHE,,Mon,10.346153846153847,6.0,2,26,18,14,8
CIVITAVECCHIA,,Mon,2.9692307692307693,1.0,11,130,51,39,17
FABRIANO,,Mon,4.12,2.0,2,25,8,6,2
FAENZA,,Mon,11.441176470588236,8.0,6,68,48,42,29
FALCONARA MARITTIMA,,Mon,6.32,2.0,2,25,8,7,3
FOGGIA,,Mon,8.05050505050505,5.0,33,396,238,182,107
FOLIGNO,,Mon,5.48,1.0,2,25,6,6,3
GENOVA BRIGNOLE,,Mon,3.771689497716895,1.0,18,219,66,49,25
LAMEZIA TERME CENTRALE,,Mon,4.825842696629214,1.0,16,178,54,42,20
LECCE,,Mon,4.708955223880597,1.0,11,134,52,43,28
MANTOVA,,Mon,1.5384615384615385,-1.0,1,13,2,1,1
METAPONTO,,Mon,-3.6363636363636362,-4.0,1,11,0,0,0
MONFALCONE,,Mon,1.9215686274509804,1.0,5,51,13,5,1
NAPOLI CENTRALE,,Mon,6.691860465116279,3.0,55,688,335,263,156
PALAZZOLO SULL`OGLIO,,Mon,-1.2857142857142858,-3.0,2,7,2,0,0
PAOLA,,Mon,3.8374384236453203,0.0,18,203,68,47,24
PARMA,,Mon,7.972972972972973,5.0,19,222,143,101,54
PERUGIA,,Mon,-1.7692307692307692,-4.0,1,13,2,1,0
PESCHIERA DEL GARDA,,Mon,4.295880149812734,3.0,21,267,119,68,25
PORTOGRUARO CAORLE,,Mon,1.7307692307692308,1.0,2,26,7,2,1
REGGIO CALABRIA CENTRALE,,Mon,3.652173913043478,-2.0,8,92,25,21,10
REGGIO EMILIA,,Mon,9.27927927927928,7.0,19,222,154,123,66
ROSARNO,,Mon,5.52808988764045,1.0,16,178,58,45,22
ROVIGO,,Mon,2.298611111111111,0.0,12,144,30,21,10
SARZANA,,Mon,4.0,1.0,2,26,12,5,3
SCALEA S.DOMENICA TALAO,,Mon,6.403846153846154,5.0,6,52,33,22,10
TORANO LATTARICO,,Mon,4.6,0.0,2,25,9,8,6
TORINO LINGOTTO,,Mon,3.923076923076923,1.0,2,26,10,9,3
TORINO PORTA SUSA,,Mon,3.6641651031894935,1.0,44,533,130,98,50
UDINE,,Mon,0.76,-3.0,2,25,6,4,2
VALLO DELLA LUC. CASTELNUOVO,,Mon,5.7272727272727275,3.0,6,77,34,26,15
VERONA PORTA NUOVA,,Mon,4.1114599686028255,3.0,50,637,270,161,53
VIBO VALENZIA PIZZO,,Mon,5.425742574257426,1.0,8,101,33,25,12
AGROPOLI CASTELLABATE,,Mon,6.28,3.0,2,25,12,10,6
ASTI,,Mon,6.5,3.0,2,26,13,9,4
CARPI,,Mon,6.153846153846154,3.0,2,26,13,9,3
CASERTA,,Mon,8.5,5.0,15,180,113,90,53
CECINA,,Mon,5.961538461538462,4.0,2,26,14,10,6
CESENA,,Mon,10.878504672897197,8.0,9,107,74,63,45
GENOVA P.PRINCIPE,,Mon,6.214285714285714,3.0,13,154,76,58,28
LA SPEZIA CENTRALE,,Mon,3.4444444444444446,2.0,17,207,82,49,16
LATISANA LIGNANO B.,,Mon,2.6862745098039214,1.0,5,51,17,10,2
LIVORNO CENTRALE,,Mon,4.253846153846154,2.0,11,130,50,31,11
MILANO ROGOREDO,,Mon,4.9411764705882355,2.0,57,680,278,185,92
NAPOLI AFRAGOLA,,Mon,6.463548830811554,4.0,60,727,364,283,158
PORDENONE,,Mon,-0.7450980392156863,-3.0,4,51,6,4,2
REGGIO EMILIA AV,,Mon,6.493693693693694,4.0,47,555,302,229,95
RHO FIERA MILANO,,Mon,4.720379146919432,3.0,19,211,86,53,27
RICCIONE,,Mon,10.01923076923077,5.0,7,52,35,25,19
ROMA TERMINI,,Mon,4.602162777461582,2.0,140,1757,684,471,225
ROVERETO,,Mon,5.696774193548387,3.0,12,155,77,49,16
TARANTO,,Mon,1.7692307692307692,0.0,1,13,3,3,1
TERMOLI,,Mon,7.2314410480349345,4.0,19,229,118,91,55
VENEZIA MESTRE,,Mon,1.6327231121281465,0.0,70,874,151,88,49
VICENZA,,Mon,2.167076167076167,1.0,32,407,110,63,24
ALESSANDRIA,,Mon,4.269230769230769,1.0,2,26,9,7,3
AREZZO,,Mon,3.9220779220779223,2.0,6,77,30,22,11
BENEVENTO,,Mon,8.359281437125748,7.0,14,167,105,91,54
BRINDISI,,Mon,3.9845559845559846,0.0,22,259,86,68,46
CHIAVARI,,Mon,4.239316239316239,3.0,10,117,50,34,12
CONEGLIANO,,Mon,2.196078431372549,1.0,4,51,10,5,3
FIRENZE CAMPO MARTE,,Mon,4.775,4.0,9,80,43,29,5
FIRENZE S.M.N.,,Mon,4.775158658204896,3.0,90,1103,500,334,141
FIUMICINO AEROPORTO,,Mon,0.5769230769230769,-1.0,4,52,5,2,1
GIOIA TAURO,,Mon,3.9615384615384617,-1.0,4,52,9,7,6
GROSSETO,,Mon,3.3615384615384616,1.0,11,130,44,30,10
JESI,,Mon,5.608695652173913,0.0,2,23,8,4,3
MILANO CENTRALE,,Mon,6.286127167630058,3.0,86,1038,448,341,188
ORTE,,Mon,-1.2692307692307692,-3.0,2,26,3,3,0
PESCARA,,Mon,7.388888888888889,4.0,21,252,133,106,59
PIACENZA,,Mon,5.9,4.0,5,60,31,23,11
POTENZA CENTRALE,,Mon,-0.8181818181818182,-3.0,1,11,2,2,1
RAVENNA,,Mon,11.166666666666666,0.0,1,12,6,4,4
RIMINI,,Mon,5.891812865497076,2.0,29,342,154,129,85
RIMINIFIERA,,Mon,17.954545454545453,12.0,11,22,16,15,12
S.BENEDETTO DEL TRONTO,,Mon,9.047619047619047,5.0,12,147,84,70,41
SALERNO,,Mon,4.48695652173913,0.0,28,345,133,110,62
SAPRI,,Mon,4.441558441558442,1.0,6,77,26,22,12
SIBARI,,Mon,9.25,6.0,1,12,8,7,4
SPOLETO,,Mon,6.6,3.0,2,25,8,6,3
TERNI,,Mon,4.6,2.0,2,15,5,3,2
