stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
DESENZANO,EN,Mon,15.538461538461538,5.0,1,13,8,6,6,45.462677,10.536322
LEVANTO,EN,Mon,3.8461538461538463,1.0,1,13,4,3,1,44.174167,9.616018
MILANO ROGOREDO,EN,Mon,6.615384615384615,-1.0,1,13,4,4,2,45.433866,9.2391
PAVIA,EN,Mon,11.615384615384615,6.0,1,13,10,8,2,45.188843,9.144674
BRESCIA,EN,Mon,16.076923076923077,6.0,1,13,10,8,6,45.532315,10.212828
FIRENZE S.M.N.,EN,Mon,21.285714285714285,15.0,2,7,4,4,4,43.776893,11.247373
VICENZA,EN,Mon,14.076923076923077,3.0,1,13,6,6,6,45.541102,11.540762
BOLOGNA C.LE,EN,Mon,12.615384615384615,5.0,4,13,8,6,6,44.50626,11.342267
FIRENZE CAMPO MARTE,EN,Mon,15.166666666666666,9.0,2,6,4,4,3,43.776856,11.27702
GENOVA P.PRINCIPE,EN,Mon,-2.1538461538461537,-2.0,1,13,1,1,1,44.417784,8.9207
PADOVA,EN,Mon,17.875,12.0,4,16,10,10,9,45.417846,11.880794
ROMA TERMINI,EN,Mon,46.083333333333336,47.0,3,12,8,8,8,41.900636,12.502026
TARVISIO BOSCOVERDE,EN,Mon,11.0,11.0,1,1,1,1,1,46.505956,13.608012
TORTONA,EN,Mon,7.0,5.0,1,2,2,1,0,44.900126,8.861777
LA SPEZIA CENTRALE,EN,Mon,-1.9230769230769231,-2.0,1,13,1,1,1,44.11141,9.813906
PESCHIERA DEL GARDA,EN,Mon,14.615384615384615,4.0,1,13,7,6,6,45.438502,10.702509
VERONA PORTA NUOVA,EN,Mon,11.846153846153847,0.0,1,13,6,6,5,45.428603,10.982377
