stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ACIREALE,IC,Mon,17.703703703703702,4.0,9,54,28,23,16,37.600514,15.163697
AGROPOLI CASTELLABATE,IC,Mon,17.0,5.0,9,90,52,45,30,40.351521,15.002053
AREZZO,IC,Mon,5.98051948051948,2.0,13,154,61,42,26,43.461725,11.874189
ASCEA,IC,Mon,24.807692307692307,5.0,6,52,33,26,20,40.140955,15.172626
BARI CENTRALE,IC,Mon,5.022222222222222,1.0,16,135,52,40,23,41.11774,16.869601
BATTIPAGLIA,IC,Mon,13.595890410958905,3.0,14,146,73,58,42,40.605789,14.98324
BRANCALEONE,IC,Mon,8.73469387755102,5.0,4,49,31,24,12,37.965475,16.103301
CANCELLO,IC,Mon,2.0,2.0,1,1,0,0,0,40.993063,14.418877
CASARSA,IC,Mon,-0.75,-2.0,1,4,0,0,0,45.953002,12.8406
CASSINO,IC,Mon,7.269230769230769,-4.0,2,26,13,13,13,41.484306,13.832125
CATANZARO LIDO,IC,Mon,8.204081632653061,6.0,4,49,31,26,12,38.821788,16.612975
CERVIGNANO A.G.,IC,Mon,2.736842105263158,1.0,3,38,8,3,1,45.823948,13.342866
CESENA,IC,Mon,3.4335664335664338,-1.0,13,143,45,32,18,44.145449,12.24964
CHIAVARI,IC,Mon,4.8108108108108105,1.0,25,259,93,70,34,44.315156,9.322464
CHIEUTI SERRACAPRIOLA,IC,Mon,14.153846153846153,5.0,1,13,8,6,5,41.921962,15.156645
FABRIANO,IC,Mon,4.711538461538462,1.0,4,52,18,13,8,43.345429,12.905336
FALCONARA MARITTIMA,IC,Mon,3.423076923076923,2.0,4,52,14,7,6,43.630577,13.397378
FIRENZE RIFREDI,IC,Mon,3.61,-2.0,8,100,30,25,15,43.800873,11.235729
FOGGIA,IC,Mon,5.24223602484472,2.0,18,161,65,57,34,41.466,15.555816
FOLLONICA,IC,Mon,7.368932038834951,3.0,9,103,51,38,24,42.926687,10.755775
GIARRE RIPOSTO,IC,Mon,17.789473684210527,5.0,9,57,31,25,18,37.730346,15.193386
GRASSANO,IC,Mon,10.30232558139535,4.0,4,43,23,16,11,40.593317,16.241049
GRICIGNANO,IC,Mon,37.0,37.0,1,1,1,1,1,40.998742,14.241657
GROSSETO,IC,Mon,7.625,5.0,12,104,54,47,25,42.76728,11.1065
IMOLA,IC,Mon,-2.0,-2.0,1,1,0,0,0,44.359418,11.718723
LATINA,IC,Mon,5.3019480519480515,1.0,30,308,105,80,46,41.538372,12.945888
LATISANA LIGNANO B.,IC,Mon,2.358974358974359,1.0,3,39,7,2,1,45.777733,13.001101
LECCE,IC,Mon,4.482758620689655,1.0,6,58,15,11,6,40.34566,18.165724
LIVORNO CENTRALE,IC,Mon,5.5886075949367084,2.0,18,158,64,49,24,43.55406,10.336593
MESSINA CENTRALE,IC,Mon,10.514285714285714,0.0,11,70,22,19,15,38.184975,15.561278
MESSINA MARITTIMA,IC,Mon,34.8,5.0,8,20,12,10,8,38.14988,15.534997
MEZZOCORONA,IC,Mon,6.0,4.0,2,2,2,1,0,46.207258,11.128595
MILANO ROGOREDO,IC,Mon,3.2882882882882885,1.0,20,222,65,47,19,45.433866,9.2391
NAPOLI CENTRALE,IC,Mon,3.785211267605634,1.0,28,284,106,81,48,40.852933,14.272908
NICOTERA,IC,Mon,4.6,4.0,2,10,7,2,0,38.549328,15.933749
ORBETELLO,IC,Mon,10.423076923076923,4.0,2,26,16,10,5,42.450615,11.248972
PADOVA,IC,Mon,8.116279069767442,2.0,4,43,16,14,9,45.417846,11.880794
PALMI,IC,Mon,6.8,7.0,2,10,9,6,0,38.364914,15.84438
PESCARA,IC,Mon,4.916666666666667,2.0,16,144,60,46,28,42.467789,14.205066
POLICORO TURSI,IC,Mon,8.714285714285714,7.0,4,49,35,31,10,40.207304,16.688819
POLIGNANO A MARE,IC,Mon,9.333333333333334,3.0,2,21,10,8,3,40.990926,17.218676
POLLINA,IC,Mon,49.9,-9.0,2,10,5,5,5,38.018,14.175943
PORTO S. GIORGIO FERMO,IC,Mon,6.16546762589928,4.0,12,139,71,52,27,43.17972,13.7975
PORTOGRUARO CAORLE,IC,Mon,6.230769230769231,2.0,3,39,10,7,2,45.781438,12.832375
RICADI,IC,Mon,-2.9,-6.0,2,10,2,1,0,38.630676,15.839848
ROCCELLA JONICA,IC,Mon,8.26530612244898,6.0,4,49,29,26,13,38.322043,16.406917
ROMA OSTIENSE,IC,Mon,3.4835164835164836,-1.0,12,91,25,17,11,41.87265,12.483917
ROMA S.PIETRO,IC,Mon,16.46153846153846,5.0,1,13,8,6,4,41.896143,12.454497
ROVERETO,IC,Mon,6.0,6.0,2,2,2,2,0,45.890985,11.033518
ROVIGO,IC,Mon,7.046511627906977,2.0,4,43,18,15,6,45.076993,11.780892
S.BENEDETTO DEL TRONTO,IC,Mon,6.293706293706293,4.0,13,143,76,56,26,42.954386,13.882297
SAN SEVERO,IC,Mon,8.17741935483871,5.0,13,124,72,58,33,41.684512,15.392567
SARZANA,IC,Mon,8.146341463414634,4.0,4,41,21,16,5,44.108865,9.960657
SCANZANO J. MONTALBANO J.,IC,Mon,0.0,0.0,1,1,0,0,0,40.25362,16.705192
SIRACUSA,IC,Mon,30.88,7.0,5,25,18,15,10,37.068906,15.280896
SOVERATO,IC,Mon,6.673469387755102,4.0,4,49,26,20,10,38.684339,16.549416
TAORMINA,IC,Mon,17.92982456140351,4.0,9,57,30,27,20,37.845429,15.282584
TARANTO,IC,Mon,4.861538461538461,0.0,7,65,17,14,10,40.483727,17.224059
TERMINI IMERESE,IC,Mon,12.333333333333334,-1.0,5,36,10,7,6,37.980132,13.703631
TORINO PORTA SUSA,IC,Mon,3.103448275862069,0.0,4,29,5,1,1,45.075906,7.667673
TORTONA,IC,Mon,6.415254237288136,4.0,13,118,67,41,17,44.900126,8.861777
TRIESTE AIRPORT,IC,Mon,2.4358974358974357,1.0,3,39,7,3,1,,
UDINE,IC,Mon,0.75,1.0,1,4,0,0,0,46.055791,13.242003
VALLO DELLA LUC. CASTELNUOVO,IC,Mon,17.147727272727273,7.0,9,88,56,47,28,40.233316,15.266511
VASTO S.SALVO,IC,Mon,8.271929824561404,4.0,10,114,59,46,29,42.079832,14.739483
