stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ACIREALE,ICN,Mon,0.21568627450980393,-1.0,6,51,17,14,8,37.600514,15.163697
AGROPOLI CASTELLABATE,ICN,Mon,7.363636363636363,7.0,2,11,6,6,3,40.351521,15.002053
ALESSANDRIA,ICN,Mon,3.9444444444444446,1.0,6,54,18,15,6,44.909091,8.606498
AREZZO,ICN,Mon,-1.8235294117647058,-5.0,3,17,4,4,2,43.461725,11.874189
ASTI,ICN,Mon,3.0,-1.0,6,54,13,11,6,44.89479,8.208112
AVERSA,ICN,Mon,2.5,1.0,2,22,7,5,3,40.973323,14.218578
BARLETTA,ICN,Mon,7.671428571428572,1.0,7,70,24,17,11,41.315227,16.278867
BISCEGLIE,ICN,Mon,10.020833333333334,1.0,5,48,15,13,9,41.235445,16.499484
CEFALU`,ICN,Mon,1.5806451612903225,-1.0,6,62,9,9,6,38.03285,14.019526
CHIAVARI,ICN,Mon,-1.8918918918918919,-2.0,4,37,3,2,2,44.315156,9.322464
FAENZA,ICN,Mon,4.478260869565218,1.0,2,23,9,7,5,44.293594,11.883268
GENOVA BRIGNOLE,ICN,Mon,-0.02631578947368421,-2.0,5,38,7,6,3,44.407213,8.947553
LECCE,ICN,Mon,0.21875,-2.0,3,32,6,6,4,40.34566,18.165724
LENTINI,ICN,Mon,1.5178571428571428,0.0,6,56,14,10,4,37.300916,14.99758
MONFALCONE,ICN,Mon,4.0,2.0,4,21,8,5,2,45.807683,13.542929
NAPOLI CENTRALE,ICN,Mon,4.636363636363637,-1.0,6,66,14,11,7,40.852933,14.272908
PADOVA,ICN,Mon,-1.0,-4.0,4,21,5,5,2,45.417846,11.880794
PARMA,ICN,Mon,9.859375,1.0,7,64,21,18,15,44.810203,10.32837
PESARO,ICN,Mon,-5.230769230769231,-10.0,1,13,1,1,1,43.906014,12.904848
PIACENZA,ICN,Mon,10.333333333333334,3.0,9,81,31,28,18,45.052238,9.70633
PISA CENTRALE,ICN,Mon,3.0,2.0,5,38,17,11,6,43.70794,10.398183
S.AGATA M.,ICN,Mon,1.5806451612903225,0.0,6,62,18,15,7,38.073554,14.640622
S.BENEDETTO DEL TRONTO,ICN,Mon,-2.8,-4.0,1,10,1,1,0,42.954386,13.882297
SAPRI,ICN,Mon,1.6923076923076923,-1.0,4,26,10,6,3,40.078013,15.627204
SIRACUSA,ICN,Mon,-1.4166666666666667,-1.0,3,24,4,2,2,37.068906,15.280896
TAORMINA,ICN,Mon,-0.6785714285714286,-2.0,6,56,15,12,4,37.845429,15.282584
TERMINI IMERESE,ICN,Mon,0.08064516129032258,-2.0,6,62,6,4,3,37.980132,13.703631
TORINO P.NUOVA,ICN,Mon,8.902439024390244,3.0,4,41,20,14,7,45.060969,7.67747
TORTONA,ICN,Mon,11.722222222222221,4.0,3,18,12,7,5,44.900126,8.861777
TROPEA,ICN,Mon,1.2666666666666666,-3.0,2,15,2,2,1,38.672302,15.894568
UDINE,ICN,Mon,3.619047619047619,2.0,4,21,7,4,2,46.055791,13.242003
VENEZIA SANTA LUCIA,ICN,Mon,1.8571428571428572,1.0,4,21,5,4,2,45.441569,12.320882
BARCELLONA,ICN,Mon,3.274193548387097,-1.0,6,62,17,13,8,38.14918,15.212499
BARI CENTRALE,ICN,Mon,2.4857142857142858,-4.0,7,70,14,11,7,41.11774,16.869601
CESENA,ICN,Mon,-0.3333333333333333,-3.0,2,21,5,2,1,44.145449,12.24964
CIVITAVECCHIA,ICN,Mon,3.3513513513513513,3.0,4,37,15,12,3,42.088287,11.79815
CONEGLIANO,ICN,Mon,0.7142857142857143,1.0,4,21,4,4,2,45.884706,12.298909
FASANO,ICN,Mon,6.543478260869565,1.0,5,46,13,9,6,40.851753,17.3859
FERRARA,ICN,Mon,1.3333333333333333,0.0,4,21,5,3,1,44.843047,11.603594
FIRENZE CAMPO MARTE,ICN,Mon,-11.882352941176471,-15.0,3,17,3,3,3,43.776856,11.27702
FOGGIA,ICN,Mon,2.9571428571428573,-2.0,7,70,18,15,9,41.466,15.555816
GIOIA TAURO,ICN,Mon,11.192307692307692,6.0,4,26,16,14,9,38.423436,15.897516
LA SPEZIA CENTRALE,ICN,Mon,-5.947368421052632,-12.0,5,38,9,8,7,44.11141,9.813906
MONOPOLI,ICN,Mon,8.282608695652174,1.0,5,46,12,9,4,40.952017,17.292455
NICOTERA,ICN,Mon,5.6,3.0,2,15,6,3,1,38.549328,15.933749
NOVARA,ICN,Mon,7.05,2.0,2,20,9,4,2,45.451376,8.624895
ORTE,ICN,Mon,11.714285714285714,2.0,3,21,6,5,5,42.43728,12.408986
ORVIETO,ICN,Mon,5.038461538461538,-4.0,3,26,7,7,7,42.723379,12.127412
PALERMO CENTRALE,ICN,Mon,-11.148148148148149,-13.0,3,27,2,2,2,38.109187,13.367515
PAOLA,ICN,Mon,4.038461538461538,-3.0,4,26,8,8,5,39.359442,16.033093
PISCIOTTA PALINURO,ICN,Mon,9.545454545454545,7.0,2,11,9,8,3,40.091539,15.243601
PORDENONE,ICN,Mon,3.9523809523809526,3.0,4,21,9,5,2,45.956281,12.654126
RAPALLO,ICN,Mon,0.0,0.0,1,1,0,0,0,44.351398,9.231282
RIMINI,ICN,Mon,-3.8688524590163933,-7.0,6,61,12,7,2,44.064176,12.574093
ROMA TERMINI,ICN,Mon,1.8148148148148149,-2.0,7,54,11,8,6,41.900636,12.502026
ROMA TIBURTINA,ICN,Mon,-1.263157894736842,-4.0,2,19,3,3,1,41.910903,12.530749
ROVERETO,ICN,Mon,1.7,1.0,1,10,2,1,0,45.890985,11.033518
SAN SEVERO,ICN,Mon,10.517241379310345,-1.0,3,29,9,8,6,41.684512,15.392567
SCALEA S.DOMENICA TALAO,ICN,Mon,6.461538461538462,4.0,4,26,14,9,7,39.8083,15.80139
TARANTO,ICN,Mon,4.875,1.0,2,24,6,5,4,40.483727,17.224059
TERME EUGANEE-ABANO-MONTEGR.,ICN,Mon,2.761904761904762,1.0,4,21,6,5,2,45.32744,11.79604
TERONTOLA CORTONA,ICN,Mon,10.470588235294118,2.0,3,17,6,6,3,43.210263,12.007906
TRENTO,ICN,Mon,-0.1,-2.0,1,10,2,1,0,46.072414,11.118941
TRIESTE CENTRALE,ICN,Mon,-3.2222222222222223,-4.0,1,9,0,0,0,45.657456,13.771873
VALLO DELLA LUC. CASTELNUOVO,ICN,Mon,10.0,7.0,2,11,10,8,3,40.233316,15.266511
VERONA PORTA NUOVA,ICN,Mon,2.1,-4.0,1,10,2,1,1,45.428603,10.982377
VIBO VALENZIA PIZZO,ICN,Mon,23.272727272727273,26.0,2,11,9,9,8,38.714593,16.139887
AMANTEA,ICN,Mon,4.615384615384615,-2.0,4,26,10,8,7,39.134353,16.068448
ASCEA,ICN,Mon,10.0,7.0,2,11,10,7,3,40.140955,15.172626
CATANIA CENTRALE,ICN,Mon,-0.7857142857142857,-3.0,6,56,11,9,6,37.506211,15.099417
CHIUSI C.T.,ICN,Mon,7.647058823529412,0.0,3,17,6,4,4,43.002466,11.957893
FIDENZA,ICN,Mon,11.1,3.0,2,10,5,4,3,44.86773,10.06339
GENOVA P.PRINCIPE,ICN,Mon,0.6052631578947368,-1.0,5,38,7,4,2,44.417784,8.9207
GIOIA DEL COLLE,ICN,Mon,6.833333333333333,1.0,2,24,11,7,4,40.796983,16.916569
GROSSETO,ICN,Mon,-2.945945945945946,-4.0,4,37,7,4,3,42.76728,11.1065
MARATEA,ICN,Mon,11.454545454545455,11.0,2,11,9,8,6,39.995028,15.70975
MILANO CENTRALE,ICN,Mon,11.7,-1.0,3,30,9,8,6,45.486347,9.204528
MILANO PORTA GARIBALDI,ICN,Mon,0.95,-5.0,2,20,2,2,2,45.484917,9.187683
MOLFETTA,ICN,Mon,8.75,0.0,5,48,14,13,9,41.196008,16.596793
MONSELICE,ICN,Mon,1.0476190476190477,-1.0,4,21,5,3,2,45.246116,11.74789
