stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ANCONA,,Sat,4.837121212121212,1.0,25,264,104,86,64,43.607734,13.497665
BARDONECCHIA,,Sat,-1.9166666666666667,-3.0,1,12,1,0,0,45.076447,6.709959
BERGAMO,,Sat,-2.619047619047619,-3.0,2,21,0,0,0,45.690271,9.675082
CECINA,,Sat,5.608695652173913,3.0,2,23,11,8,3,43.31028,10.514225
CERVIGNANO A.G.,,Sat,1.5348837209302326,1.0,4,43,9,6,2,45.823948,13.342866
CHIUSI C.T.,,Sat,10.0,5.0,2,2,2,1,1,43.002466,11.957893
FABRIANO,,Sat,1.9545454545454546,0.0,2,22,5,4,2,43.345429,12.905336
FERRARA,,Sat,2.590106007067138,2.0,26,283,79,40,15,44.843047,11.603594
FIRENZE RIFREDI,,Sat,3.0,3.0,1,1,0,0,0,43.800873,11.235729
FIUMICINO AEROPORTO,,Sat,-0.8541666666666666,-1.0,4,48,3,2,2,41.793673,12.251728
FOGGIA,,Sat,5.104347826086957,3.0,33,345,156,117,58,41.466,15.555816
FOLIGNO,,Sat,2.5454545454545454,1.0,2,22,7,4,3,42.954261,12.711096
GENOVA P.PRINCIPE,,Sat,7.2272727272727275,3.0,11,132,65,50,32,44.417784,8.9207
GENOVA QUARTO DEI MILLE,,Sat,0.0,0.0,1,1,0,0,0,44.388607,8.99597
LA SPEZIA CENTRALE,,Sat,5.70391061452514,3.0,15,179,89,65,31,44.11141,9.813906
LAMEZIA TERME CENTRALE,,Sat,5.650602409638554,1.0,16,166,45,31,23,38.921347,16.255577
LECCE,,Sat,1.3658536585365855,-1.0,12,123,30,23,15,40.34566,18.165724
MANTOVA,,Sat,-3.75,-4.0,1,12,0,0,0,45.158746,10.783165
MARATEA,,Sat,6.875,3.0,2,24,12,7,3,39.995028,15.70975
NAPOLI AFRAGOLA,,Sat,5.515859766277129,3.0,53,599,265,219,106,,
OULX CESANA CLAVIERE SESTRIERE,,Sat,-3.2083333333333335,-2.0,2,24,1,0,0,45.038789,6.831432
PALAZZOLO SULL`OGLIO,,Sat,-2.5,-4.0,2,4,0,0,0,45.601486,9.896235
PAVIA,,Sat,6.770833333333333,3.0,4,48,21,13,9,45.188843,9.144674
PIANEROTTOLO DI ARIANO,,Sat,27.0,27.0,1,1,1,1,1,41.188984,15.145482
PORDENONE,,Sat,-1.288888888888889,-3.0,4,45,3,2,1,45.956281,12.654126
RICCIONE,,Sat,9.25531914893617,3.0,7,47,23,20,15,43.999218,12.658549
RIMINI,,Sat,4.221864951768489,1.0,30,311,108,97,68,44.064176,12.574093
ROMA TIBURTINA,,Sat,2.062749003984064,0.0,93,1004,247,169,91,41.910903,12.530749
SPOLETO,,Sat,2.909090909090909,3.0,2,22,8,5,2,42.748121,12.736142
TARANTO,,Sat,9.916666666666666,0.0,1,12,4,4,4,40.483727,17.224059
TORINO P.NUOVA,,Sat,3.4881889763779528,0.0,24,254,70,50,33,45.060969,7.67747
TORINO PORTA SUSA,,Sat,2.200845665961945,0.0,42,473,93,66,39,45.075906,7.667673
TRENTO,,Sat,4.0,2.0,12,141,52,25,8,46.072414,11.118941
VENEZIA SANTA LUCIA,,Sat,0.46006389776357826,-1.0,28,313,45,23,17,45.441569,12.320882
VICENZA,,Sat,0.6724738675958188,0.0,28,287,46,25,8,45.541102,11.540762
