stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
BRESCIA,EC,Sat,2.64,1.0,4,25,6,5,3,45.532315,10.212828
BRESSANONE,EC,Sat,6.0,1.0,14,139,55,42,28,46.710088,11.649677
DOMODOSSOLA,EC,Sat,2.5,2.0,13,154,61,41,16,46.115429,8.296684
MODENA,EC,Sat,0.3333333333333333,-1.0,1,3,0,0,0,44.654461,10.930373
PADOVA,EC,Sat,3.4,1.0,10,65,15,10,5,45.417846,11.880794
PARMA,EC,Sat,3.3333333333333335,3.0,1,3,1,1,0,44.810203,10.32837
PESCHIERA DEL GARDA,EC,Sat,2.5416666666666665,1.0,3,24,5,4,2,45.438502,10.702509
SAN BONIFACIO,EC,Sat,42.0,42.0,1,1,1,1,1,45.40276,11.27406
VENEZIA MESTRE,EC,Sat,2.7540983606557377,1.0,9,61,10,6,5,45.482123,12.232069
BOLOGNA C.LE,EC,Sat,15.777777777777779,5.0,3,27,15,13,9,44.50626,11.342267
COMO S. GIOVANNI,EC,Sat,1.0921052631578947,0.0,12,76,17,4,1,45.808946,9.072331
GRISIGNANO DI ZOCCO,EC,Sat,19.0,19.0,1,1,1,1,1,45.48638,11.710762
MODANE,EC,Sat,14.0,0.0,2,8,4,4,3,,
PAVIA,EC,Sat,2.6666666666666665,3.0,1,3,1,1,0,45.188843,9.144674
REGGIO EMILIA,EC,Sat,4.666666666666667,4.0,1,3,2,1,0,44.697793,10.643093
TORTONA,EC,Sat,1.6666666666666667,1.0,1,3,1,1,0,44.900126,8.861777
BARDONECCHIA,EC,Sat,14.333333333333334,1.0,1,12,5,4,3,45.076447,6.709959
BRENNERO,EC,Sat,2.2857142857142856,-1.0,7,70,21,13,7,47.004117,11.505711
MILANO CENTRALE,EC,Sat,4.675675675675675,1.0,20,185,66,48,34,45.486347,9.204528
MILANO LAMBRATE,EC,Sat,6.428571428571429,4.0,3,7,5,3,1,45.484933,9.237333
MILANO ROGOREDO,EC,Sat,5.0,5.0,2,6,5,2,0,45.433866,9.2391
VENEZIA SANTA LUCIA,EC,Sat,2.5161290322580645,-1.0,6,31,4,4,4,45.441569,12.320882
VICENZA,EC,Sat,4.3,1.0,7,60,17,10,6,45.541102,11.540762
VIPITENO,EC,Sat,4.5,1.0,2,20,6,5,5,46.895732,11.440206
DESIO,EC,Sat,17.0,17.0,1,1,1,1,1,45.620112,9.218495
GALLARATE,EC,Sat,8.220338983050848,8.0,5,59,43,33,19,45.659828,8.798243
GENOVA P.PRINCIPE,EC,Sat,4.333333333333333,1.0,1,3,1,1,1,44.417784,8.9207
PIACENZA,EC,Sat,1.0,1.0,1,3,0,0,0,45.052238,9.70633
RHO FIERA MILANO,EC,Sat,6.333333333333333,7.0,3,9,7,5,3,,
ROVERETO,EC,Sat,6.769230769230769,3.0,12,117,57,44,24,45.890985,11.033518
STRESA,EC,Sat,7.033707865168539,6.0,8,89,68,51,22,45.884486,8.531454
TORINO PORTA SUSA,EC,Sat,13.4,0.0,2,20,8,5,4,45.075906,7.667673
TRENTO,EC,Sat,6.188034188034188,2.0,12,117,47,36,19,46.072414,11.118941
VERONA PORTA NUOVA,EC,Sat,6.515873015873016,3.0,15,126,51,38,18,45.428603,10.982377
