stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
LA SPEZIA CENTRALE,EN,Sat,4.75,-5.0,2,12,3,2,1
PESCHIERA DEL GARDA,EN,Sat,13.916666666666666,2.0,2,12,2,2,2
TARVISIO BOSCOVERDE,EN,Sat,46.0,30.0,1,2,2,2,2
VICENZA,EN,Sat,-1.4545454545454546,-4.0,2,11,1,1,1
LEVANTO,EN,Sat,10.333333333333334,1.0,2,12,4,4,1
ROMA TERMINI,EN,Sat,4.666666666666667,0.0,2,3,1,1,1
TORTONA,EN,Sat,132.0,132.0,1,1,1,1,1
GENOVA P.PRINCIPE,EN,Sat,-2.4166666666666665,-19.0,2,12,2,2,1
PAVIA,EN,Sat,13.333333333333334,2.0,2,12,6,3,1
BOLOGNA C.LE,EN,Sat,8.0,9.0,3,5,3,3,2
BRESCIA,EN,Sat,16.166666666666668,5.0,2,12,9,6,2
DESENZANO,EN,Sat,14.916666666666666,3.0,2,12,6,2,2
FIRENZE RIFREDI,EN,Sat,4.0,4.0,1,1,1,0,0
FIRENZE S.M.N.,EN,Sat,19.0,6.0,3,4,3,3,2
MILANO ROGOREDO,EN,Sat,9.333333333333334,-1.0,2,12,3,2,1
PADOVA,EN,Sat,-8.285714285714286,-16.0,3,14,3,3,3
VERONA PORTA NUOVA,EN,Sat,-0.6666666666666666,-3.0,2,12,2,2,2
