stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ALBACINA,IC,Sat,-2.5,-3.0,1,2,0,0,0,43.345686,12.986501
ALESSANDRIA,IC,Sat,2.9047619047619047,1.0,11,84,22,16,7,44.909091,8.606498
AMANTEA,IC,Sat,12.37864077669903,2.0,12,103,29,25,16,39.134353,16.068448
ASSISI,IC,Sat,6.235294117647059,2.0,3,34,16,9,5,43.058921,12.585304
ASTI,IC,Sat,5.0602409638554215,3.0,10,83,32,22,8,44.89479,8.208112
AVERSA,IC,Sat,4.538745387453875,1.0,27,271,77,60,33,40.973323,14.218578
BAGNARA,IC,Sat,29.2,11.0,2,5,4,3,3,38.282695,15.800327
BARCELLONA,IC,Sat,11.488372093023257,3.0,9,43,17,14,11,38.14918,15.212499
BARDONECCHIA,IC,Sat,7.75,1.0,1,12,5,3,1,45.076447,6.709959
BENEVENTO,IC,Sat,3.84,1.0,3,25,10,8,4,41.141901,14.769998
BORDIGHERA,IC,Sat,3.5753424657534247,2.0,7,73,28,19,5,43.778313,7.663504
BRINDISI,IC,Sat,2.9711538461538463,0.0,15,104,29,22,10,40.634339,17.938978
CAPACCIO ROCCADASPIDE,IC,Sat,8.485714285714286,-1.0,3,35,9,3,2,40.454518,15.013551
CEFALU`,IC,Sat,6.511627906976744,-1.0,9,43,13,11,8,38.03285,14.019526
CORIGLIANO CALABRO,IC,Sat,10.068181818181818,7.0,4,44,36,30,12,39.628223,16.514949
DIANO,IC,Sat,14.0,14.0,1,1,1,1,1,,
FABRIANO,IC,Sat,0.5606060606060606,0.0,6,66,7,4,3,43.345429,12.905336
FALCONARA MARITTIMA,IC,Sat,-2.32,-2.0,8,75,11,4,2,43.630577,13.397378
FIRENZE CAMPO MARTE,IC,Sat,10.897058823529411,2.0,12,68,27,22,15,43.776856,11.27702
FIRENZE RIFREDI,IC,Sat,-2.5121951219512195,-3.0,8,41,5,2,1,43.800873,11.235729
FORTE DEI MARMI SERRAVEZZA Q.,IC,Sat,7.333333333333333,3.0,2,24,11,7,6,43.97777,10.19936
FROSINONE,IC,Sat,3.12,6.0,3,25,13,13,11,41.625333,13.328728
GIARRE RIPOSTO,IC,Sat,18.8,6.0,8,50,27,26,20,37.730346,15.193386
GORIZIA CENTRALE,IC,Sat,11.2,-3.0,2,5,1,1,1,45.933047,13.60684
LORETO,IC,Sat,2.0,1.0,2,23,9,3,1,43.448376,13.620455
MARATEA,IC,Sat,19.03174603174603,3.0,9,63,31,28,18,39.995028,15.70975
METAPONTO,IC,Sat,4.845238095238095,2.0,8,84,36,30,16,40.368496,16.815176
