stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ACIREALE,ICN,Sat,-0.20930232558139536,0.0,6,43,15,12,5,37.600514,15.163697
ALESSANDRIA,ICN,Sat,4.916666666666667,3.0,6,60,26,16,8,44.909091,8.606498
BATTIPAGLIA,ICN,Sat,-0.875,-4.0,2,8,1,0,0,40.605789,14.98324
BISCEGLIE,ICN,Sat,10.609756097560975,1.0,4,41,14,11,7,41.235445,16.499484
BRESSANONE,ICN,Sat,12.2,9.0,1,5,5,4,2,46.710088,11.649677
CATANIA CENTRALE,ICN,Sat,-1.7906976744186047,-1.0,6,43,9,7,5,37.506211,15.099417
CHIUSI C.T.,ICN,Sat,-0.125,-2.0,3,16,3,3,1,43.002466,11.957893
CORNIGLIA,ICN,Sat,10.5,4.0,1,2,2,1,1,44.119938,9.711051
FOGGIA,ICN,Sat,6.057142857142857,-2.0,7,70,25,22,13,41.466,15.555816
FORMIA-GAETA,ICN,Sat,7.1571428571428575,1.0,8,70,26,25,17,41.258773,13.605996
GIARRE RIPOSTO,ICN,Sat,-0.09302325581395349,0.0,6,43,14,11,6,37.730346,15.193386
GIOIA DEL COLLE,ICN,Sat,5.7727272727272725,-1.0,2,22,6,5,4,40.796983,16.916569
GORIZIA CENTRALE,ICN,Sat,4.7894736842105265,-1.0,4,19,6,5,5,45.933047,13.60684
LATINA,ICN,Sat,6.492063492063492,2.0,6,63,25,23,14,41.538372,12.945888
NOVARA,ICN,Sat,0.8,-1.0,2,20,6,3,0,45.451376,8.624895
ORVIETO,ICN,Sat,1.1538461538461537,-1.0,3,26,5,3,2,42.723379,12.127412
PADOVA,ICN,Sat,8.789473684210526,-1.0,4,19,8,7,6,45.417846,11.880794
PAOLA,ICN,Sat,7.555555555555555,-1.0,4,27,9,8,8,39.359442,16.033093
PRATO CENTRALE,ICN,Sat,-2.4,-6.0,2,5,1,1,1,43.878737,11.109252
RAPALLO,ICN,Sat,15.0,15.0,1,1,1,1,1,44.351398,9.231282
REGGIO EMILIA,ICN,Sat,9.944444444444445,9.0,5,36,28,27,15,44.697793,10.643093
RICADI,ICN,Sat,4.368421052631579,2.0,2,19,9,6,4,38.630676,15.839848
ROVERETO,ICN,Sat,1.25,-6.0,1,12,4,3,3,45.890985,11.033518
S.BENEDETTO DEL TRONTO,ICN,Sat,-4.7272727272727275,-8.0,1,11,1,1,1,42.954386,13.882297
SAPRI,ICN,Sat,10.703703703703704,6.0,4,27,16,14,11,40.078013,15.627204
TERMINI IMERESE,ICN,Sat,-2.7884615384615383,-3.0,6,52,5,4,2,37.980132,13.703631
TREVISO C.,ICN,Sat,6.052631578947368,0.0,4,19,8,6,6,45.659608,12.24614
TRIESTE CENTRALE,ICN,Sat,2.625,-1.0,1,8,2,2,2,45.657456,13.771873
VERONA PORTA NUOVA,ICN,Sat,0.6666666666666666,-14.0,1,12,5,5,4,45.428603,10.982377
