stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
CREVALCORE,IR,Sat,2.0,2.0,1,1,0,0,0,44.719156,11.152625
ISOLA DELLA SCALA,IR,Sat,4.0,4.0,1,1,1,0,0,45.269474,11.013312
MEZZOCORONA,IR,Sat,8.0,8.0,1,1,1,1,0,46.207258,11.128595
ROVERETO,IR,Sat,2.0,2.0,1,1,0,0,0,45.890985,11.033518
S.FELICE SP,IR,Sat,2.0,2.0,1,1,0,0,0,44.834527,11.140243
VERONA PORTA NUOVA,IR,Sat,-2.0,-2.0,1,1,0,0,0,45.428603,10.982377
ALA,IR,Sat,3.0,3.0,1,1,0,0,0,45.760087,10.996775
OSTERIA NUOVA,IR,Sat,2.0,2.0,1,1,0,0,0,44.586613,11.236525
TRENTO,IR,Sat,4.0,4.0,1,1,1,0,0,46.072414,11.118941
MIRANDOLA,IR,Sat,4.0,4.0,1,1,1,0,0,44.891638,11.111689
NOGARA,IR,Sat,3.0,3.0,1,1,0,0,0,45.179937,11.070572
DOMEGLIARA,IR,Sat,4.0,4.0,1,1,1,0,0,45.522348,10.820408
POGGIO RUSCO,IR,Sat,2.0,2.0,1,1,0,0,0,44.981859,11.124627
SAN GIOVANNI IN PERSICETO,IR,Sat,4.0,4.0,1,1,1,0,0,44.643151,11.189444
