stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
GENOVA P.PRINCIPE,EN,Sun,-1.0,-2.0,6,12,4,3,2
LA SPEZIA CENTRALE,EN,Sun,-3.3636363636363638,-7.0,5,11,1,1,1
LEVANTO,EN,Sun,0.3333333333333333,-2.0,6,12,1,1,1
RECCO,EN,Sun,-3.0,-3.0,1,1,0,0,0
ROMA TERMINI,EN,Sun,12.333333333333334,-1.0,2,3,1,1,1
VERONA PORTA NUOVA,EN,Sun,14.88888888888889,-1.0,3,9,4,4,4
VICENZA,EN,Sun,23.0,13.0,2,7,4,4,4
BOLOGNA C.LE,EN,Sun,19.333333333333332,21.0,2,3,2,2,2
BRESCIA,EN,Sun,21.555555555555557,16.0,3,9,6,6,6
PESCHIERA DEL GARDA,EN,Sun,21.444444444444443,17.0,3,9,6,6,6
SESTRI LEVANTE,EN,Sun,15.0,15.0,1,1,1,1,1
PADOVA,EN,Sun,20.0,15.0,7,13,10,9,7
PAVIA,EN,Sun,10.583333333333334,5.0,6,12,9,6,3
DESENZANO,EN,Sun,22.11111111111111,17.0,3,9,6,6,6
FIRENZE S.M.N.,EN,Sun,15.0,15.0,2,3,2,2,2
MILANO ROGOREDO,EN,Sun,11.583333333333334,6.0,6,12,8,7,5
RAPALLO,EN,Sun,32.0,32.0,1,1,1,1,1
TARVISIO BOSCOVERDE,EN,Sun,11.0,3.0,2,2,1,1,1
