stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
AGROPOLI CASTELLABATE,IC,Sun,5.827956989247312,1.0,8,93,33,27,15
ALASSIO,IC,Sun,5.391304347826087,5.0,25,115,76,52,13
ALESSANDRIA,IC,Sun,0.4659090909090909,0.0,10,88,24,9,3
ASCEA,IC,Sun,10.365384615384615,5.0,5,52,28,24,12
AUGUSTA,IC,Sun,1.537313432835821,0.0,11,67,14,11,7
AVERSA,IC,Sun,3.3289036544850497,-1.0,29,301,74,56,31
BARLETTA,IC,Sun,5.136094674556213,2.0,20,169,62,46,26
BRUCOLI,IC,Sun,10.666666666666666,6.0,1,3,2,2,1
BRUNICO,IC,Sun,2.5,2.0,2,2,0,0,0
CALOPEZZATI,IC,Sun,8.0,8.0,1,1,1,1,0
CARRARA AVENZA,IC,Sun,12.375,3.0,5,8,4,4,2
CASARSA,IC,Sun,79.0,5.0,2,2,2,1,1
CASSINO,IC,Sun,6.923076923076923,7.0,2,26,14,14,9
CIRO',IC,Sun,6.882352941176471,5.0,4,51,33,25,15
CODROIPO,IC,Sun,78.0,5.0,2,2,2,1,1
CROPANI,IC,Sun,5.627450980392157,6.0,4,51,35,28,6
DOBBIACO,IC,Sun,2.0,1.0,2,2,0,0,0
FABRIANO,IC,Sun,0.4264705882352941,-1.0,6,68,14,9,4
FAENZA,IC,Sun,2.66,1.0,16,150,34,24,10
FANO,IC,Sun,2.324324324324324,0.0,14,148,31,21,11
FERRANDINA,IC,Sun,2.4186046511627906,0.0,4,43,13,9,4
FIRENZE RIFREDI,IC,Sun,-0.967741935483871,-3.0,9,62,15,10,3
FIRENZE S.M.N.,IC,Sun,4.722222222222222,-1.0,3,18,7,5,3
FOLLONICA,IC,Sun,4.723404255319149,2.0,9,94,31,24,10
FOSSATO DI VICO GUBBIO,IC,Sun,1.66,-2.0,4,50,9,8,6
GIOIOSA JONICA,IC,Sun,2.392156862745098,2.0,4,51,16,12,2
GIULIANOVA,IC,Sun,2.682758620689655,2.0,13,145,48,33,8
ISOLA CAPO RIZZUTO,IC,Sun,2.0,2.0,1,1,0,0,0
JESI,IC,Sun,0.45588235294117646,0.0,6,68,11,6,5
LAMEZIA TERME CENTRALE,IC,Sun,4.038961038961039,1.0,18,154,39,31,16
LETOJANNI,IC,Sun,-1.0,-4.0,1,5,2,1,1
LODI,IC,Sun,0.14173228346456693,-1.0,14,127,19,10,6
MELITO DI PORTO SALVO,IC,Sun,2.5294117647058822,2.0,4,51,21,13,4
MESSINA CENTRALE,IC,Sun,2.1219512195121952,0.0,14,82,20,15,10
MILAZZO,IC,Sun,3.914285714285714,0.0,6,35,11,7,4
ORTE,IC,Sun,3.2888888888888888,1.0,21,180,51,40,27
OULX CESANA CLAVIERE SESTRIERE,IC,Sun,1.0909090909090908,-2.0,2,22,2,1,1
PALERMO CENTRALE,IC,Sun,-7.0,-20.0,3,7,2,2,1
PAOLA,IC,Sun,1.639751552795031,-2.0,21,161,31,22,16
PARMA,IC,Sun,4.287769784172662,2.0,20,139,43,33,13
PAVIA,IC,Sun,2.424137931034483,1.0,32,290,71,45,18
PIACENZA,IC,Sun,1.2361111111111112,-2.0,22,144,31,28,14
PISCIOTTA PALINURO,IC,Sun,9.307692307692308,3.0,5,52,26,23,11
PM Orciano,IC,Sun,12.0,12.0,1,1,1,1,1
POLLINA,IC,Sun,-4.25,-18.0,3,8,2,2,2
POTENZA CENTRALE,IC,Sun,1.7674418604651163,-1.0,4,43,10,8,3
PRAJA AJETA TORTORA,IC,Sun,3.55,1.0,5,60,23,20,6
PRATO CENTRALE,IC,Sun,-0.3968253968253968,-3.0,12,63,19,14,4
QUARTO D`ALTINO,IC,Sun,4.0,4.0,1,1,1,0,0
ROSARNO,IC,Sun,4.25,1.0,12,120,30,24,14
S. DONA` DI PIAVE,IC,Sun,3.9,2.0,5,50,15,11,3
S.BENEDETTO DEL TRONTO,IC,Sun,3.219178082191781,2.0,14,146,53,29,9
SALERNO,IC,Sun,2.75,-1.0,30,248,86,59,35
SAVONA,IC,Sun,2.690909090909091,2.0,20,110,43,28,9
SENIGALLIA,IC,Sun,2.4025974025974026,1.0,16,154,40,25,10
SIDERNO,IC,Sun,3.176470588235294,2.0,4,51,18,13,2
TAGGIA ARMA,IC,Sun,4.185714285714286,3.0,12,70,35,19,3
TAORMINA,IC,Sun,3.7794117647058822,1.0,11,68,23,16,14
TRANI,IC,Sun,6.348684210526316,2.0,17,152,62,42,26
TRENTO,IC,Sun,-0.6666666666666666,-1.0,3,3,0,0,0
VALDAORA - ANTERSELVA,IC,Sun,-4.0,-4.0,1,1,0,0,0
VALLO DELLA LUC. CASTELNUOVO,IC,Sun,7.268817204301075,4.0,8,93,47,34,16
VARAZZE,IC,Sun,6.363636363636363,6.0,3,22,16,12,4
VENEZIA SANTA LUCIA,IC,Sun,72.5,-3.0,2,2,1,1,1
VILLANOVA,IC,Sun,1.6666666666666667,2.0,1,3,0,0,0
VOGHERA,IC,Sun,3.9596412556053813,2.0,27,223,71,37,13
ALBENGA,IC,Sun,5.052173913043478,5.0,25,115,73,46,11
AMANTEA,IC,Sun,3.441666666666667,2.0,12,120,29,20,9
ANCONA,IC,Sun,0.9382022471910112,-1.0,19,178,50,38,14
AREZZO,IC,Sun,3.8095238095238093,2.0,14,105,38,29,17
ASTI,IC,Sun,1.6136363636363635,1.0,10,88,27,13,3
BARCELLONA,IC,Sun,3.8857142857142857,0.0,6,35,10,8,4
BARI CENTRALE,IC,Sun,0.3916083916083916,-2.0,17,143,29,22,14
BELLA MURO,IC,Sun,2.4651162790697674,2.0,4,43,16,10,3
BITETTO PALO DEL COLLE,IC,Sun,2.0,2.0,1,1,0,0,0
BOLZANO,IC,Sun,1.3333333333333333,3.0,3,3,1,0,0
BOTRICELLO,IC,Sun,5.333333333333333,5.0,4,51,34,23,5
BOVALINO,IC,Sun,5.9411764705882355,3.0,4,51,25,14,5
BUSSOLENO,IC,Sun,1.0909090909090908,-3.0,2,22,2,2,2
CAPACCIO ROCCADASPIDE,IC,Sun,2.027027027027027,0.0,3,37,10,7,4
CASTELDARNE,IC,Sun,-1.0,-1.0,1,1,0,0,0
CEFALU`,IC,Sun,0.7058823529411765,-2.0,6,34,5,3,2
CERVIGNANO A.G.,IC,Sun,3.16,1.0,5,50,14,7,4
CHIUSI C.T.,IC,Sun,1.9285714285714286,-2.0,12,84,25,22,13
CIVITANOVA MARCHE,IC,Sun,2.4413793103448276,1.0,13,145,47,29,11
