stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
ACIREALE,ICN,Sun,-5.378378378378378,-1.0,7,37,9,9,4
ASCEA,ICN,Sun,16.857142857142858,6.0,2,7,5,4,2
BOLZANO,ICN,Sun,6.75,2.0,2,12,5,4,2
BRINDISI,ICN,Sun,-1.0163934426229508,-4.0,6,61,8,7,5
CAPO D`ORLANDO-NASO,ICN,Sun,1.2333333333333334,1.0,6,60,13,10,8
CASARSA,ICN,Sun,8.476190476190476,3.0,2,21,10,6,4
CESENA,ICN,Sun,0.0,-3.0,3,31,4,4,3
CORNIGLIA,ICN,Sun,5.0,5.0,1,1,1,0,0
DOBBIACO,ICN,Sun,2.142857142857143,2.0,2,7,1,0,0
FIRENZE CAMPO MARTE,ICN,Sun,-20.714285714285715,-22.0,3,7,2,2,1
FORLI`,ICN,Sun,0.0,-2.0,3,31,5,4,4
FORTEZZA,ICN,Sun,6.857142857142857,5.0,2,7,7,3,1
GIARRE RIPOSTO,ICN,Sun,-4.410256410256411,-1.0,7,39,11,5,3
LAMEZIA TERME CENTRALE,ICN,Sun,5.8,2.0,6,40,15,13,11
LECCE,ICN,Sun,0.06451612903225806,-2.0,3,31,4,2,2
LENTINI,ICN,Sun,-4.846153846153846,-3.0,7,39,3,3,3
LIVORNO CENTRALE,ICN,Sun,-1.1578947368421053,1.0,4,19,3,2,2
MONOPOLI,ICN,Sun,-0.45,1.0,4,40,4,4,2
NAPOLI CENTRALE,ICN,Sun,1.8305084745762712,-1.0,7,59,11,10,9
ORVIETO,ICN,Sun,-6.25,-8.0,4,8,2,2,2
PAOLA,ICN,Sun,2.0869565217391304,-3.0,4,23,4,4,2
PATTI-SAN PIERO PATTI,ICN,Sun,1.1016949152542372,-1.0,6,59,16,8,5
PAVIA,ICN,Sun,0.8,1.0,2,5,2,0,0
PESCARA,ICN,Sun,-6.035714285714286,-7.0,6,56,9,6,5
PIACENZA,ICN,Sun,3.9027777777777777,2.0,10,72,27,21,9
RICADI,ICN,Sun,0.8823529411764706,2.0,2,17,6,3,1
ROMA TERMINI,ICN,Sun,7.55,-2.0,7,40,13,13,10
ROMA TIBURTINA,ICN,Sun,-1.6111111111111112,-1.0,4,18,5,4,4
SALERNO,ICN,Sun,0.5967741935483871,-6.0,9,62,14,10,9
TARANTO,ICN,Sun,1.4761904761904763,0.0,2,21,6,3,2
TORINO P.NUOVA,ICN,Sun,-1.85,-2.0,4,40,7,4,3
TRIESTE CENTRALE,ICN,Sun,1.8181818181818181,-2.0,1,11,1,1,1
TROPEA,ICN,Sun,-0.058823529411764705,-1.0,2,17,4,2,1
AGROPOLI CASTELLABATE,ICN,Sun,15.142857142857142,3.0,2,7,3,3,2
ALESSANDRIA,ICN,Sun,4.433962264150943,0.0,6,53,15,12,6
ANCONA,ICN,Sun,-8.875,-8.0,6,56,8,6,5
AVERSA,ICN,Sun,12.083333333333334,-1.0,2,24,9,8,6
BARLETTA,ICN,Sun,2.542372881355932,1.0,6,59,16,12,7
BRESSANONE,ICN,Sun,5.0,4.0,2,7,5,2,1
CHIAVARI,ICN,Sun,7.128205128205129,0.0,4,39,10,7,6
CHIUSI C.T.,ICN,Sun,0.5,-2.0,2,6,1,1,1
FASANO,ICN,Sun,1.4,-1.0,4,40,5,4,4
FIDENZA,ICN,Sun,10.5,4.0,1,2,2,1,1
FOGGIA,ICN,Sun,1.2542372881355932,-1.0,6,59,17,14,9
GENOVA BRIGNOLE,ICN,Sun,7.0,1.0,6,44,20,16,7
GROSSETO,ICN,Sun,3.1842105263157894,-3.0,4,38,14,11,6
MILANO CENTRALE,ICN,Sun,1.9166666666666667,-1.0,3,24,7,4,4
MILANO PORTA GARIBALDI,ICN,Sun,-5.894736842105263,-3.0,2,19,3,1,0
MILAZZO,ICN,Sun,1.847457627118644,0.0,6,59,16,10,5
MODENA,ICN,Sun,6.3428571428571425,3.0,4,35,17,9,6
MOLFETTA,ICN,Sun,0.875,0.0,3,32,7,5,3
ORTE,ICN,Sun,4.742857142857143,1.0,4,35,12,9,8
OSTUNI,ICN,Sun,1.775,-1.0,4,40,6,5,4
PALERMO CENTRALE,ICN,Sun,-27.04,-23.0,3,25,0,0,0
PALMI,ICN,Sun,6.647058823529412,5.0,2,17,12,7,4
PARMA,ICN,Sun,3.5384615384615383,0.0,6,52,17,14,7
PORDENONE,ICN,Sun,8.666666666666666,2.0,2,21,9,5,5
REGGIO EMILIA,ICN,Sun,7.470588235294118,4.0,4,34,18,15,6
ROSARNO,ICN,Sun,6.458333333333333,5.0,4,24,16,8,4
S.AGATA M.,ICN,Sun,-5.88135593220339,-9.0,6,59,12,8,5
S.BENEDETTO DEL TRONTO,ICN,Sun,-7.6,-10.0,1,10,0,0,0
SAN SEVERO,ICN,Sun,-0.35,-2.0,2,20,3,2,2
SCALEA S.DOMENICA TALAO,ICN,Sun,7.333333333333333,3.0,4,24,11,9,4
SIRACUSA,ICN,Sun,-19.555555555555557,-21.0,4,18,1,1,1
TAORMINA,ICN,Sun,-1.8974358974358974,-2.0,7,39,7,5,4
TERME EUGANEE-ABANO-MONTEGR.,ICN,Sun,7.863636363636363,0.0,2,22,5,4,4
TERMINI IMERESE,ICN,Sun,-7.85,-5.0,6,60,2,1,1
TERMOLI,ICN,Sun,-3.15,-7.0,2,20,3,3,2
TRANI,ICN,Sun,3.8333333333333335,1.0,3,30,7,7,4
TRENTO,ICN,Sun,5.166666666666667,1.0,2,18,4,3,2
VENEZIA MESTRE,ICN,Sun,4.095238095238095,1.0,2,21,4,3,3
VENEZIA SANTA LUCIA,ICN,Sun,7.857142857142857,0.0,2,21,6,6,4
VOGHERA,ICN,Sun,2.375,4.0,4,16,10,6,0
AREZZO,ICN,Sun,-14.666666666666666,-30.0,2,6,1,1,1
BARCELLONA,ICN,Sun,1.88135593220339,0.0,6,59,12,10,6
BARI CENTRALE,ICN,Sun,-3.3333333333333335,-3.0,6,60,6,6,4
BISCEGLIE,ICN,Sun,2.03125,-1.0,3,32,7,5,3
BOLOGNA C.LE,ICN,Sun,1.2025316455696202,-2.0,11,79,18,16,10
BRUNICO,ICN,Sun,1.2857142857142858,2.0,2,7,1,1,0
CEFALU`,ICN,Sun,-6.677966101694915,-2.0,6,59,7,5,1
CONEGLIANO,ICN,Sun,9.047619047619047,3.0,2,21,8,6,4
FAENZA,ICN,Sun,3.774193548387097,1.0,3,31,6,5,4
FERRARA,ICN,Sun,8.454545454545455,1.0,2,22,7,7,4
FORMIA-GAETA,ICN,Sun,10.43859649122807,1.0,7,57,24,19,13
FRANCAVILLA FONTANA,ICN,Sun,1.2380952380952381,2.0,2,21,7,3,2
GIOIA DEL COLLE,ICN,Sun,1.8571428571428572,-2.0,2,21,4,2,2
GIOIA TAURO,ICN,Sun,6.625,4.0,4,24,15,9,5
MARATEA,ICN,Sun,17.0,6.0,2,7,5,4,2
NOVARA,ICN,Sun,-0.8947368421052632,-3.0,2,19,4,4,2
PRATO CENTRALE,ICN,Sun,-9.5,-13.0,1,2,0,0,0
RIMINI,ICN,Sun,-6.413793103448276,-9.0,6,58,6,5,3
ROVERETO,ICN,Sun,2.0526315789473686,0.0,2,19,5,3,2
S.CANDIDO,ICN,Sun,6.5,4.0,1,4,4,2,1
TERONTOLA CORTONA,ICN,Sun,4.166666666666667,1.0,2,6,1,1,1
VERCELLI,ICN,Sun,1.4210526315789473,1.0,2,19,5,4,3
VIBO MARINA,ICN,Sun,1.4705882352941178,-1.0,2,17,5,3,1
VIBO VALENZIA PIZZO,ICN,Sun,9.571428571428571,5.0,2,7,4,3,2
VILLA SAN GIOVANNI,ICN,Sun,0.7142857142857143,0.0,8,49,14,9,5
AMANTEA,ICN,Sun,-1.4583333333333333,-4.0,4,24,4,3,2
ASTI,ICN,Sun,4.0576923076923075,1.0,6,52,15,9,4
AUGUSTA,ICN,Sun,-6.0,-1.0,7,39,5,4,2
BAGNARA,ICN,Sun,5.117647058823529,4.0,2,17,9,7,3
BATTIPAGLIA,ICN,Sun,14.0,7.0,2,7,5,4,2
