stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ALASSIO,IR,Sun,1.0,1.0,1,1,0,0,0,44.007889,8.17112
BORDIGHERA,IR,Sun,3.0,3.0,1,1,0,0,0,43.778313,7.663504
CREVALCORE,IR,Sun,17.0,17.0,1,1,1,1,1,44.719156,11.152625
PIETRA LIGURE,IR,Sun,2.0,2.0,1,1,0,0,0,44.145345,8.277403
POGGIO RUSCO,IR,Sun,17.0,17.0,1,1,1,1,1,44.981859,11.124627
ROVERETO,IR,Sun,39.0,39.0,1,1,1,1,1,45.890985,11.033518
GENOVA SAMPIERDARENA,IR,Sun,-2.0,-2.0,1,1,0,0,0,44.413102,8.887271
MEZZOCORONA,IR,Sun,39.0,39.0,1,1,1,1,1,46.207258,11.128595
NOGARA,IR,Sun,18.0,18.0,1,1,1,1,1,45.179937,11.070572
OSTERIA NUOVA,IR,Sun,17.0,17.0,1,1,1,1,1,44.586613,11.236525
VIPITENO,IR,Sun,18.0,18.0,1,1,1,1,1,46.895732,11.440206
BOLOGNA C.LE,IR,Sun,14.0,14.0,1,1,1,1,1,44.50626,11.342267
BRESSANONE,IR,Sun,16.0,16.0,1,1,1,1,1,46.710088,11.649677
IMPERIA,IR,Sun,2.0,2.0,1,1,0,0,0,43.88051,8.019182
ISOLA DELLA SCALA,IR,Sun,19.0,19.0,1,1,1,1,1,45.269474,11.013312
MIRANDOLA,IR,Sun,17.0,17.0,1,1,1,1,1,44.891638,11.111689
S.FELICE SP,IR,Sun,17.0,17.0,1,1,1,1,1,44.834527,11.140243
TRENTO,IR,Sun,39.0,39.0,1,1,1,1,1,46.072414,11.118941
VERONA PORTA NUOVA,IR,Sun,42.0,42.0,1,1,1,1,1,45.428603,10.982377
ALA,IR,Sun,41.0,41.0,1,1,1,1,1,45.760087,10.996775
ALBENGA,IR,Sun,0.0,0.0,1,1,0,0,0,44.04722,8.221663
DOMEGLIARA,IR,Sun,40.0,40.0,1,1,1,1,1,45.522348,10.820408
FINALE LIGURE MARINA,IR,Sun,5.0,5.0,1,1,1,0,0,44.169116,8.34033
GENOVA BRIGNOLE,IR,Sun,1.0,1.0,1,1,0,0,0,44.407213,8.947553
GENOVA P.PRINCIPE,IR,Sun,1.0,1.0,1,1,0,0,0,44.417784,8.9207
GENOVA SESTRI PONENTE,IR,Sun,0.0,0.0,1,1,0,0,0,44.422374,8.847707
GENOVA VOLTRI,IR,Sun,-1.0,-1.0,1,1,0,0,0,44.428467,8.758163
LOANO,IR,Sun,2.0,2.0,1,1,0,0,0,44.122429,8.254523
PONTE GARDENA,IR,Sun,17.0,17.0,1,1,1,1,1,46.6012,11.53251
SAN GIOVANNI IN PERSICETO,IR,Sun,17.0,17.0,1,1,1,1,1,44.643151,11.189444
SAVONA,IR,Sun,2.0,2.0,1,1,0,0,0,44.306892,8.470259
SPOTORNO NOLI,IR,Sun,4.0,4.0,1,1,1,0,0,44.226528,8.410932
TAGGIA ARMA,IR,Sun,2.0,2.0,1,1,0,0,0,43.840764,7.835604
