stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
CASALNUOVO,MET,Sun,3.9096385542168677,2.0,13,166,54,23,7,40.915559,14.35296
NAPOLI MONTESANTO,MET,Sun,14.0,2.0,3,3,1,1,1,40.847807,14.244022
NAPOLI PIAZZA GARIBALDI,MET,Sun,14.6,9.0,5,5,4,4,2,40.852326,14.275159
NOCERA INFERIORE,MET,Sun,3.835680751173709,2.0,36,426,133,73,24,40.745318,14.635346
PIETRARSA,MET,Sun,11.0,11.0,1,1,1,1,1,40.822433,14.32058
POMPEI,MET,Sun,2.73943661971831,1.0,36,426,118,64,20,40.745918,14.501109
POZZUOLI SOLFATARA,MET,Sun,-0.6288156288156288,-1.0,65,819,41,23,10,40.827586,14.126163
SCAFATI,MET,Sun,2.539906103286385,1.0,36,426,98,56,20,40.746028,14.523253
CANCELLO,MET,Sun,4.662650602409639,3.0,13,166,75,31,9,40.993063,14.418877
CASTELLAMMARE DI STABIA,MET,Sun,0.2,0.0,3,5,0,0,0,40.701398,14.483737
CAVALLEGGERI AOSTA,MET,Sun,-0.6660470879801735,-1.0,129,1614,45,20,10,40.819292,14.185679
MADDALONI INFERIORE,MET,Sun,28.166666666666668,19.0,6,6,6,6,6,41.035954,14.380504
NAPOLI GIANTURCO,MET,Sun,-1.5042850699142987,-2.0,184,2217,126,68,25,40.853959,14.288213
NAPOLI S.GIOV.BARRA,MET,Sun,0.18233387358184766,0.0,105,1234,56,26,11,40.831269,14.307811
NOCERA SUPERIORE,MET,Sun,3.6019184652278176,2.0,36,417,118,59,24,40.742597,14.672398
PORTICI- ERCOLANO,MET,Sun,1.6357308584686774,1.0,39,431,69,38,15,40.809907,14.335809
BAGNOLI AGNANO TERME,MET,Sun,-0.4925575101488498,-1.0,129,739,36,21,12,40.819444,14.166694
DUOMO VIA VERNIERI,MET,Sun,20.0,20.0,1,1,1,1,1,,
NAPOLI MERGELLINA,MET,Sun,5.666666666666667,6.0,3,3,2,2,0,40.831531,14.218662
NAPOLI PIAZZA LEOPARDI,MET,Sun,0.07120324470482199,-1.0,183,2219,101,51,32,40.82397,14.199117
PIAZZA AMEDEO,MET,Sun,-1.1655104063429138,-2.0,182,1009,40,34,24,40.838506,14.232974
S.MARIA LA BRUNA,MET,Sun,2.2877030162412995,1.0,39,431,92,45,20,40.755435,14.407647
SALERNO,MET,Sun,-0.5794392523364486,-3.0,18,214,30,19,11,40.675137,14.772822
TORRE DEL GRECO,MET,Sun,1.951276102088167,1.0,39,431,83,41,18,40.787631,14.363159
TRACCIA,MET,Sun,3.6153846153846154,3.0,2,26,9,2,1,,
ACERRA,MET,Sun,3.819277108433735,2.0,13,166,54,19,7,40.939066,14.372243
ANGRI,MET,Sun,4.032863849765258,3.0,36,426,175,93,24,40.746404,14.575366
CASERTA,MET,Sun,3.3974358974358974,1.0,6,78,21,16,6,41.068655,14.328457
CAVA DEI TIRRENI,MET,Sun,3.1009615384615383,2.0,36,416,106,57,23,40.703662,14.708461
NAPOLI CAMPI FLEGREI,MET,Sun,-1.5979057591623036,-2.0,155,1910,43,30,20,40.822462,14.194649
NAPOLI CENTRALE,MET,Sun,-39.0,-39.0,1,1,0,0,0,40.852933,14.272908
PAGANI,MET,Sun,4.161971830985915,3.0,36,426,163,83,22,40.74654,14.616996
PIAZZA CAVOUR,MET,Sun,-0.6673189823874756,-2.0,93,511,26,22,17,40.855248,14.255175
TORRE ANNUNZIATA CENTRALE,MET,Sun,2.9211136890951277,2.0,39,431,115,57,21,40.747131,14.463744
