stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
ALESSANDRIA,,Thu,1.8461538461538463,-1.0,2,26,5,2,1
BARI CENTRALE,,Thu,4.911042944785276,0.0,28,326,106,87,61
BENEVENTO,,Thu,8.058823529411764,3.0,13,153,76,67,35
BOLOGNA C.LE/AV,,Thu,2.5310435931307795,1.0,124,1514,471,313,138
BOLZANO,,Thu,7.662337662337662,4.0,6,77,45,29,19
CAMPIGLIA MARITTIMA,,Thu,2.354330708661417,1.0,11,127,32,19,10
CERVIGNANO A.G.,,Thu,1.3137254901960784,1.0,4,51,13,8,1
CIVITAVECCHIA,,Thu,2.2598425196850394,-1.0,11,127,39,29,12
CONEGLIANO,,Thu,1.3958333333333333,1.0,4,48,8,6,0
FABRIANO,,Thu,1.7083333333333333,1.0,2,24,8,2,1
FERRARA,,Thu,4.598684210526316,2.0,25,304,115,77,34
FIRENZE CAMPO MARTE,,Thu,5.891891891891892,4.0,6,74,44,30,11
FIRENZE S.M.N.,,Thu,4.187672493100276,3.0,88,1087,474,305,132
FOLIGNO,,Thu,1.2083333333333333,1.0,2,24,7,1,0
FORLI`,,Thu,8.04225352112676,6.0,13,142,87,73,48
GENOVA P.PRINCIPE,,Thu,5.6797385620915035,3.0,13,153,68,48,25
GIOIA DEL COLLE,,Thu,4.6923076923076925,1.0,2,26,8,5,3
GIULIANOVA,,Thu,7.68,4.0,2,25,13,12,6
GROSSETO,,Thu,2.811023622047244,1.0,11,127,33,24,11
LIVORNO CENTRALE,,Thu,4.214285714285714,2.0,11,126,51,35,11
MARATEA,,Thu,8.68,6.0,2,25,13,13,10
NAPOLI CENTRALE,,Thu,5.732937685459941,3.0,55,674,307,243,136
ORSARA DI PUGLIA,,Thu,88.0,88.0,1,1,1,1,1
ORTE,,Thu,0.68,-3.0,2,25,5,4,2
PADOVA,,Thu,3.250299401197605,1.0,67,835,183,127,55
PORDENONE,,Thu,-2.5208333333333335,-3.0,4,48,0,0,0
POTENZA CENTRALE,,Thu,8.076923076923077,-3.0,2,13,2,2,2
REGGIO EMILIA AV,,Thu,6.035185185185185,4.0,44,540,304,215,87
S. DONA` DI PIAVE,,Thu,-3.2962962962962963,-3.0,3,27,1,0,0
S.BENEDETTO DEL TRONTO,,Thu,9.041666666666666,5.0,12,144,85,59,40
S.LORENZO MAGGIORE,,Thu,33.0,33.0,1,1,1,1,1
TERONTOLA CORTONA,,Thu,7.12,2.0,2,25,10,8,3
TRENTO,,Thu,4.5,3.0,12,152,53,27,15
VIBO VALENZIA PIZZO,,Thu,2.891089108910891,1.0,8,101,28,23,8
BOLOGNA C.LE,,Thu,7.423948220064725,5.0,27,309,195,152,75
CARPI,,Thu,3.6956521739130435,2.0,2,23,8,4,2
CECINA,,Thu,4.153846153846154,4.0,2,26,15,8,1
CIVITANOVA MARCHE,,Thu,11.923076923076923,8.0,2,26,18,16,10
CORNIGLIA,,Thu,6.0,6.0,2,4,3,3,1
FALCONARA MARITTIMA,,Thu,2.3333333333333335,1.0,2,24,6,3,1
FIUMICINO AEROPORTO,,Thu,-0.5882352941176471,-1.0,4,51,4,1,1
FOGGIA,,Thu,8.614775725593667,4.0,32,379,211,151,85
JESI,,Thu,0.7916666666666666,0.0,2,24,2,2,1
LA SPEZIA CENTRALE,,Thu,4.227722772277228,3.0,18,202,91,57,20
MILANO CENTRALE,,Thu,6.466076696165191,3.0,84,1017,453,341,207
MONFALCONE,,Thu,1.8627450980392157,1.0,4,51,12,9,2
MONTECALVO BUONALBERGO CASALB.,,Thu,26.0,26.0,1,1,1,1,1
PIACENZA,,Thu,4.483333333333333,4.0,5,60,38,25,13
PORTOGRUARO CAORLE,,Thu,0.15384615384615385,1.0,2,26,1,0,0
