stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
ACIREALE,DIR,Thu,27.0,27.0,1,1,1,1,1
CATANIA CENTRALE,DIR,Thu,28.0,28.0,1,1,1,1,1
FIUMEFREDDO DI SICILIA,DIR,Thu,22.0,22.0,1,1,1,1,1
PRIOLO MELILLI,DIR,Thu,58.0,58.0,1,1,1,1,1
SCALETTA ZANCLEA,DIR,Thu,15.0,15.0,1,1,1,1,1
ALI` TERME,DIR,Thu,14.0,14.0,1,1,1,1,1
BRUCOLI,DIR,Thu,35.0,35.0,1,1,1,1,1
LENTINI,DIR,Thu,27.0,27.0,1,1,1,1,1
SANTA TERESA DI RIVA,DIR,Thu,14.0,14.0,1,1,1,1,1
AUGUSTA,DIR,Thu,43.0,43.0,1,1,1,1,1
GIARRE RIPOSTO,DIR,Thu,26.0,26.0,1,1,1,1,1
TAORMINA,DIR,Thu,21.0,21.0,1,1,1,1,1
MESSINA CENTRALE,DIR,Thu,13.0,13.0,1,1,1,1,1
