stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
GENOVA P.PRINCIPE,EN,Thu,-6.461538461538462,-1.0,1,13,3,1,1,44.417784,8.9207
FIRENZE RIFREDI,EN,Thu,5.0,2.0,1,2,1,1,0,43.800873,11.235729
PESCHIERA DEL GARDA,EN,Thu,3.1538461538461537,1.0,1,13,2,2,1,45.438502,10.702509
ROMA TERMINI,EN,Thu,12.25,-1.0,1,12,4,4,4,41.900636,12.502026
VERONA PORTA NUOVA,EN,Thu,-0.38461538461538464,-3.0,1,13,1,1,1,45.428603,10.982377
VICENZA,EN,Thu,-0.7692307692307693,-4.0,1,13,1,1,1,45.541102,11.540762
BOLOGNA C.LE,EN,Thu,4.555555555555555,-4.0,2,18,6,6,5,44.50626,11.342267
BRESCIA,EN,Thu,6.6923076923076925,5.0,1,13,9,5,2,45.532315,10.212828
DESENZANO,EN,Thu,4.230769230769231,2.0,1,13,2,2,1,45.462677,10.536322
FIRENZE CAMPO MARTE,EN,Thu,18.555555555555557,7.0,2,9,6,6,4,43.776856,11.27702
FIRENZE S.M.N.,EN,Thu,5.2,2.0,1,5,2,2,2,43.776893,11.247373
LA SPEZIA CENTRALE,EN,Thu,-2.769230769230769,-3.0,1,13,2,2,0,44.11141,9.813906
LEVANTO,EN,Thu,3.0833333333333335,-1.0,1,12,4,4,2,44.174167,9.616018
MILANO ROGOREDO,EN,Thu,0.07692307692307693,-2.0,1,13,2,2,1,45.433866,9.2391
PADOVA,EN,Thu,3.272727272727273,-9.0,3,22,7,7,6,45.417846,11.880794
PAVIA,EN,Thu,5.769230769230769,3.0,1,13,5,5,2,45.188843,9.144674
TARVISIO BOSCOVERDE,EN,Thu,27.833333333333332,8.0,1,6,5,5,3,46.505956,13.608012
