stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ALESSANDRIA,ICN,Thu,8.983333333333333,3.0,6,60,28,23,7,44.909091,8.606498
ASTI,ICN,Thu,7.633333333333334,2.0,6,60,26,18,7,44.89479,8.208112
AVERSA,ICN,Thu,10.375,4.0,2,24,14,11,7,40.973323,14.218578
BAGNARA,ICN,Thu,7.352941176470588,2.0,2,17,7,7,5,38.282695,15.800327
BARCELLONA,ICN,Thu,7.483870967741935,2.0,6,62,24,22,16,38.14918,15.212499
BOLOGNA C.LE,ICN,Thu,5.717391304347826,2.0,12,92,40,35,19,44.50626,11.342267
CHIUSI C.T.,ICN,Thu,0.4117647058823529,1.0,4,17,4,2,1,43.002466,11.957893
CIVITAVECCHIA,ICN,Thu,14.325,4.0,4,40,21,16,12,42.088287,11.79815
FAENZA,ICN,Thu,10.424242424242424,4.0,3,33,17,14,11,44.293594,11.883268
FORMIA-GAETA,ICN,Thu,8.590909090909092,3.0,7,66,28,26,15,41.258773,13.605996
GENOVA BRIGNOLE,ICN,Thu,6.390243902439025,1.0,4,41,18,14,9,44.407213,8.947553
GENOVA P.PRINCIPE,ICN,Thu,6.585365853658536,2.0,4,41,16,11,6,44.417784,8.9207
GIOIA TAURO,ICN,Thu,10.56,5.0,3,25,15,12,9,38.423436,15.897516
MILANO PORTA GARIBALDI,ICN,Thu,7.333333333333333,0.0,2,21,6,5,3,45.484917,9.187683
MODENA,ICN,Thu,8.3,5.0,4,40,23,18,11,44.654461,10.930373
MONOPOLI,ICN,Thu,2.6097560975609757,1.0,4,41,11,6,2,40.952017,17.292455
ORTE,ICN,Thu,1.5714285714285714,-1.0,2,21,6,4,3,42.43728,12.408986
PADOVA,ICN,Thu,0.6666666666666666,-4.0,5,21,4,3,2,45.417846,11.880794
PALMI,ICN,Thu,8.529411764705882,3.0,2,17,7,7,5,38.364914,15.84438
PISCIOTTA PALINURO,ICN,Thu,3.5,2.0,1,8,3,2,1,40.091539,15.243601
RICADI,ICN,Thu,4.9411764705882355,0.0,2,17,7,4,2,38.630676,15.839848
S.AGATA M.,ICN,Thu,5.266666666666667,1.0,6,60,21,18,16,38.073554,14.640622
