stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
FALCIANO MONDRAGONE CAR.,IR,Thu,0.0,0.0,1,1,0,0,0,41.123525,13.971792
FORMIA-GAETA,IR,Thu,-3.0,-3.0,1,1,0,0,0,41.258773,13.605996
MONTE S.BIAGIO,IR,Thu,-1.0,-1.0,1,1,0,0,0,41.345967,13.347037
NAPOLI CENTRALE,IR,Thu,-13.0,-13.0,1,1,0,0,0,40.852933,14.272908
S.MARCELLINO FRIGNANO,IR,Thu,2.0,2.0,1,1,0,0,0,40.992103,14.171976
SESSA AURUNCA R.,IR,Thu,-1.0,-1.0,1,1,0,0,0,41.1955,13.8761
AVERSA,IR,Thu,1.0,1.0,1,1,0,0,0,40.973323,14.218578
PRIVERNO FOSSANOVA,IR,Thu,-2.0,-2.0,1,1,0,0,0,41.421853,13.186406
SEZZE ROMANO,IR,Thu,-1.0,-1.0,1,1,0,0,0,41.495542,13.038452
LATINA,IR,Thu,0.0,0.0,1,1,0,0,0,41.538372,12.945888
VILLA LITERNO,IR,Thu,3.0,3.0,1,1,0,0,0,41.004956,14.06753
FONDI - SPERLONGA,IR,Thu,0.0,0.0,1,1,0,0,0,41.337663,13.424893
MINTURNO,IR,Thu,-2.0,-2.0,1,1,0,0,0,41.257621,13.720664
