stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
ANGRI,MET,Thu,3.5180897250361793,3.0,59,691,276,116,32
BAGNOLI AGNANO TERME,MET,Thu,-0.2853107344632768,-1.0,129,708,35,15,3
CAVA DEI TIRRENI,MET,Thu,2.6432835820895524,2.0,58,670,167,92,28
CAVALLEGGERI AOSTA,MET,Thu,-0.13007614213197968,-1.0,129,1576,76,28,9
DUOMO VIA VERNIERI,MET,Thu,0.5,0.0,2,2,0,0,0
NAPOLI PIAZZA LEOPARDI,MET,Thu,0.6787193973634652,0.0,224,2655,251,135,46
PORTICI- ERCOLANO,MET,Thu,1.554812834224599,1.0,68,748,110,63,30
S.MARIA LA BRUNA,MET,Thu,1.8246318607764391,1.0,68,747,115,63,27
CANCELLO,MET,Thu,5.088235294117647,4.0,26,306,174,92,23
CASALNUOVO,MET,Thu,3.987138263665595,3.0,26,311,133,61,18
CASERTA,MET,Thu,3.548611111111111,2.0,12,144,53,23,8
NAPOLI CENTRALE,MET,Thu,-3.6666666666666665,-1.0,6,6,2,1,0
NAPOLI MERGELLINA,MET,Thu,4.9,2.0,9,10,5,4,2
PAGANI,MET,Thu,3.768451519536903,3.0,59,691,276,106,31
PIETRARSA,MET,Thu,21.0,14.0,3,3,3,3,3
POMPEI,MET,Thu,2.285507246376812,1.0,59,690,151,71,30
POZZUOLI SOLFATARA,MET,Thu,-0.032663316582914576,-1.0,65,796,56,25,7
SALERNO,MET,Thu,-1.0979228486646884,-2.0,30,337,36,22,14
TORRE ANNUNZIATA CENTRALE,MET,Thu,2.330123796423659,1.0,66,727,146,68,27
TRACCIA,MET,Thu,4.694444444444445,3.0,3,36,18,6,2
VIETRI SUL MARE,MET,Thu,-3.0,0.0,3,3,0,0,0
ACERRA,MET,Thu,3.925566343042071,3.0,26,309,128,59,16
CASTELLAMMARE DI STABIA,MET,Thu,1.2857142857142858,0.0,5,14,1,1,1
NOCERA SUPERIORE,MET,Thu,3.166419019316493,2.0,58,673,183,89,27
MADDALONI INFERIORE,MET,Thu,8.5,7.0,1,2,2,2,0
NAPOLI CAMPI FLEGREI,MET,Thu,-0.7631205673758865,-1.0,175,2115,133,75,35
NAPOLI GIANTURCO,MET,Thu,-0.6005281026027914,-2.0,225,2651,260,143,50
NAPOLI MONTESANTO,MET,Thu,4.0,2.0,6,6,3,2,0
NAPOLI PIAZZA GARIBALDI,MET,Thu,7.0,7.0,13,13,10,8,3
NAPOLI S.GIOV.BARRA,MET,Thu,0.3097861309138043,1.0,133,1543,111,55,24
NOCERA INFERIORE,MET,Thu,3.3357558139534884,2.0,59,688,207,81,26
PIAZZA AMEDEO,MET,Thu,-0.9487632508833922,-2.0,223,1132,61,38,15
PIAZZA CAVOUR,MET,Thu,-0.4524207011686144,-2.0,116,599,67,35,12
SCAFATI,MET,Thu,2.0305232558139537,1.0,59,688,135,67,31
TORRE DEL GRECO,MET,Thu,1.6408544726301735,1.0,68,749,105,63,29
