stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
AGROPOLI CASTELLABATE,,Tue,4.24,3.0,2,25,12,6,4,40.351521,15.002053
AMOROSI MELIZZANO,,Tue,30.0,30.0,1,1,1,1,1,41.173509,14.470759
AREZZO,,Tue,3.3376623376623376,2.0,6,77,30,21,12,43.461725,11.874189
BARI CENTRALE,,Tue,4.213414634146342,1.0,28,328,120,99,62,41.11774,16.869601
BARLETTA,,Tue,8.125730994152047,3.0,29,342,162,135,96,41.315227,16.278867
BATTIPAGLIA,,Tue,2.803030303030303,1.0,6,66,15,10,6,40.605789,14.98324
BERGAMO,,Tue,1.1282051282051282,-3.0,3,39,6,6,3,45.690271,9.675082
CESENA,,Tue,10.592233009708737,9.0,9,103,75,64,45,44.145449,12.24964
FABRIANO,,Tue,5.083333333333333,-1.0,2,24,8,7,4,43.345429,12.905336
FALCONARA MARITTIMA,,Tue,5.708333333333333,1.0,2,24,6,6,5,43.630577,13.397378
GROSSETO,,Tue,3.3046875,1.0,11,128,42,31,14,42.76728,11.1065
LAMEZIA TERME CENTRALE,,Tue,1.4463276836158192,0.0,14,177,39,29,12,38.921347,16.255577
MANTOVA,,Tue,1.4166666666666667,-2.0,1,12,2,1,1,45.158746,10.783165
METAPONTO,,Tue,-3.909090909090909,-4.0,1,11,0,0,0,40.368496,16.815176
MILANO PORTA GARIBALDI,,Tue,4.038834951456311,2.0,16,206,77,48,21,45.484917,9.187683
ORTE,,Tue,0.375,1.0,2,24,5,0,0,42.43728,12.408986
PORDENONE,,Tue,-2.56,-3.0,4,50,1,0,0,45.956281,12.654126
RAVENNA,,Tue,3.75,0.0,1,12,2,1,1,44.419155,12.208404
RHO FIERA MILANO,,Tue,4.5,3.0,18,208,88,55,25,,
ROMA TIBURTINA,,Tue,2.9294320137693632,1.0,97,1162,372,262,122,41.910903,12.530749
ROVERETO,,Tue,4.352941176470588,4.0,12,153,79,46,14,45.890985,11.033518
S.BENEDETTO DEL TRONTO,,Tue,8.944055944055943,5.0,12,143,95,69,43,42.954386,13.882297
S.LORENZO MAGGIORE,,Tue,28.0,28.0,1,1,1,1,1,41.219748,14.648419
SAPRI,,Tue,3.116883116883117,-1.0,6,77,25,15,11,40.078013,15.627204
SIBARI,,Tue,10.583333333333334,5.0,1,12,8,6,6,39.749863,16.456922
TERMOLI,,Tue,6.864253393665158,4.0,19,221,111,94,62,42.000623,14.992805
TERNI,,Tue,8.25,1.0,1,12,4,4,3,42.570768,12.651091
TORINO PORTA SUSA,,Tue,3.23719165085389,1.0,43,527,137,100,54,45.075906,7.667673
TRENTO,,Tue,4.4183006535947715,3.0,12,153,63,34,13,46.072414,11.118941
TRIESTE AIRPORT,,Tue,1.7105263157894737,-1.0,6,76,14,8,4,,
TRIESTE CENTRALE,,Tue,1.6486486486486487,-2.0,3,37,5,4,4,45.657456,13.771873
VENEZIA SANTA LUCIA,,Tue,2.6622340425531914,1.0,30,376,91,55,28,45.441569,12.320882
VICENZA,,Tue,2.9731051344743276,1.0,32,409,113,76,29,45.541102,11.540762
ANCONA,,Tue,5.816901408450704,4.0,25,284,144,116,66,43.607734,13.497665
BOLOGNA C.LE,,Tue,6.3896103896103895,5.0,27,308,183,139,82,44.50626,11.342267
BRINDISI,,Tue,3.186046511627907,-1.0,22,258,80,70,37,40.634339,17.938978
CASERTA,,Tue,8.181286549707602,5.0,14,171,100,84,44,41.068655,14.328457
CASSINO,,Tue,1.5769230769230769,1.0,2,26,3,3,1,41.484306,13.832125
CECINA,,Tue,8.692307692307692,4.0,2,26,14,11,4,43.31028,10.514225
CIVITAVECCHIA,,Tue,3.0078125,0.0,11,128,45,34,16,42.088287,11.79815
FERRANDINA,,Tue,-0.9090909090909091,-2.0,1,11,0,0,0,40.516566,16.475276
FOLIGNO,,Tue,5.375,1.0,2,24,8,7,4,42.954261,12.711096
FROSINONE,,Tue,1.0769230769230769,0.0,2,26,3,1,1,41.625333,13.328728
GENOVA BRIGNOLE,,Tue,3.7557603686635943,1.0,18,217,62,38,22,44.407213,8.947553
GENOVA P.PRINCIPE,,Tue,5.6118421052631575,2.0,13,152,64,50,22,44.417784,8.9207
GIOIA DEL COLLE,,Tue,7.730769230769231,2.0,2,26,13,10,8,40.796983,16.916569
GIOIA TAURO,,Tue,0.75,-1.0,4,52,10,9,3,38.423436,15.897516
JESI,,Tue,4.583333333333333,0.0,2,24,7,5,4,43.520164,13.251316
LATISANA LIGNANO B.,,Tue,2.28,1.0,4,50,15,10,2,45.777733,13.001101
MILANO CENTRALE,,Tue,6.469961240310077,3.0,84,1032,449,334,200,45.486347,9.204528
PADOVA,,Tue,2.3172169811320753,1.0,67,848,201,116,51,45.417846,11.880794
PESARO,,Tue,7.5941558441558445,5.0,27,308,184,150,88,43.906014,12.904848
REGGIO CALABRIA CENTRALE,,Tue,-1.5730337078651686,-4.0,7,89,13,10,5,38.103884,15.635844
REGGIO EMILIA AV,,Tue,5.858974358974359,5.0,45,546,318,238,101,44.779886,10.744171
RIMINIFIERA,,Tue,7.142857142857143,5.0,11,21,13,10,7,,
ROMA TERMINI,,Tue,3.860357761107905,2.0,138,1733,659,434,199,41.900636,12.502026
ROSARNO,,Tue,2.1412429378531073,0.0,14,177,45,37,14,38.488593,15.970149
S. DONA` DI PIAVE,,Tue,-0.8461538461538461,-2.0,2,26,4,2,1,45.63983,12.559791
SCALEA S.DOMENICA TALAO,,Tue,6.38,4.0,4,50,26,20,12,39.8083,15.80139
TREVISO C.,,Tue,0.44,-1.0,4,50,8,3,0,45.659608,12.24614
UDINE,,Tue,-1.0833333333333333,-2.0,2,24,4,2,1,46.055791,13.242003
VENEZIA MESTRE,,Tue,1.389908256880734,0.0,69,872,151,88,42,45.482123,12.232069
VERONA PORTA NUOVA,,Tue,4.3757861635220126,3.0,50,636,267,182,68,45.428603,10.982377
VIAREGGIO,,Tue,5.296875,3.0,11,128,59,38,12,43.865947,10.257886
VILLA SAN GIOVANNI,,Tue,0.062146892655367235,-2.0,14,177,30,25,8,38.216638,15.634336
ALESSANDRIA,,Tue,4.269230769230769,0.0,2,26,7,7,3,44.909091,8.606498
BOLOGNA C.LE/AV,,Tue,2.750483558994197,1.0,124,1551,525,365,158,44.50626,11.342267
CARPI,,Tue,5.08,3.0,2,25,11,9,2,44.782919,10.891952
CERVIGNANO A.G.,,Tue,0.72,0.0,4,50,8,5,1,45.823948,13.342866
CHIUSI C.T.,,Tue,4.5,3.0,2,2,1,1,0,43.002466,11.957893
CIVITANOVA MARCHE,,Tue,9.0,9.0,2,26,22,18,10,43.3091,13.7257
EMPOLI,,Tue,7.0,7.0,1,1,1,1,0,43.715708,10.94915
FERRARA,,Tue,4.016181229773463,3.0,25,309,134,75,30,44.843047,11.603594
FIUMICINO AEROPORTO,,Tue,0.75,0.0,4,52,4,3,1,41.793673,12.251728
FOGGIA,,Tue,8.585751978891821,4.0,32,379,208,169,98,41.466,15.555816
GIULIANOVA,,Tue,8.304347826086957,4.0,2,23,12,8,7,42.751673,13.965743
LA SPEZIA CENTRALE,,Tue,4.170731707317073,2.0,17,205,83,49,18,44.11141,9.813906
MODENA,,Tue,8.587044534412955,7.0,21,247,179,150,79,44.654461,10.930373
PARMA,,Tue,7.207207207207207,5.0,19,222,145,103,52,44.810203,10.32837
