stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
AGNONE DI S.,IC,Tue,1.0,-3.0,2,5,2,2,1
ASCEA,IC,Tue,26.2,8.0,5,40,29,26,19
ASSISI,IC,Tue,7.4423076923076925,5.0,4,52,33,25,7
ASTI,IC,Tue,3.1954022988505746,2.0,12,87,34,22,5
AVERSA,IC,Tue,4.936454849498328,1.0,27,299,109,81,49
BARCELLONA,IC,Tue,7.813953488372093,1.0,8,43,16,13,8
BARI CENTRALE,IC,Tue,3.3389830508474576,1.0,13,118,38,24,10
BENEVENTO,IC,Tue,2.8846153846153846,2.0,2,26,10,7,2
BRANCALEONE,IC,Tue,11.384615384615385,6.0,4,52,38,29,18
CAMPIGLIA MARITTIMA,IC,Tue,4.445945945945946,2.0,6,74,30,22,8
CASARSA,IC,Tue,6.5,5.0,1,2,2,1,0
CASSINO,IC,Tue,5.5,-3.0,2,26,13,13,12
CERVIGNANO A.G.,IC,Tue,1.7179487179487178,1.0,3,39,8,4,2
CHIAVARI,IC,Tue,3.1927710843373496,1.0,24,249,86,60,22
CHIEUTI SERRACAPRIOLA,IC,Tue,5.2,5.0,2,5,3,2,1
CHIUSI C.T.,IC,Tue,1.6833333333333333,-2.0,12,120,30,26,19
CROPANI,IC,Tue,12.51923076923077,9.0,4,52,49,44,23
CUTRO,IC,Tue,14.307692307692308,14.0,1,13,12,12,7
FALCONARA MARITTIMA,IC,Tue,0.07692307692307693,1.0,5,52,10,5,3
FASANO,IC,Tue,3.345679012345679,1.0,10,81,19,14,7
FIRENZE CAMPO MARTE,IC,Tue,10.452380952380953,3.0,7,42,21,17,10
FOLIGNO,IC,Tue,5.104761904761904,3.0,9,105,51,29,12
GIARRE RIPOSTO,IC,Tue,9.4,4.0,11,65,33,23,15
GIOJOSA MAREA,IC,Tue,-1.0,-1.0,1,1,0,0,0
GROSSETO,IC,Tue,4.826086956521739,3.0,11,92,46,28,12
LAMEZIA TERME CENTRALE,IC,Tue,5.729166666666667,0.0,20,144,44,32,24
LECCE,IC,Tue,3.517857142857143,0.0,6,56,16,11,5
LOCRI,IC,Tue,11.423076923076923,6.0,4,52,37,28,19
MARATEA,IC,Tue,14.097222222222221,3.0,10,72,35,29,21
MESSINA CENTRALE,IC,Tue,7.790123456790123,0.0,15,81,27,20,14
MESSINA MARITTIMA,IC,Tue,23.416666666666668,5.0,8,24,13,10,7
MONFALCONE,IC,Tue,2.1219512195121952,1.0,4,41,9,3,1
NOVI LIGURE,IC,Tue,-0.28205128205128205,-1.0,3,39,3,1,0
