stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ACIREALE,ICN,Tue,3.130434782608696,0.0,6,46,16,15,5,37.600514,15.163697
ANCONA,ICN,Tue,-0.9014084507042254,1.0,6,71,27,20,12,43.607734,13.497665
BARCELLONA,ICN,Tue,7.721311475409836,1.0,6,61,22,18,14,38.14918,15.212499
BARI CENTRALE,ICN,Tue,-0.5633802816901409,-3.0,6,71,7,5,2,41.11774,16.869601
BISCEGLIE,ICN,Tue,7.0,1.0,3,37,12,9,5,41.235445,16.499484
BOLOGNA C.LE,ICN,Tue,4.214953271028038,2.0,13,107,45,33,21,44.50626,11.342267
BRINDISI,ICN,Tue,-2.211267605633803,-4.0,6,71,9,5,0,40.634339,17.938978
CAPO D`ORLANDO-NASO,ICN,Tue,9.836065573770492,1.0,6,61,23,18,13,38.157941,14.744844
CIVITAVECCHIA,ICN,Tue,17.979166666666668,8.0,4,48,28,26,21,42.088287,11.79815
FIDENZA,ICN,Tue,1.5833333333333333,1.0,2,12,4,0,0,44.86773,10.06339
FORMIA-GAETA,ICN,Tue,9.4,3.0,8,75,33,28,21,41.258773,13.605996
GENOVA P.PRINCIPE,ICN,Tue,6.166666666666667,3.0,4,48,21,14,6,44.417784,8.9207
GIOIA TAURO,ICN,Tue,13.2,7.0,4,35,23,19,8,38.423436,15.897516
MESSINA CENTRALE,ICN,Tue,2.0352941176470587,0.0,9,85,23,17,11,38.184975,15.561278
ORTE,ICN,Tue,4.826086956521739,2.0,2,23,7,5,5,42.43728,12.408986
ORVIETO,ICN,Tue,4.85,-2.0,2,20,7,7,6,42.723379,12.127412
PAOLA,ICN,Tue,4.0,-1.0,4,35,11,10,3,39.359442,16.033093
PATTI-SAN PIERO PATTI,ICN,Tue,6.950819672131147,0.0,6,61,25,22,15,38.146905,14.975331
REGGIO CALABRIA CENTRALE,ICN,Tue,11.272727272727273,-3.0,1,11,2,2,2,38.103884,15.635844
REGGIO EMILIA,ICN,Tue,5.877551020408164,4.0,5,49,25,20,11,44.697793,10.643093
S.AGATA M.,ICN,Tue,6.377049180327869,2.0,6,61,21,20,13,38.073554,14.640622
SANTO STEFANO DI CAMASTRA,ICN,Tue,0.42857142857142855,0.0,2,21,4,3,1,38.01778,14.35104
TERMOLI,ICN,Tue,-4.958333333333333,-5.0,2,24,1,0,0,42.000623,14.992805
UDINE,ICN,Tue,4.833333333333333,2.0,5,24,11,6,5,46.055791,13.242003
VIBO MARINA,ICN,Tue,3.652173913043478,2.0,2,23,6,4,3,38.713731,16.120199
VIBO VALENZIA PIZZO,ICN,Tue,18.5,10.0,2,12,10,9,6,38.714593,16.139887
VOGHERA,ICN,Tue,6.0476190476190474,4.0,2,21,12,8,7,44.9978,9.007942
AMANTEA,ICN,Tue,2.2285714285714286,0.0,4,35,11,8,5,39.134353,16.068448
AREZZO,ICN,Tue,16.95,14.0,4,20,14,14,12,43.461725,11.874189
AUGUSTA,ICN,Tue,3.4901960784313726,2.0,6,51,15,9,7,37.24334,15.218628
AVERSA,ICN,Tue,7.12,-1.0,2,25,7,6,5,40.973323,14.218578
CESENA,ICN,Tue,3.6,-2.0,3,35,13,11,8,44.145449,12.24964
FAENZA,ICN,Tue,9.027027027027026,5.0,3,37,21,18,12,44.293594,11.883268
FORLI`,ICN,Tue,4.828571428571428,-1.0,3,35,14,12,9,44.22413,12.054871
GENOVA BRIGNOLE,ICN,Tue,6.166666666666667,1.0,4,48,23,19,9,44.407213,8.947553
GIARRE RIPOSTO,ICN,Tue,3.607843137254902,1.0,6,51,19,17,6,37.730346,15.193386
GIOIA DEL COLLE,ICN,Tue,6.846153846153846,-1.0,2,26,9,6,2,40.796983,16.916569
LA SPEZIA CENTRALE,ICN,Tue,-1.7291666666666667,-6.0,4,48,12,10,8,44.11141,9.813906
LATINA,ICN,Tue,8.220588235294118,0.0,6,68,29,24,19,41.538372,12.945888
LECCE,ICN,Tue,-3.0,-2.0,3,34,1,1,0,40.34566,18.165724
MILANO CENTRALE,ICN,Tue,5.638888888888889,1.0,3,36,14,11,6,45.486347,9.204528
MILANO PORTA GARIBALDI,ICN,Tue,3.739130434782609,3.0,2,23,10,7,4,45.484917,9.187683
MONFALCONE,ICN,Tue,4.0,2.0,5,24,8,4,3,45.807683,13.542929
NAPOLI CENTRALE,ICN,Tue,1.9857142857142858,1.0,6,70,17,10,7,40.852933,14.272908
NICOTERA,ICN,Tue,6.695652173913044,4.0,2,23,14,6,3,38.549328,15.933749
PARMA,ICN,Tue,5.464788732394366,3.0,7,71,30,25,13,44.810203,10.32837
PIACENZA,ICN,Tue,6.139784946236559,3.0,9,93,41,33,22,45.052238,9.70633
PISCIOTTA PALINURO,ICN,Tue,5.916666666666667,-1.0,2,12,2,2,2,40.091539,15.243601
PRATO CENTRALE,ICN,Tue,4.166666666666667,2.0,2,12,6,6,4,43.878737,11.109252
ROMA OSTIENSE,ICN,Tue,15.604166666666666,7.0,4,48,28,27,19,41.87265,12.483917
ROMA TIBURTINA,ICN,Tue,1.9523809523809523,-3.0,2,21,5,5,4,41.910903,12.530749
ROSARNO,ICN,Tue,10.971428571428572,6.0,4,35,25,18,8,38.488593,15.970149
SACILE,ICN,Tue,5.416666666666667,3.0,5,24,10,6,5,45.948413,12.498498
SALERNO,ICN,Tue,2.8860759493670884,-3.0,8,79,20,18,14,40.675137,14.772822
TAORMINA,ICN,Tue,1.9607843137254901,1.0,6,51,16,12,4,37.845429,15.282584
TARANTO,ICN,Tue,1.8846153846153846,1.0,2,26,8,7,2,40.483727,17.224059
TERME EUGANEE-ABANO-MONTEGR.,ICN,Tue,5.083333333333333,1.0,5,24,10,7,6,45.32744,11.79604
TERMINI IMERESE,ICN,Tue,6.819672131147541,-1.0,6,61,16,12,10,37.980132,13.703631
