stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
CANCELLO,MET,Tue,5.396166134185304,4.0,26,313,186,93,21
CAVA DEI TIRRENI,MET,Tue,3.2267605633802816,2.0,58,710,195,112,41
DUOMO VIA VERNIERI,MET,Tue,7.0,4.0,2,2,2,1,0
NAPOLI PIAZZA LEOPARDI,MET,Tue,0.8070880526123493,0.0,224,2737,319,185,66
NAPOLI S.GIOV.BARRA,MET,Tue,0.5138539042821159,1.0,132,1588,163,86,30
NOCERA INFERIORE,MET,Tue,3.774058577405858,3.0,58,717,245,100,32
PIETRARSA,MET,Tue,13.5,10.0,10,10,8,6,3
POMPEI,MET,Tue,2.649441340782123,2.0,58,716,184,91,28
TORRE ANNUNZIATA CENTRALE,MET,Tue,2.6595744680851063,2.0,65,752,186,95,29
TORRE ANNUNZIATA CITTA',MET,Tue,0.0,0.0,1,1,0,0,0
ACERRA,MET,Tue,4.419871794871795,3.0,26,312,128,71,22
ANGRI,MET,Tue,3.923076923076923,3.0,58,715,292,134,32
CASALNUOVO,MET,Tue,4.383386581469648,3.0,26,313,131,75,23
CAVALLEGGERI AOSTA,MET,Tue,-0.14913366336633663,-1.0,129,1616,90,42,16
NAPOLI CAMPI FLEGREI,MET,Tue,-0.7108655616942909,-1.0,175,2172,159,99,41
NAPOLI GIANTURCO,MET,Tue,-0.3556776556776557,-2.0,224,2730,327,191,65
NAPOLI MONTESANTO,MET,Tue,9.0,7.0,5,5,4,4,2
PIAZZA CAVOUR,MET,Tue,-0.19122257053291536,-2.0,118,638,81,40,13
PORTICI- ERCOLANO,MET,Tue,1.622908622908623,1.0,67,777,124,59,20
BAGNOLI AGNANO TERME,MET,Tue,-0.47560975609756095,-1.0,129,738,34,14,4
NOCERA SUPERIORE,MET,Tue,3.707865168539326,2.0,58,712,227,113,33
PIAZZA AMEDEO,MET,Tue,-0.8171428571428572,-2.0,221,1050,80,49,19
VIETRI SUL MARE,MET,Tue,7.5,4.0,2,2,2,1,1
CASERTA,MET,Tue,4.026845637583893,3.0,12,149,62,32,10
CASTELLAMMARE DI STABIA,MET,Tue,0.3,0.0,5,10,1,0,0
MADDALONI INFERIORE,MET,Tue,11.0,9.0,1,2,2,2,1
NAPOLI MERGELLINA,MET,Tue,6.5,0.0,2,2,1,1,1
NAPOLI PIAZZA GARIBALDI,MET,Tue,6.526315789473684,6.0,16,19,13,12,4
PAGANI,MET,Tue,4.158041958041958,3.0,58,715,292,133,32
POZZUOLI SOLFATARA,MET,Tue,-0.07598039215686274,-1.0,65,816,62,32,9
ROVIGLIANO,MET,Tue,4.5,3.0,1,2,1,1,0
S.MARIA LA BRUNA,MET,Tue,1.9806949806949807,1.0,67,777,146,66,23
SALERNO,MET,Tue,-0.20612813370473537,-2.0,29,359,49,31,20
SCAFATI,MET,Tue,2.2527932960893855,1.0,58,716,167,75,28
TORRE DEL GRECO,MET,Tue,1.759020618556701,1.0,67,776,147,62,20
TRACCIA,MET,Tue,4.078947368421052,3.0,3,38,17,6,1
