stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
BARDONECCHIA,,Wed,8.0,8.0,1,1,1,1,0
BERGAMO,,Wed,-3.3076923076923075,-4.0,3,39,3,0,0
BOLZANO,,Wed,7.08,5.0,6,75,48,36,13
CESENA,,Wed,8.363636363636363,8.0,9,99,65,53,33
CIVITANOVA MARCHE,,Wed,9.423076923076923,8.0,2,26,18,16,12
FERRANDINA,,Wed,-0.18181818181818182,-1.0,1,11,0,0,0
FIRENZE CAMPO MARTE,,Wed,5.961038961038961,4.0,6,77,48,24,8
GIOIA DEL COLLE,,Wed,5.423076923076923,1.0,2,26,7,4,4
JESI,,Wed,0.12,-1.0,2,25,3,2,0
LA SPEZIA CENTRALE,,Wed,3.8737864077669903,2.0,17,206,83,52,19
LATISANA LIGNANO B.,,Wed,2.7142857142857144,1.0,4,49,11,7,1
LECCE,,Wed,3.7099236641221376,-1.0,11,131,45,37,20
LIVORNO CENTRALE,,Wed,4.310077519379845,3.0,11,129,49,29,12
MILANO PORTA GARIBALDI,,Wed,3.4048780487804877,2.0,16,205,78,49,19
PADOVA,,Wed,2.4142011834319526,1.0,67,845,191,116,53
PESCARA,,Wed,7.510460251046025,3.0,21,239,118,96,63
PESCHIERA DEL GARDA,,Wed,3.4141791044776117,2.0,21,268,110,68,18
PISA CENTRALE,,Wed,4.281553398058253,3.0,17,206,91,56,20
PORDENONE,,Wed,-1.6122448979591837,-3.0,4,49,3,1,1
REGGIO CALABRIA CENTRALE,,Wed,1.925,-3.0,7,80,15,14,10
ROSARNO,,Wed,4.16875,1.0,14,160,49,31,16
TARANTO,,Wed,9.615384615384615,1.0,1,13,5,4,4
TRENTO,,Wed,4.282894736842105,3.0,12,152,70,34,10
TRIESTE CENTRALE,,Wed,-1.027027027027027,-3.0,3,37,4,3,3
VERONA PORTA NUOVA,,Wed,3.4505494505494507,2.0,50,637,236,148,54
VIAREGGIO,,Wed,4.565891472868217,3.0,11,129,60,44,13
VILLA SAN GIOVANNI,,Wed,2.0125,-1.0,14,160,30,22,15
AGROPOLI CASTELLABATE,,Wed,7.75,4.0,2,24,13,11,6
ALESSANDRIA,,Wed,2.576923076923077,0.0,2,26,9,5,2
ANCONA,,Wed,6.728571428571429,3.0,25,280,137,115,62
BATTIPAGLIA,,Wed,2.365079365079365,0.0,7,63,12,9,4
BENEVENTO,,Wed,6.225,4.0,13,160,91,72,39
BOLOGNA C.LE,,Wed,7.228758169934641,5.0,27,306,185,140,77
BRINDISI,,Wed,3.4767441860465116,-1.0,22,258,80,66,41
CASERTA,,Wed,6.722543352601156,5.0,14,173,99,83,36
CHIUSI C.T.,,Wed,15.5,11.0,2,2,2,2,2
CONEGLIANO,,Wed,1.510204081632653,1.0,4,49,8,2,1
DESENZANO,,Wed,3.675324675324675,2.0,18,231,87,45,17
FALCONARA MARITTIMA,,Wed,1.36,1.0,2,25,5,2,0
FIDENZA,,Wed,3.0,3.0,1,1,0,0,0
FORLI`,,Wed,9.286713286713287,6.0,13,143,88,75,47
GENOVA P.PRINCIPE,,Wed,5.285714285714286,3.0,13,154,73,60,23
GIOIA TAURO,,Wed,1.72,-1.0,4,50,13,6,3
GROSSETO,,Wed,3.395348837209302,1.0,11,129,38,29,13
MANTOVA,,Wed,1.75,-2.0,1,12,3,3,2
MARATEA,,Wed,8.291666666666666,4.0,2,24,13,12,8
METAPONTO,,Wed,-2.909090909090909,-4.0,1,11,1,1,0
MILANO CENTRALE,,Wed,6.24468085106383,3.0,85,1034,468,342,210
MODENA,,Wed,7.897540983606557,6.0,21,244,174,134,72
MONFALCONE,,Wed,2.08,0.0,4,50,8,3,2
MONTECALVO BUONALBERGO CASALB.,,Wed,28.0,28.0,1,1,1,1,1
POSTO MOV.TO TORA-PICCILLI,,Wed,12.5,4.0,2,2,2,1,1
REGGIO EMILIA,,Wed,7.904109589041096,6.0,19,219,148,117,57
REGGIO EMILIA AV,,Wed,5.934579439252336,4.0,45,535,308,231,94
RHO FIERA MILANO,,Wed,4.444444444444445,3.0,18,207,80,51,25
ROVIGO,,Wed,3.75177304964539,0.0,12,141,36,24,13
S. DONA` DI PIAVE,,Wed,0.19230769230769232,-2.0,2,26,4,3,2
SALERNO,,Wed,3.6953846153846155,0.0,28,325,109,84,53
SAPRI,,Wed,3.1780821917808217,0.0,6,73,22,17,8
SARZANA,,Wed,4.08,3.0,2,25,12,8,3
SCALEA S.DOMENICA TALAO,,Wed,6.104166666666667,4.0,4,48,26,18,9
SIBARI,,Wed,3.5,2.0,1,12,3,3,3
SPOLETO,,Wed,1.56,1.0,2,25,4,2,1
TRIESTE AIRPORT,,Wed,0.4473684210526316,-1.0,6,76,9,5,3
VALLE DI MADDALONI,,Wed,40.0,40.0,1,1,1,1,1
VALLO DELLA LUC. CASTELNUOVO,,Wed,5.191780821917808,2.0,6,73,24,17,8
VENEZIA SANTA LUCIA,,Wed,2.3538873994638068,1.0,30,373,89,49,30
1`BIVIO ORVIETO NORD,,Wed,10.0,10.0,1,1,1,1,0
AMOROSI MELIZZANO,,Wed,29.0,29.0,1,1,1,1,1
AREZZO,,Wed,3.5789473684210527,3.0,6,76,33,23,9
ASTI,,Wed,4.038461538461538,2.0,2,26,9,6,2
BARI CENTRALE,,Wed,3.403669724770642,-1.0,28,327,106,86,57
BARLETTA,,Wed,7.1436950146627565,3.0,29,341,170,130,75
BOLOGNA C.LE/AV,,Wed,3.9484334203655354,2.0,124,1532,581,409,187
BRESCIA,,Wed,2.6019607843137256,2.0,40,510,174,102,33
CAMPIGLIA MARITTIMA,,Wed,2.302325581395349,0.0,11,129,35,23,10
CARPI,,Wed,3.6,3.0,2,25,9,4,1
