stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
BOLZANO,EC,Wed,7.098591549295775,4.0,11,142,73,54,34
GENOVA P.PRINCIPE,EC,Wed,15.333333333333334,5.0,1,3,2,1,1
STRESA,EC,Wed,6.367924528301887,6.0,9,106,71,57,16
TORTONA,EC,Wed,11.666666666666666,1.0,1,3,1,1,1
TRENTO,EC,Wed,7.123076923076923,3.0,10,130,65,50,26
VENEZIA MESTRE,EC,Wed,3.8222222222222224,1.0,6,45,11,8,4
VIPITENO,EC,Wed,-2.217391304347826,-3.0,2,23,1,1,1
COMO S. GIOVANNI,EC,Wed,3.3978494623655915,3.0,18,93,39,24,7
MILANO CENTRALE,EC,Wed,4.031746031746032,2.0,21,189,70,51,30
PADOVA,EC,Wed,4.979166666666667,2.0,8,48,17,12,8
PESCHIERA DEL GARDA,EC,Wed,8.15,3.0,4,20,10,7,3
REGGIO EMILIA,EC,Wed,4.333333333333333,0.0,2,6,3,2,2
RHO FIERA MILANO,EC,Wed,2.5,1.0,3,6,3,2,0
TORINO PORTA SUSA,EC,Wed,6.36,3.0,4,25,11,7,5
VENEZIA SANTA LUCIA,EC,Wed,4.413793103448276,1.0,3,29,8,6,4
BARDONECCHIA,EC,Wed,9.714285714285714,3.0,2,14,6,5,4
BOLOGNA C.LE,EC,Wed,11.777777777777779,5.0,6,45,26,22,15
DOMEGLIARA,EC,Wed,63.0,63.0,1,1,1,1,1
FIRENZE CAMPO MARTE,EC,Wed,88.0,13.0,2,2,2,2,2
PAVIA,EC,Wed,17.0,2.0,1,3,1,1,1
PIACENZA,EC,Wed,1.1666666666666667,-1.0,2,6,1,1,0
ROVERETO,EC,Wed,7.7615384615384615,4.0,10,130,72,54,29
VERONA PORTA NUOVA,EC,Wed,8.268115942028986,5.0,14,138,86,60,24
BRENNERO,EC,Wed,2.4935064935064934,0.0,7,77,27,19,10
BRESCIA,EC,Wed,7.7,4.0,4,20,11,5,2
BRESSANONE,EC,Wed,6.098039215686274,3.0,12,153,70,52,30
CHIASSO,EC,Wed,-1.6428571428571428,-3.0,8,14,1,1,1
DOMODOSSOLA,EC,Wed,2.2948717948717947,0.0,15,156,54,41,18
FORTEZZA,EC,Wed,5.993464052287582,2.0,12,153,66,57,27
GALLARATE,EC,Wed,7.698412698412699,6.0,6,63,46,33,12
MILANO LAMBRATE,EC,Wed,6.111111111111111,2.0,3,9,1,1,1
MILANO ROGOREDO,EC,Wed,6.555555555555555,2.0,3,9,2,2,1
MODANE,EC,Wed,8.166666666666666,2.0,4,12,5,5,5
MODENA,EC,Wed,2.3333333333333335,-1.0,2,6,2,2,1
PARMA,EC,Wed,4.333333333333333,1.0,2,6,2,2,2
TARVISIO BOSCOVERDE,EC,Wed,5.0,5.0,1,1,1,0,0
VICENZA,EC,Wed,5.108695652173913,2.0,6,46,16,12,7
