stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
FIRENZE S.M.N.,EN,Wed,22.875,19.0,1,8,7,7,6,43.776893,11.247373
MILANO ROGOREDO,EN,Wed,-0.6363636363636364,-1.0,1,11,1,1,0,45.433866,9.2391
PADOVA,EN,Wed,12.117647058823529,-3.0,3,17,6,5,5,45.417846,11.880794
BOLOGNA C.LE,EN,Wed,21.333333333333332,5.0,2,15,8,7,7,44.50626,11.342267
BRESCIA,EN,Wed,5.538461538461538,5.0,1,13,9,5,1,45.532315,10.212828
GENOVA P.PRINCIPE,EN,Wed,-11.461538461538462,-14.0,1,13,0,0,0,44.417784,8.9207
PESCHIERA DEL GARDA,EN,Wed,3.5384615384615383,2.0,1,13,5,4,1,45.438502,10.702509
DESENZANO,EN,Wed,4.769230769230769,3.0,1,13,5,4,1,45.462677,10.536322
LA SPEZIA CENTRALE,EN,Wed,-5.769230769230769,-7.0,1,13,0,0,0,44.11141,9.813906
PAVIA,EN,Wed,3.8461538461538463,4.0,1,13,7,4,0,45.188843,9.144674
ROMA TERMINI,EN,Wed,49.75,55.0,1,12,10,10,10,41.900636,12.502026
VERONA PORTA NUOVA,EN,Wed,0.25,-3.0,1,12,2,2,1,45.428603,10.982377
FIRENZE CAMPO MARTE,EN,Wed,53.285714285714285,26.0,2,7,6,6,5,43.776856,11.27702
LEVANTO,EN,Wed,-0.15384615384615385,-1.0,1,13,1,1,0,44.174167,9.616018
TARVISIO BOSCOVERDE,EN,Wed,66.66666666666667,25.0,1,3,2,2,2,46.505956,13.608012
VICENZA,EN,Wed,0.38461538461538464,-3.0,1,13,2,2,2,45.541102,11.540762
