stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ALESSANDRIA,IC,Wed,1.1046511627906976,1.0,13,86,18,10,4,44.909091,8.606498
AMANTEA,IC,Wed,9.323529411764707,2.0,14,102,44,29,22,39.134353,16.068448
ASSISI,IC,Wed,4.8431372549019605,3.0,4,51,22,16,8,43.058921,12.585304
BARCELLONA,IC,Wed,12.386363636363637,4.0,5,44,23,18,14,38.14918,15.212499
BOLOGNA C.LE,IC,Wed,5.257383966244726,1.0,29,237,92,77,39,44.50626,11.342267
CAPACCIO ROCCADASPIDE,IC,Wed,3.6666666666666665,1.0,3,36,16,11,6,40.454518,15.013551
CASERTA,IC,Wed,8.115384615384615,3.0,2,26,13,13,12,41.068655,14.328457
CECINA,IC,Wed,3.084507042253521,1.0,6,71,24,17,6,43.31028,10.514225
CEFALU`,IC,Wed,6.659090909090909,0.0,5,44,15,13,9,38.03285,14.019526
CORIGLIANO CALABRO,IC,Wed,11.470588235294118,8.0,4,51,34,27,16,39.628223,16.514949
DIANO,IC,Wed,8.5,6.0,2,2,2,2,1,,
ECCELLENTE,IC,Wed,60.0,60.0,1,1,1,1,1,38.809696,16.232598
FAENZA,IC,Wed,6.062937062937063,2.0,14,143,57,47,28,44.293594,11.883268
FANO,IC,Wed,3.9708029197080292,1.0,11,137,44,33,17,43.842977,13.02478
FASANO,IC,Wed,6.855421686746988,3.0,9,83,37,28,17,40.851753,17.3859
FIRENZE RIFREDI,IC,Wed,2.4482758620689653,-2.0,8,87,20,17,9,43.800873,11.235729
FORLI`,IC,Wed,5.8321678321678325,2.0,14,143,59,50,30,44.22413,12.054871
FOSSATO DI VICO GUBBIO,IC,Wed,0.5384615384615384,-2.0,4,52,9,6,4,43.283798,12.757258
GENOVA BRIGNOLE,IC,Wed,2.8058608058608057,1.0,27,273,87,64,29,44.407213,8.947553
GIARRE RIPOSTO,IC,Wed,10.059701492537313,3.0,12,67,33,26,18,37.730346,15.193386
LA SPEZIA CENTRALE,IC,Wed,1.7992125984251968,1.0,26,254,66,45,16,44.11141,9.813906
LENTINI,IC,Wed,11.298507462686567,5.0,12,67,34,29,18,37.300916,14.99758
LODI,IC,Wed,3.671641791044776,1.0,12,134,44,36,18,45.308966,9.497585
MARATEA,IC,Wed,13.202898550724637,5.0,10,69,40,34,22,39.995028,15.70975
MESAGNE,IC,Wed,64.0,64.0,1,1,1,1,1,40.563203,17.802082
MESSINA CENTRALE,IC,Wed,10.938271604938272,2.0,14,81,37,33,23,38.184975,15.561278
METAPONTO,IC,Wed,6.542553191489362,2.0,8,94,42,33,16,40.368496,16.815176
MODENA,IC,Wed,6.190789473684211,2.0,18,152,64,53,34,44.654461,10.930373
NOVARA,IC,Wed,2.259259259259259,1.0,3,27,6,6,3,45.451376,8.624895
PALMI,IC,Wed,6.5,2.0,4,4,2,1,1,38.364914,15.84438
PATTI-SAN PIERO PATTI,IC,Wed,12.522727272727273,5.0,5,44,26,19,14,38.146905,14.975331
PERUGIA,IC,Wed,4.7368421052631575,1.0,3,38,15,13,7,43.103808,12.375567
PESARO,IC,Wed,5.492857142857143,1.0,14,140,44,36,22,43.906014,12.904848
PIACENZA,IC,Wed,3.608974358974359,-1.0,20,156,45,36,22,45.052238,9.70633
POTENZA CENTRALE,IC,Wed,7.386363636363637,3.0,4,44,20,13,8,40.629469,15.806808
PRAJA AJETA TORTORA,IC,Wed,5.530612244897959,5.0,4,49,28,21,11,39.900832,15.780628
PRATO CENTRALE,IC,Wed,4.928,-1.0,13,125,52,47,30,43.878737,11.109252
RIMINI,IC,Wed,4.0,-1.0,16,145,39,31,18,44.064176,12.574093
ROSARNO,IC,Wed,6.892156862745098,1.0,14,102,30,27,19,38.488593,15.970149
SACILE,IC,Wed,2.6666666666666665,3.0,2,3,0,0,0,45.948413,12.498498
SENIGALLIA,IC,Wed,4.642335766423358,2.0,11,137,51,38,21,43.716277,13.221652
SIBARI,IC,Wed,8.615384615384615,4.0,4,52,28,17,10,39.749863,16.456922
SIRACUSA,IC,Wed,14.742857142857142,4.0,5,35,20,16,14,37.068906,15.280896
SOVERATO,IC,Wed,9.941176470588236,4.0,4,51,30,24,15,38.684339,16.549416
TAGGIA ARMA,IC,Wed,5.684210526315789,3.0,6,76,38,26,13,43.840764,7.835604
TELESE CERRETO,IC,Wed,8.115384615384615,5.0,2,26,14,11,6,41.211709,14.526165
TERMOLI,IC,Wed,7.5,3.0,11,118,59,51,32,42.000623,14.992805
TERONTOLA CORTONA,IC,Wed,6.872340425531915,3.0,14,141,66,50,24,43.210263,12.007906
TORRE MELISSA,IC,Wed,21.0,21.0,1,1,1,1,1,39.304391,17.108402
TREVISO C.,IC,Wed,-0.6666666666666666,-1.0,2,3,0,0,0,45.659608,12.24614
TRIESTE CENTRALE,IC,Wed,2.7333333333333334,1.0,2,15,3,2,1,45.657456,13.771873
TROPEA,IC,Wed,4.0,5.0,3,3,2,1,0,38.672302,15.894568
VAIRANO,IC,Wed,7.04,3.0,2,25,12,11,10,41.317446,14.104022
VALLO DELLA LUC. CASTELNUOVO,IC,Wed,12.058823529411764,7.0,9,85,50,46,26,40.233316,15.266511
VILLA CASTELLI,IC,Wed,73.0,73.0,1,1,1,1,1,40.523377,17.476149
ACIREALE,IC,Wed,9.584615384615384,4.0,11,65,36,26,17,37.600514,15.163697
ALBENGA,IC,Wed,7.333333333333333,6.0,10,117,82,64,24,44.04722,8.221663
BAGNARA,IC,Wed,5.5,1.0,4,4,1,1,1,38.282695,15.800327
BRANCALEONE,IC,Wed,10.843137254901961,6.0,4,51,30,26,13,37.965475,16.103301
BRINDISI,IC,Wed,6.795918367346939,2.0,12,98,38,29,18,40.634339,17.938978
CARIATI,IC,Wed,14.313725490196079,9.0,4,51,41,39,24,39.496884,16.952018
CARONIA,IC,Wed,17.5,-1.0,1,2,1,1,1,38.034475,14.443761
CIVITANOVA MARCHE,IC,Wed,6.153284671532846,3.0,11,137,62,45,28,43.3091,13.7257
CROPANI,IC,Wed,13.764705882352942,9.0,4,51,46,38,23,38.921968,16.813562
FIRENZE CAMPO MARTE,IC,Wed,7.428571428571429,3.0,8,42,20,17,11,43.776856,11.27702
FIRENZE CASTELLO,IC,Wed,22.0,22.0,1,1,1,1,1,43.819444,11.21838
FIRENZE S.M.N.,IC,Wed,7.0212765957446805,5.0,7,47,27,23,13,43.776893,11.247373
FOLIGNO,IC,Wed,3.2745098039215685,2.0,8,102,37,29,12,42.954261,12.711096
FORMIA-GAETA,IC,Wed,8.283783783783784,4.0,33,296,165,116,57,41.258773,13.605996
FRANCAVILLA FONTANA,IC,Wed,13.2,3.0,3,15,6,6,5,40.523145,17.584714
FROSINONE,IC,Wed,0.76,-5.0,2,25,12,12,11,41.625333,13.328728
GENOVA P.PRINCIPE,IC,Wed,3.0408163265306123,1.0,37,392,127,94,43,44.417784,8.9207
GIOIA DEL COLLE,IC,Wed,9.133333333333333,-3.0,3,15,5,4,4,40.796983,16.916569
ISOLA CAPO RIZZUTO,IC,Wed,21.0,21.0,1,1,1,1,1,39.043084,17.071764
LATISANA LIGNANO B.,IC,Wed,3.1794871794871793,2.0,3,39,14,11,2,45.777733,13.001101
LECCE,IC,Wed,7.473684210526316,2.0,6,57,22,16,12,40.34566,18.165724
LORETO,IC,Wed,0.23076923076923078,-1.0,1,13,1,1,1,43.448376,13.620455
MESSINA MARITTIMA,IC,Wed,29.625,20.0,6,24,20,18,17,38.14988,15.534997
MILANO CENTRALE,IC,Wed,3.017857142857143,1.0,22,224,69,48,24,45.486347,9.204528
MONFALCONE,IC,Wed,2.5714285714285716,1.0,5,42,11,5,2,45.807683,13.542929
NICOTERA,IC,Wed,7.333333333333333,7.0,3,3,2,2,1,38.549328,15.933749
PALERMO CENTRALE,IC,Wed,-3.235294117647059,-10.0,2,17,6,5,4,38.109187,13.367515
PAOLA,IC,Wed,10.063829787234043,-1.0,20,141,46,41,33,39.359442,16.033093
PARMA,IC,Wed,7.32258064516129,3.0,19,155,70,50,29,44.810203,10.32837
PISCIOTTA PALINURO,IC,Wed,20.7027027027027,11.0,5,37,27,25,19,40.091539,15.243601
PORTOGRUARO CAORLE,IC,Wed,4.0256410256410255,2.0,3,39,13,12,2,45.781438,12.832375
RAPALLO,IC,Wed,8.666666666666666,8.0,3,3,3,3,1,44.351398,9.231282
RICADI,IC,Wed,7.666666666666667,8.0,3,3,2,2,1,38.630676,15.839848
ROCCALUMERA MANDANICI,IC,Wed,53.666666666666664,34.0,1,3,3,3,3,37.972946,15.391411
ROMA TIBURTINA,IC,Wed,8.875,3.0,12,112,48,39,26,41.910903,12.530749
SAN SEVERO,IC,Wed,7.991525423728813,4.0,11,118,63,48,32,41.684512,15.392567
SCALEA S.DOMENICA TALAO,IC,Wed,10.843137254901961,5.0,14,102,61,48,30,39.8083,15.80139
