stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
AVERSA,ICN,Wed,8.956521739130435,0.0,2,23,9,7,4
BARCELLONA,ICN,Wed,7.111111111111111,1.0,6,54,15,13,12
CAPO D`ORLANDO-NASO,ICN,Wed,11.38888888888889,1.0,6,54,20,17,12
CATANIA CENTRALE,ICN,Wed,-0.6666666666666666,-1.0,6,48,6,5,3
CEFALU`,ICN,Wed,5.685185185185185,-1.0,6,54,14,14,9
CESENA,ICN,Wed,4.933333333333334,-2.0,3,30,11,7,4
CIVITAVECCHIA,ICN,Wed,18.622222222222224,5.0,4,45,26,22,18
CODROIPO,ICN,Wed,7.0,3.0,5,22,11,10,6
CONEGLIANO,ICN,Wed,1.5454545454545454,2.0,5,22,5,4,1
FIRENZE CAMPO MARTE,ICN,Wed,15.5,6.0,3,20,12,11,8
GENOVA BRIGNOLE,ICN,Wed,6.066666666666666,0.0,4,45,17,11,8
GIOIA TAURO,ICN,Wed,18.285714285714285,6.0,4,35,20,18,13
LATINA,ICN,Wed,13.343283582089553,1.0,6,67,27,26,21
MODENA,ICN,Wed,21.02173913043478,6.0,5,46,34,25,16
MONSELICE,ICN,Wed,2.0454545454545454,-2.0,5,22,6,6,4
ORVIETO,ICN,Wed,8.380952380952381,2.0,2,21,10,10,7
RAPALLO,ICN,Wed,2.0,2.0,1,1,0,0,0
S.AGATA M.,ICN,Wed,5.7592592592592595,1.0,6,54,19,14,12
TAORMINA,ICN,Wed,3.8333333333333335,1.0,6,48,19,12,7
TARANTO,ICN,Wed,8.666666666666666,0.0,2,24,10,7,3
TERONTOLA CORTONA,ICN,Wed,7.0588235294117645,2.0,4,17,8,7,5
TORTONA,ICN,Wed,7.416666666666667,6.0,2,24,20,13,6
TRIESTE CENTRALE,ICN,Wed,1.6,-2.0,1,10,2,1,1
UDINE,ICN,Wed,4.409090909090909,1.0,5,22,8,7,3
VERCELLI,ICN,Wed,6.72,3.0,2,25,12,9,7
VIBO VALENZIA PIZZO,ICN,Wed,13.076923076923077,9.0,2,13,8,7,6
AGROPOLI CASTELLABATE,ICN,Wed,7.230769230769231,2.0,2,13,6,5,5
ALESSANDRIA,ICN,Wed,7.840579710144928,3.0,6,69,34,23,13
AUGUSTA,ICN,Wed,1.9583333333333333,1.0,6,48,13,8,4
BAGNARA,ICN,Wed,21.227272727272727,2.0,2,22,11,10,8
BARLETTA,ICN,Wed,12.289855072463768,3.0,6,69,33,22,11
FAENZA,ICN,Wed,11.03125,1.0,3,32,15,14,11
FIRENZE CASTELLO,ICN,Wed,22.0,22.0,1,1,1,1,1
FOGGIA,ICN,Wed,12.623188405797102,4.0,6,69,36,27,17
FORMIA-GAETA,ICN,Wed,14.929577464788732,2.0,7,71,29,28,25
FRANCAVILLA FONTANA,ICN,Wed,10.041666666666666,3.0,2,24,9,7,2
GORIZIA CENTRALE,ICN,Wed,1.8636363636363635,0.0,5,22,6,5,2
LECCE,ICN,Wed,9.735294117647058,-2.0,3,34,7,4,3
MILANO PORTA GARIBALDI,ICN,Wed,9.8,1.0,2,25,9,8,7
MILAZZO,ICN,Wed,6.851851851851852,0.0,6,54,16,13,12
MONFALCONE,ICN,Wed,5.318181818181818,2.0,5,22,6,5,4
MONOPOLI,ICN,Wed,8.533333333333333,1.0,4,45,10,6,4
NAPOLI CENTRALE,ICN,Wed,4.7,0.0,6,70,25,18,12
NOVARA,ICN,Wed,5.12,2.0,2,25,12,7,5
ORTE,ICN,Wed,11.24,4.0,2,25,13,12,9
