stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
BAGNOLI AGNANO TERME,MET,Wed,-0.3453815261044177,-1.0,129,747,41,22,4
NAPOLI GIANTURCO,MET,Wed,-0.6149674620390455,-2.0,227,2766,273,155,45
NOCERA SUPERIORE,MET,Wed,3.1043115438108484,2.0,58,719,208,83,25
PIAZZA AMEDEO,MET,Wed,-1.3292336802270577,-2.0,222,1057,55,28,10
PIAZZA CAVOUR,MET,Wed,-0.5602503912363067,-2.0,117,639,68,40,15
POMPEI,MET,Wed,2.2148760330578514,1.0,58,726,185,79,24
TRACCIA,MET,Wed,4.897435897435898,4.0,4,39,20,6,2
NAPOLI CAMPI FLEGREI,MET,Wed,-0.8531021897810219,-1.0,176,2192,133,72,23
NAPOLI PIAZZA LEOPARDI,MET,Wed,0.5820086705202312,0.0,227,2768,256,137,42
NOCERA INFERIORE,MET,Wed,3.2717241379310344,3.0,58,725,245,95,28
POZZUOLI SOLFATARA,MET,Wed,0.1120584652862363,0.0,65,821,66,25,8
S.MARIA LA BRUNA,MET,Wed,1.7471554993678888,1.0,70,791,148,70,20
SCAFATI,MET,Wed,1.8443526170798898,1.0,58,726,153,68,23
TORRE ANNUNZIATA CENTRALE,MET,Wed,2.311111111111111,2.0,68,765,173,83,23
CASALNUOVO,MET,Wed,5.024844720496894,3.0,26,322,150,86,32
NAPOLI MERGELLINA,MET,Wed,4.666666666666667,2.0,3,3,1,1,0
NAPOLI MONTESANTO,MET,Wed,5.571428571428571,9.0,7,7,4,4,0
NAPOLI PIAZZA GARIBALDI,MET,Wed,6.25,4.0,11,12,7,6,4
NAPOLI S.GIOV.BARRA,MET,Wed,0.19690402476780186,1.0,135,1615,105,44,16
PAGANI,MET,Wed,3.5606060606060606,3.0,58,726,286,109,29
PIETRARSA,MET,Wed,9.0,6.0,3,3,3,2,1
ACERRA,MET,Wed,5.10248447204969,3.0,26,322,155,84,34
ANGRI,MET,Wed,3.3608815426997247,3.0,58,726,285,119,33
CANCELLO,MET,Wed,6.072327044025157,4.0,26,318,192,110,36
CASERTA,MET,Wed,4.2885906040268456,3.0,12,149,61,39,13
CASTELLAMMARE DI STABIA,MET,Wed,0.6666666666666666,0.0,7,12,1,0,0
CAVA DEI TIRRENI,MET,Wed,2.478442280945758,2.0,58,719,173,86,23
CAVALLEGGERI AOSTA,MET,Wed,-0.1697530864197531,-1.0,129,1620,81,37,5
MADDALONI INFERIORE,MET,Wed,11.5,11.0,3,4,4,4,3
PORTICI- ERCOLANO,MET,Wed,1.3501896333754742,1.0,70,791,117,62,17
SALERNO,MET,Wed,-1.5623268698060941,-2.0,29,361,31,20,8
TORRE DEL GRECO,MET,Wed,1.491139240506329,1.0,70,790,131,63,17
