stop_id,stop_name,stop_lat,stop_lon
S04501,VENTIMIGLIA,43.792561,7.610224
S04503,BORDIGHERA,43.778313,7.663504
S04505,SANREMO,43.821269,7.766693
S04506,TAGGIA ARMA,43.840764,7.835604
S04523,IMPERIA,43.88051,8.019182
S04515,ALASSIO,44.007889,8.17112
S04516,ALBENGA,44.04722,8.221663
S04522,FINALE LIGURE MARINA,44.169116,8.34033
S04801,SAVONA,44.306892,8.470259
S04700,GENOVA P.PRINCIPE,44.417784,8.9207
S01807,VOGHERA,44.9978,9.007942
S01860,PAVIA,45.188843,9.144674
S01820,MILANO ROGOREDO,45.433866,9.2391
S01700,MILANO CENTRALE,45.486347,9.204528
