stop_name,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
ABBASANTA,1.251249107780157,0.0,29,1401,205,131,79
ABBIATEGRASSO,2.9788090128755367,2.0,57,3728,1105,596,209
ACQUAVIVA,3.0137322216772926,2.0,30,2039,721,327,61
ACQUAVIVA DELLE FONTI,1.0412156536219817,1.0,36,2402,158,74,35
ACQUEDOLCI-S.FRATELLO,0.27212020033388984,0.0,18,1198,93,57,22
ADRIA,0.8740648379052369,-1.0,15,802,112,66,33
AFRICO NUOVO,4.0,2.0,10,709,247,143,57
ALBA,0.5326170376055257,0.0,18,1303,104,34,15
ALBENGA,4.21236166214241,3.0,91,4789,2181,1423,452
ALBISOLA,1.9523715803975594,1.0,101,5081,798,428,139
ALLERONA-CASTEL VISCARDO,3.536281179138322,2.0,12,882,229,114,59
ALPIGNANO,6.368421052631579,4.0,17,19,10,8,4
ALTARE,1.3159851301115242,0.0,11,807,77,61,32
ALTAVILLA M.,0.056943056943056944,0.0,52,3003,166,61,12
ANAGNI-FIUGGI,1.6046289668336913,1.0,79,4191,677,383,101
ANCONA TORRETTE,6.166666666666667,2.0,6,6,2,1,1
ANDORA,2.5813076278290024,1.0,41,2386,749,491,124
ANTIGNANO,4.346938775510204,2.0,13,49,18,11,5
ARBOSTELLA,0.3799126637554585,0.0,61,229,4,2,0
ARCE,2.602962962962963,1.0,14,675,151,84,32
ARCENE,8.333333333333334,8.0,3,3,2,2,1
ARCISATE,2.6280400572246068,2.0,137,6990,1335,677,209
ARGENTA,2.323162870648904,2.0,36,2327,482,188,67
ARONA,1.54150390625,1.0,99,4096,1095,673,221
AROSIO,0.003952569169960474,0.0,49,3289,0,0,0
ARQUATA SCRIVIA,1.4024137931034484,1.0,81,5800,1321,827,291
ASCOLI PICENO,-1.3509700176366843,-2.0,26,1134,59,42,23
ASTI,2.0624265569917744,1.0,105,6808,1631,846,254
AUGUSTA,3.170522707797772,1.0,55,2334,568,408,219
AVEZZANO,1.1454280155642023,0.0,37,2056,342,198,100
AVOLA,2.1650943396226414,1.0,19,1060,185,113,55
BADOLATO,4.160857908847185,4.0,6,373,197,127,27
BAGNACAVALLO,4.731274638633377,3.0,39,3044,1413,864,304
BAGNI DI LUCCA,2.848901098901099,2.0,35,2184,698,349,63
BAGNI DI TIVOLI,2.236879147395938,2.0,76,4973,1034,451,119
BAGNOLO IN PIANO,0.7244897959183674,0.0,26,1176,125,66,26
BALESTRATE,3.7423529411764704,2.0,16,850,265,145,60
BALSORANO,2.7949479940564634,1.0,14,673,162,91,35
BALVANO R.,2.909090909090909,2.0,3,143,39,20,7
BALZOLA,2.779587404994571,1.0,29,1842,452,252,62
BARI CENTRALE,0.746562228024369,-1.0,211,11490,1973,1393,777
BARI S. SPIRITO,3.0113538988860324,2.0,98,4668,1295,699,234
BARI ZONA INDUSTRIALE,1.5876063713724635,0.0,95,4583,815,510,203
BARLETTA,4.365244536940687,2.0,164,8649,2858,2017,1069
BATTAGLIA TERME,3.3164845173041893,1.0,35,2196,841,637,167
BELLA MURO,4.064851881505204,3.0,21,1249,521,326,125
BELLANO TARTAVELLE TERME,3.862239174332511,2.0,79,4457,1535,965,374
BENEVENTO,3.9285024154589374,2.0,38,2070,840,656,369
BIANZONE,1.9754299754299753,1.0,6,407,48,31,16
BISCEGLIE,4.158245201723463,2.0,151,7659,2731,1664,669
BIVIO CASORIA,0.0,0.0,1,1,0,0,0
BIVIO MADONNA DELL`OLMO,0.0,0.0,1,1,0,0,0
BOLLATE NORD,0.7758807262233979,0.0,101,8317,640,237,26
BOLOGNA SAN VITALE,3.8104078351118256,2.0,137,6841,2345,1501,393
BOLZANO,2.6625963248369886,1.0,132,8435,2521,1541,633
BOLZANO NOVARESE,2.17877094972067,1.0,3,179,23,9,4
BONDENO,2.135593220338983,1.0,18,1003,193,103,40
BORDIGHERA,2.877532437969497,2.0,76,4393,1093,643,241
BORGHETTO SANTO SPIRITO,12.4,14.0,5,5,3,3,3
BORGO FORNARI PER VOLTAGGIO,16.0,16.0,1,1,1,1,1
BORGO LAVEZZARO,2.471244131455399,2.0,31,1704,401,179,52
BORGO S. LORENZO,1.4580193756727664,1.0,58,3716,778,430,125
BORGO S.MARTINO,1.6768687463213654,1.0,27,1699,281,148,37
BORGO VAL DI TARO,2.789108910891089,2.0,42,3030,909,576,177
BORGOFRANCO,2.412532637075718,1.0,8,383,87,49,14
BORGONE,0.37381516587677727,-1.0,46,3376,305,169,53
BOVA MARINA,3.839798488664987,2.0,32,1985,653,410,151
BOVALINO,4.289316239316239,2.0,36,2340,944,615,246
BOVISIO M. - MOMBELLO,0.0008733624454148472,0.0,103,5725,0,0,0
BRA,0.4945631796025497,0.0,37,2667,189,89,42
BRANCALEONE,4.229255774165954,2.0,36,2338,915,585,245
BRANDIZZO,2.0672143390589994,1.0,54,4017,773,362,71
BRENO,0.012958963282937365,0.0,13,463,0,0,0
BRESCELLO VIADANA,-0.12884333821376281,-1.0,25,1366,107,71,34
BRESCIA,2.973219766728054,2.0,185,13032,3941,2277,888
BRISIGHELLA,4.120830711139082,3.0,23,1589,707,369,82
BRUNICO NORD,1.4595419847328244,1.0,10,655,54,12,6
BRUZOLO,0.6337278106508876,0.0,46,3380,310,175,52
BUDOIA POLCENIGO,-0.788235294117647,-1.0,24,1105,19,12,7
BUONCONVENTO,0.6958128078817734,0.0,18,812,101,34,11
BUSALLA,-0.34283295711060946,-1.0,50,3544,273,154,63
BUSSOLENO,0.38361854128592787,0.0,110,6019,750,393,125
BUSTO ARSIZIO N.,1.1475287069395905,1.0,51,4006,340,96,39
CADORAGO,0.0013259668508287293,0.0,61,4525,0,0,0
CAIRO MONTENOTTE,0.7496473906911142,-1.0,23,1418,87,64,41
CALALZO PIEVE CADORE CORTINA,0.6460905349794238,0.0,12,486,44,19,5
CALCIO,19.153846153846153,12.0,10,13,12,11,9
CALDIERO,4.230021141649049,2.0,42,2365,813,532,268
CALOPEZZATI,4.092633114514952,3.0,21,1371,624,365,89
CALTANISSETTA CENTRALE,-0.45465323058684054,-2.0,31,1687,209,130,56
CAMAIORE LIDO CAPEZZANO,6.1,5.0,16,20,13,10,4
CAMERANO ASPIO,28.0,28.0,1,1,1,1,1
CAMMARATA S.GIOVANNI GEMINI,0.5046637211585665,1.0,29,2037,494,232,67
CAMPO DI CARNE,2.1234460826828565,1.0,60,3459,772,351,95
CAMPOBELLO RAVANUSA,4.114583333333333,3.0,6,384,146,85,26
CAMPODARSEGO,6.25,5.0,8,8,6,2,1
CAMPOLIGURE MASONE,4.531997774067891,3.0,24,1797,848,471,147
CAMUCIA CORTONA,3.7859416445623344,2.0,54,3770,1459,826,269
CANDELA,4.684210526315789,3.0,8,532,255,175,43
CANDIOLO,4.380804077010192,4.0,46,3532,1852,1119,123
CANICATTI`,2.2824858757062145,1.0,15,885,203,115,41
CANISTRO,4.8,0.0,8,10,2,2,2
CANNETO SULL`OGLIO,6.860746720484359,5.0,24,1982,1365,939,288
CAPACI,9.75,11.0,7,8,7,6,5
CARAVAGGIO,4.278502747252747,2.0,43,2912,1087,709,262
CARBONIA SERBARIU,0.14970563498738435,-1.0,19,1189,62,35,12
CARDILLO ZEN,11.5,10.0,2,2,2,2,1
CARIMATE,2.6667765869744433,1.0,108,6065,1658,978,328
CARINI TORRE CIACHEA,10.25,10.0,7,8,8,7,3
CARONNO - PERTUSELLA,0.0,0.0,70,6077,0,0,0
CARONNO PERTUSELLA,1.2125,1.0,31,2240,246,69,17
CAROVIGNO,9.75,7.0,8,8,6,5,3
CARPI,1.016175319593008,0.0,49,3833,548,254,75
CASABIANCA,4.998549147624229,4.0,67,2757,1482,736,163
CASALBORDINO POLLUTRI,9.0,8.0,5,9,8,8,3
CASALEGGIO,1.8130841121495327,1.0,4,214,45,13,1
CASALMAGGIORE,4.376298576375529,3.0,33,2599,1153,715,223
CASALPUSTERLENGO,3.4459989762839105,2.0,81,5861,1786,1053,376
CASARSA,1.7697281167108754,1.0,100,6032,1135,529,169
CASLINO AL PIANO,0.0013259668508287293,0.0,61,4525,0,0,0
CASLINO D'ERBA,0.007966011683483803,0.0,27,1883,0,0,0
CASTAGNETO CARDUCCI,5.7657657657657655,3.0,29,111,47,32,11
CASTAGNO,1.828232971372162,1.0,12,1013,121,23,14
CASTEL GANDOLFO,0.7981684981684982,0.0,43,2730,447,57,9
CASTELBOLOGNESE,3.731948315176083,2.0,120,7894,2772,1776,731
CASTELDACCIA,6.266666666666667,6.0,14,15,13,9,2
CASTELDEBOLE,2.327442675624361,2.0,107,6847,1793,770,127
CASTELFIORENTINO,10.294117647058824,9.0,43,204,191,187,78
CASTELFRANCO D'EMILIA,3.2252265636606743,1.0,94,6731,2053,1331,527
CASTELFRANCO VENETO,0.8294423398819487,1.0,203,11351,1158,467,142
CASTELGUELFO,2.012987012987013,1.0,5,308,57,28,10
CASTELLALTO CANZANO,0.9674068767908309,1.0,42,2792,226,82,18
CASTELLAMMARE DI STABIA,0.7222222222222222,0.0,7,72,6,3,1
CASTELLINA CH,1.257864238410596,1.0,37,2416,430,180,51
CASTELLO DI GODEGO,0.9372493985565357,1.0,69,4988,769,274,60
CASTELLO D`ANNONE,2.7892756349952963,2.0,21,1063,288,122,21
CASTELLUCCHIO,4.721667390360399,2.0,28,2303,937,664,268
CASTELNUOVO BERARDENGA,2.669106881405564,2.0,30,1366,342,156,35
CASTELVECCHIO PASCOLI,3.582547169811321,3.0,15,848,345,158,17
CASTELVETRO,1.780123131046614,1.0,18,1137,185,99,42
CASTIGLION FIORENTINO,3.58450517378615,2.0,54,3769,1420,824,259
CATANIA ACQUICELLA,9.0,9.0,1,1,1,1,0
CATANZARO LIDO,3.165399817573731,2.0,51,3289,1123,614,205
CAULONIA,3.932975871313673,3.0,6,373,169,109,17
CAVALLEGGERI AOSTA,0.10584643971066428,0.0,183,15069,979,375,105
CA` DI BOSCHETTI,5.1875,4.0,10,16,9,5,4
CECINA,2.8684514193399493,2.0,77,4333,1267,762,252
CEFALU`,1.3840531561461793,0.0,53,3010,447,305,154
CELLE BULGHERIA ROCCAGLORIOSA,2.293150684931507,1.0,24,1460,345,200,81
CERCHIO,2.8958333333333335,1.0,10,288,63,37,11
CERDA,2.278409090909091,2.0,19,1232,186,93,45
CERTALDO,2.680581516095535,2.0,70,4815,1588,750,131
CERTOSA DI PAVIA,3.5731644703063496,3.0,73,5843,2390,1224,210
CERVIA-MILANO MARITTIMA,3.6572847682119205,2.0,54,3020,856,516,248
CERVIGNANO A.G.,1.0226565202352127,0.0,83,5782,772,399,158
CESANO BOSCONE,2.0,2.0,1,1,0,0,0
CESANO MADERNO,-0.22798624607564658,0.0,230,13378,272,146,48
CHIARAVALLE,-3.0372511239563265,-4.0,23,1557,91,45,17
CHIAVARI,3.0764563106796117,1.0,165,9064,2558,1615,598
CHIERI,1.8862310385064178,1.0,27,1714,227,79,19
CHIETI-MAD.D.P.,5.234275296262534,4.0,36,2194,1447,703,89
CHIGNOLO PO,4.062227074235808,3.0,22,1832,821,484,102
CHIOMONTE,1.251895244658856,1.0,67,2902,389,212,76
CHIUDUNO,2.5,0.0,2,2,1,0,0
CINISI TERRASINI,2.9315245478036176,1.0,15,774,146,96,53
CITTADELLA,0.09750408210870072,0.0,67,4287,266,119,49
CITTIGLIO,0.0018719580681392737,0.0,43,2671,0,0,0
CIVITA D`ANTINO-MORINO,3.1698956780923995,2.0,14,671,192,94,32
COCCAGLIO,2.2678888231815493,1.0,41,3382,838,464,103
COCQUIO - TREVISAGO,0.002619760479041916,0.0,43,2672,0,0,0
CODISOTTO,0.0,0.0,1,1,0,0,0
CODOLA,2.683333333333333,2.0,10,60,23,10,4
COGNO - ESINE,0.011025358324145534,0.0,21,907,0,0,0
COLLEGNO,1.1207768891790435,0.0,110,6127,878,453,124
COLLEVECCHIO,1.4227792112053077,1.0,57,2713,268,100,36
COLLI DI MONTE BOVE,3.3415841584158414,1.0,7,404,113,58,16
COLONNA GALLERIA,2.6426735218508997,2.0,53,3112,660,305,84
COMO NORD BORGHI,0.0010945709281961471,0.0,61,4568,0,0,0
COMO NORD LAGO,0.0013464991023339318,0.0,31,2228,0,0,0
COMPRE S.VINCENZO,1.5,0.0,5,6,1,1,0
CONDOFURI,2.5873221216041395,2.0,11,773,185,80,21
CONDOVE,0.7755404204915606,0.0,46,3377,383,201,54
CONTIGLIANO,3.4430446194225723,3.0,34,1905,736,303,65
CONTURSI TERME,1.6226666666666667,0.0,15,750,182,117,37
CORBEZZI,1.3583415597235933,1.0,12,1013,74,19,12
CORDOVADO SESTO,2.122703023117961,2.0,26,1687,458,47,9
CORMANO-CUSANO MILANINO,0.0005240174672489083,0.0,103,5725,0,0,0
COSENZA,1.3769441903019213,0.0,33,2186,305,179,85
COSSATO,1.2526766595289078,0.0,44,1868,358,170,29
COTIGNOLA,4.304635761589404,3.0,3,151,63,21,10
CRUCOLI,4.821167883211679,4.0,20,1370,716,465,138
CUPONE,6.714285714285714,0.0,6,7,2,2,2
CUPRAMARITTIMA,3.1034719834994844,2.0,55,2909,902,529,152
DERVIO,3.3485818847209514,2.0,28,2186,779,452,135
DIECIMO - PESCAGLIA,2.91350114416476,2.0,35,2185,737,360,79
DORMELLETTO PAESE,1.817829457364341,1.0,14,1032,86,36,16
DUEVILLE,2.0480182926829267,1.0,36,2624,350,145,39
ELLERA CORCIANO,3.52195791399817,3.0,32,2186,896,521,120
FAGNANO CAMPANA,1.8508474576271186,1.0,11,295,60,25,3
FALCIANO MONDRAGONE CAR.,3.7933395580454405,2.0,68,3213,1063,767,297
FANZOLO,1.6462921348314608,1.0,62,2225,262,69,23
FELIZZANO,2.1369622475856014,1.0,23,1139,235,88,20
FELONICA PO,2.832167832167832,1.0,18,1001,223,115,48
FERRERA LOMELLINA,5.087139107611549,4.0,28,1905,1078,547,107
FIESOLE CALDINE,2.1287732819524727,1.0,46,3114,655,323,106
FILATTIERA,2.1247216035634744,1.0,39,2245,590,356,86
FINALE LIGURE MARINA,3.94935170178282,2.0,96,4936,1949,1239,399
FIORENZUOLA,2.705831308573412,1.0,84,5762,1405,917,406
FIRENZE CAMPO MARTE,2.8418813519262587,2.0,231,12693,3751,2185,759
FIRENZE CASTELLO,1.2951818349640023,1.0,89,5417,791,418,120
FIRENZE STATUTO,2.886824324324324,2.0,38,2368,834,483,115
FIUMEFREDDO DI SICILIA,2.295380434782609,1.0,61,3680,898,506,187
FIUMELATTE,3.000952380952381,1.0,27,2100,630,411,139
FIUMETORTO,2.0,2.0,1,1,0,0,0
FOLLONICA,2.503623188405797,1.0,59,3588,851,574,238
FONTANA LIRI INFERIORE,2.0,1.0,8,12,3,2,0
FONTANAROSA,2.4010840108401084,1.0,19,1107,228,159,71
FORLI`,3.4266430324515955,1.0,108,7334,2265,1680,879
FORNACI DI BARGA,2.435838680109991,2.0,35,2182,684,339,44
FOSCIANDORA - CESERANA,3.3877551020408165,3.0,9,441,157,59,8
FRANCAVILLA AL MARE,1.968529571351058,1.0,25,1843,367,194,41
FRANCIOSA,4.9162303664921465,4.0,3,191,99,62,16
FRASSO T. DUGENTA,5.924079754601227,4.0,26,1304,666,540,252
FRATTE VILLA COMUNALE,11.666666666666666,1.0,2,3,1,1,1
FURCI,4.6438577586206895,3.0,30,1856,895,530,165
FUSCALDO,2.030888030888031,1.0,21,1295,215,103,35
Ficarazzi,7.235294117647059,6.0,15,17,16,9,3
GALATI,1.2866840731070497,1.0,27,1915,249,110,38
GALLARATE,3.4826170622193713,2.0,243,15590,5834,3700,1172
GALLIATE,0.00138264777048047,0.0,64,2893,0,0,0
GALLIERA VENETA TOMBOLO,6.5,2.0,2,2,1,1,1
GARBAGNATE M.SE,0.0,0.0,70,6077,0,0,0
GARGAZZONE,2.432469304229195,2.0,50,3665,989,391,53
GAZZADA SCHIANNO MORAZZONE,3.2559985567382284,2.0,110,5543,1433,784,304
GEMELLI,2.5745557000433466,2.0,154,9228,1741,553,116
GEMONIO,0.002619760479041916,0.0,43,2672,0,0,0
GENOVA BOLZANETO,0.8465676229508197,1.0,56,3904,424,200,34
GENOVA CORNIGLIANO,10.305555555555555,9.0,29,36,31,28,12
GENOVA NERVI,2.3731906859660166,1.0,145,7945,2126,1422,453
GENOVA P. PRINCIPE SOTTERRANEA,-0.6526442307692307,-2.0,78,4160,311,188,76
GENOVA QUINTO AL MARE,9.105263157894736,10.0,17,19,16,14,9
GENOVA S.BIAGIO,11.666666666666666,14.0,2,3,2,2,2
GENOVA VIA DI FRANCIA,6.04,7.0,10,25,18,17,2
GHIVIZZANO - COREGLIA,4.116024726581075,3.0,34,2103,989,530,81
GIAROLE,2.296470588235294,2.0,27,1700,371,186,44
GIOIOSA JONICA,3.1571104632329123,2.0,49,3087,983,637,220
GONZAGA-REGGIOLO,2.1416603198781416,1.0,33,2626,485,295,138
GORIZIA CENTRALE,1.2117920868890613,0.0,75,3867,556,315,118
GRAVELLONA TOCE,1.7510766580534023,1.0,18,1161,226,123,27
GRISIGNANO DI ZOCCO,2.463790849673203,2.0,70,3825,919,452,120
GRIZZANA,2.14340960360941,1.0,52,3103,556,272,81
GROANE,0.8008658008658008,0.0,18,231,15,9,3
GROPELLO CAIROLI,4.817857142857143,4.0,25,1960,1269,495,99
