stop_name,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ACATE,Fri,0.5909090909090909,0.0,4,44,7,4,0,36.996592,14.42545
ACCIANO,Fri,7.1875,7.0,5,48,48,35,4,42.175994,13.711345
ACIREALE,Fri,2.863128491620112,1.0,79,716,148,111,59,37.600514,15.163697
ALBA,Fri,0.5228426395939086,0.0,18,197,17,3,1,44.697713,8.030629
ALBAIRATE VERMEZZO,Fri,1.3605664488017428,0.0,93,918,188,115,55,,
ALBATE-TRECALLO,Fri,2.8449612403100777,2.0,22,258,72,28,4,45.777391,9.095752
AMANTEA,Fri,3.030588235294118,0.0,41,425,82,56,33,39.134353,16.068448
ANNONE VENETO,Fri,2.5984848484848486,2.0,22,264,46,24,9,45.774904,12.680334
ANTIGNANO,Fri,5.166666666666667,2.0,4,6,3,2,1,43.492482,10.328827
ANZIO,Fri,1.6428571428571428,2.0,56,518,53,18,6,41.4532,12.633205
ARAGONA CALDARE,Fri,1.961630695443645,1.0,39,417,85,44,15,37.381097,13.636837
ARBOSTELLA,Fri,0.6052631578947368,0.0,36,38,1,1,0,40.677263,15.623814
ARCISATE,Fri,2.660323501427212,2.0,85,1051,213,110,34,45.858579,8.86241
AREZZO,Fri,2.699623352165725,2.0,102,1062,332,205,88,43.461725,11.874189
ARQUA`,Fri,2.3388429752066116,2.0,10,121,39,21,3,45.006465,11.748518
AULLA LUNIGIANA,Fri,1.6681957186544343,1.0,66,654,137,81,30,44.210555,9.970015
AVERSA,Fri,2.8053265694356373,1.0,150,1577,384,286,134,40.973323,14.218578
BAGHERIA,Fri,0.7941176470588235,0.0,102,1020,72,34,18,38.089905,13.507215
BAGNARA,Fri,0.8330058939096268,-1.0,48,509,63,43,19,38.282695,15.800327
BALDICHIERI,Fri,2.438902743142145,2.0,33,401,85,36,4,44.899204,8.091198
BALESTRATE,Fri,4.125984251968504,2.0,16,127,35,19,11,38.053364,13.007374
BARAGIANO,Fri,4.208860759493671,3.0,18,158,69,48,13,40.695213,15.569206
BARGA GALLICANO,Fri,3.5,3.0,34,322,126,59,7,44.068114,10.451938
BARI CENTRALE,Fri,1.056644880174292,-1.0,181,1836,346,247,136,41.11774,16.869601
BARI PARCO NORD,Fri,57.0,57.0,1,1,1,1,1,41.123916,16.837018
BARI ZONA INDUSTRIALE,Fri,1.7486631016042782,1.0,77,748,152,92,33,,
BARRUCCANA,Fri,1.018421052631579,-1.0,49,380,55,41,17,,
BASILIANO,Fri,1.8664850136239781,2.0,35,367,56,27,6,46.012737,13.109233
BASTIA,Fri,4.0062111801242235,3.0,43,483,207,120,28,43.07133,12.547735
BELLANTE RIPATTONE,Fri,3.6265560165975104,4.0,22,241,142,49,12,42.705775,13.837978
BELVEDERE MARITTIMO,Fri,3.614886731391586,3.0,31,309,120,65,24,39.616549,15.853039
BERCETO,Fri,2.9057377049180326,2.0,42,488,146,97,40,44.555912,9.931759
BERNALDA,Fri,2.98,3.0,4,50,16,10,3,40.397616,16.682281
BOLLATE NORD,Fri,0.7049586776859504,0.0,101,1210,82,29,2,,
BOLOGNA CORTICELLA,Fri,3.9450980392156865,2.0,49,510,193,105,37,44.551985,11.35401
