stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
AMOROSI MELIZZANO,,30.5,29.0,2,4,4,4,4,41.173509,14.470759
ANCONA,,5.823971915747242,3.0,25,1994,915,748,464,43.607734,13.497665
BARDONECCHIA,,2.3333333333333335,-2.0,2,36,8,6,2,45.076447,6.709959
BARI CENTRALE,,3.1657291215923844,-1.0,33,2311,764,626,394,41.11774,16.869601
BOLOGNA C.LE/AV,,2.923631404636665,1.0,130,10266,3314,2291,1044,44.50626,11.342267
BOVINO DELICETO,,16.0,16.0,1,1,1,1,1,41.27835,15.369255
CAMPIGLIA MARITTIMA,,2.8170594837261502,1.0,11,891,260,180,81,43.017118,10.586558
CARPI,,4.859649122807017,3.0,2,171,69,39,12,44.782919,10.891952
CECINA,,6.151685393258427,4.0,2,178,95,69,28,43.31028,10.514225
CERVIGNANO A.G.,,0.9765395894428153,1.0,5,341,58,32,8,45.823948,13.342866
CIVITANOVA MARCHE,,8.59217877094972,6.0,2,179,119,99,59,43.3091,13.7257
CONEGLIANO,,2.485294117647059,1.0,4,340,57,31,12,45.884706,12.298909
CORNIGLIA,,18.53846153846154,12.0,2,13,10,10,7,44.119938,9.711051
DESENZANO,,4.551264980026631,3.0,18,1502,607,341,118,45.462677,10.536322
EMPOLI,,7.0,7.0,1,1,1,1,0,43.715708,10.94915
FALCONARA MARITTIMA,,3.511764705882353,1.0,2,170,40,30,14,43.630577,13.397378
FASANO,,51.5,35.0,1,2,2,2,2,40.851753,17.3859
FIUMICINO AEROPORTO,,0.5830985915492958,-1.0,4,355,34,16,12,41.793673,12.251728
FOLIGNO,,3.2705882352941176,1.0,2,170,40,27,17,42.954261,12.711096
FROSINONE,,2.9604519774011298,0.0,2,177,36,22,15,41.625333,13.328728
GENOVA P.PRINCIPE,,5.855907780979827,3.0,13,1041,495,379,182,44.417784,8.9207
GIOIA DEL COLLE,,4.793296089385475,0.0,2,179,50,39,30,40.796983,16.916569
GIOIA TAURO,,2.115168539325843,-1.0,4,356,73,54,30,38.423436,15.897516
GIULIANOVA,,7.075949367088608,3.0,2,158,71,58,37,42.751673,13.965743
LAMEZIA TERME CENTRALE,,3.2688796680497925,1.0,16,1205,310,226,117,38.921347,16.255577
MANTOVA,,0.8214285714285714,-2.0,1,84,12,10,6,45.158746,10.783165
MASSA CENTRO,,4.41862652869238,3.0,13,1063,456,301,107,44.023741,10.136041
METAPONTO,,-1.6233766233766234,-4.0,2,77,2,2,1,40.368496,16.815176
MONFALCONE,,1.7900874635568513,1.0,5,343,68,38,11,45.807683,13.542929
NAPOLI AFRAGOLA,,5.716325263811298,3.0,61,4833,2263,1790,944,,
