stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
AUGUSTA,DIR,43.0,43.0,1,1,1,1,1,37.24334,15.218628
LENTINI,DIR,27.0,27.0,1,1,1,1,1,37.300916,14.99758
PRIOLO MELILLI,DIR,58.0,58.0,1,1,1,1,1,37.157951,15.197038
SCALETTA ZANCLEA,DIR,15.0,15.0,1,1,1,1,1,38.04635,15.465376
CATANIA CENTRALE,DIR,28.0,28.0,1,1,1,1,1,37.506211,15.099417
FIUMEFREDDO DI SICILIA,DIR,22.0,22.0,1,1,1,1,1,37.795247,15.205615
MESSINA CENTRALE,DIR,13.0,13.0,1,1,1,1,1,38.184975,15.561278
TAORMINA,DIR,21.0,21.0,1,1,1,1,1,37.845429,15.282584
ACIREALE,DIR,27.0,27.0,1,1,1,1,1,37.600514,15.163697
ALI` TERME,DIR,14.0,14.0,1,1,1,1,1,38.013952,15.435184
GIARRE RIPOSTO,DIR,26.0,26.0,1,1,1,1,1,37.730346,15.193386
SANTA TERESA DI RIVA,DIR,14.0,14.0,1,1,1,1,1,37.946295,15.367682
