stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
COMO S. GIOVANNI,EC,3.1582491582491583,2.0,19,594,209,123,41,45.808946,9.072331
GALLARATE,EC,8.250602409638555,6.0,7,415,302,221,100,45.659828,8.798243
MODANE,EC,8.506493506493506,1.0,4,77,34,33,27,,
PADOVA,EC,5.383977900552487,1.0,15,362,115,83,58,45.417846,11.880794
PESCHIERA DEL GARDA,EC,5.972027972027972,3.0,6,143,64,42,23,45.438502,10.702509
PIACENZA,EC,1.90625,1.0,2,32,8,6,3,45.052238,9.70633
RHO FIERA MILANO,EC,5.122448979591836,5.0,3,49,26,23,9,,
ROMA TERMINI,EC,116.0,116.0,1,1,1,1,1,41.900636,12.502026
SAN BONIFACIO,EC,42.0,42.0,1,1,1,1,1,45.40276,11.27406
SESTRI LEVANTE,EC,-6.0,-6.0,1,1,0,0,0,44.27626,9.397651
TORINO PORTA SUSA,EC,10.038709677419355,3.0,4,155,72,50,33,45.075906,7.667673
VICENZA,EC,5.426934097421204,2.0,10,349,116,87,56,45.541102,11.540762
DOMODOSSOLA,EC,2.860771401693321,1.0,17,1063,387,276,107,46.115429,8.296684
GENOVA P.PRINCIPE,EC,5.2,3.0,2,25,11,9,4,44.417784,8.9207
TORTONA,EC,3.2916666666666665,1.0,1,24,6,4,2,44.900126,8.861777
TRENTO,EC,6.387387387387387,3.0,14,888,429,289,152,46.072414,11.118941
BARDONECCHIA,EC,9.505376344086022,3.0,2,93,43,31,21,45.076447,6.709959
BOLOGNA C.LE,EC,9.813868613138686,4.0,6,274,151,117,79,44.50626,11.342267
BRENNERO,EC,2.6793168880455407,-1.0,9,527,165,125,64,47.004117,11.505711
BRESCIA,EC,5.5625,3.0,7,144,66,41,21,45.532315,10.212828
BRESSANONE,EC,5.812977099236641,2.0,16,1048,456,331,180,46.710088,11.649677
CHIASSO,EC,-0.975,-3.0,10,40,7,6,2,45.830736,9.03421
DESENZANO,EC,4.0,4.0,1,1,1,0,0,45.462677,10.536322
DESIO,EC,17.0,17.0,1,1,1,1,1,45.620112,9.218495
DOMEGLIARA,EC,102.5,63.0,2,2,2,2,2,45.522348,10.820408
FIRENZE CAMPO MARTE,EC,54.5,21.0,2,4,4,4,4,43.776856,11.27702
FIRENZE RIFREDI,EC,4.0,4.0,1,1,1,0,0,43.800873,11.235729
FIRENZE S.M.N.,EC,-2.0,-2.0,1,1,0,0,0,43.776893,11.247373
GRISIGNANO DI ZOCCO,EC,19.0,19.0,1,1,1,1,1,45.48638,11.710762
LEVANTO,EC,-2.0,-2.0,1,1,0,0,0,44.174167,9.616018
MILANO CENTRALE,EC,4.727769110764431,2.0,23,1282,491,374,228,45.486347,9.204528
MILANO LAMBRATE,EC,3.508771929824561,3.0,4,57,22,14,3,45.484933,9.237333
MILANO ROGOREDO,EC,4.578947368421052,4.0,4,57,30,19,3,45.433866,9.2391
MODENA,EC,4.78125,1.0,2,32,11,8,3,44.654461,10.930373
PARMA,EC,6.9375,2.0,2,32,12,12,8,44.810203,10.32837
PAVIA,EC,5.76,4.0,2,25,14,7,3,45.188843,9.144674
RECCO,EC,-5.0,-5.0,1,1,0,0,0,44.361215,9.146788
REGGIO EMILIA,EC,7.5625,3.0,2,32,16,13,8,44.697793,10.643093
ROVERETO,EC,7.041666666666667,4.0,14,888,475,347,171,45.890985,11.033518
STRESA,EC,6.556701030927835,6.0,10,679,476,360,133,45.884486,8.531454
TARVISIO BOSCOVERDE,EC,23.8,20.0,2,5,4,3,3,46.505956,13.608012
VENEZIA MESTRE,EC,4.556521739130435,1.0,11,345,85,59,40,45.482123,12.232069
VENEZIA SANTA LUCIA,EC,4.4088669950738915,1.0,6,203,53,42,30,45.441569,12.320882
VERONA PORTA NUOVA,EC,6.817112299465241,4.0,21,935,498,344,147,45.428603,10.982377
VIPITENO,EC,1.5443037974683544,-2.0,2,158,26,22,17,46.895732,11.440206
