stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
AGROPOLI CASTELLABATE,ICN,5.591549295774648,2.0,2,71,27,23,13,40.351521,15.002053
BAGNARA,ICN,9.01526717557252,2.0,2,131,59,54,26,38.282695,15.800327
BARCELLONA,ICN,4.803398058252427,1.0,6,412,120,99,74,38.14918,15.212499
BATTIPAGLIA,ICN,3.4788732394366195,-1.0,2,71,21,17,14,40.605789,14.98324
BRESSANONE,ICN,7.533333333333333,6.0,2,15,12,8,3,46.710088,11.649677
CAPO D`ORLANDO-NASO,ICN,6.956310679611651,1.0,6,412,135,112,84,38.157941,14.744844
CASERTA,ICN,10.15,-3.0,2,20,4,4,4,41.068655,14.328457
CHIUSI C.T.,ICN,4.280701754385965,-1.0,4,114,35,29,22,43.002466,11.957893
CODROIPO,ICN,7.618421052631579,4.0,5,152,79,58,32,45.9657,12.976543
FERRARA,ICN,3.9869281045751634,1.0,5,153,38,32,19,44.843047,11.603594
FIRENZE CAMPO MARTE,ICN,-1.3278688524590163,-3.0,3,122,50,46,37,43.776856,11.27702
FORMIA-GAETA,ICN,8.781970649895179,2.0,10,477,189,158,113,41.258773,13.605996
GIOIA DEL COLLE,ICN,5.554878048780488,1.0,2,164,52,35,19,40.796983,16.916569
GIOIA TAURO,ICN,11.252475247524753,6.0,4,202,122,102,57,38.423436,15.897516
GROSSETO,ICN,1.6462585034013606,-2.0,5,294,64,53,38,42.76728,11.1065
MEZZOCORONA,ICN,7.102564102564102,3.0,2,39,14,10,5,46.207258,11.128595
MILAZZO,ICN,4.652912621359223,0.0,6,412,129,102,72,38.21195,15.244203
NAPOLI CENTRALE,ICN,2.6884531590413943,-1.0,8,459,124,93,62,40.852933,14.272908
NOVARA,ICN,3.7039473684210527,1.0,2,152,55,33,18,45.451376,8.624895
ORA,ICN,9.0,9.0,1,1,1,1,0,46.36092,11.296781
ORTE,ICN,5.337016574585635,1.0,4,181,54,44,36,42.43728,12.408986
OSTUNI,ICN,4.6103896103896105,1.0,6,308,80,58,30,40.752356,17.580809
PALMI,ICN,10.641221374045802,4.0,2,131,69,57,28,38.364914,15.84438
PAVIA,ICN,2.7777777777777777,4.0,2,9,5,2,0,45.188843,9.144674
PESARO,ICN,-1.966887417218543,-3.0,2,151,21,14,9,43.906014,12.904848
PESCARA,ICN,-0.5637583892617449,-3.0,6,447,97,79,48,42.467789,14.205066
PISA CENTRALE,ICN,5.5625,1.0,7,304,91,68,50,43.70794,10.398183
PORDENONE,ICN,7.118421052631579,3.0,5,152,69,50,31,45.956281,12.654126
RAPALLO,ICN,9.5,10.0,4,6,4,4,3,44.351398,9.231282
RICADI,ICN,6.297709923664122,2.0,2,131,50,37,21,38.630676,15.839848
ROMA TERMINI,ICN,2.2817460317460316,0.0,11,252,66,53,36,41.900636,12.502026
ROVIGO,ICN,3.5163398692810457,-1.0,5,153,46,34,20,45.076993,11.780892
S.BENEDETTO DEL TRONTO,ICN,-2.6623376623376624,-5.0,1,77,10,6,4,42.954386,13.882297
SALERNO,ICN,3.0602409638554215,-3.0,10,498,129,106,87,40.675137,14.772822
SAN SEVERO,ICN,4.188679245283019,-2.0,3,159,34,29,22,41.684512,15.392567
TARANTO,ICN,4.0182926829268295,1.0,2,164,55,40,21,40.483727,17.224059
TERME EUGANEE-ABANO-MONTEGR.,ICN,5.294117647058823,1.0,5,153,46,35,26,45.32744,11.79604
TERMOLI,ICN,0.1346153846153846,-5.0,3,156,29,24,17,42.000623,14.992805
TERONTOLA CORTONA,ICN,9.071428571428571,3.0,4,112,55,45,25,43.210263,12.007906
TORINO LINGOTTO,ICN,3.4158878504672896,1.0,7,428,103,71,42,45.0266,7.657469
TRENTO,ICN,5.1,1.0,2,40,10,8,5,46.072414,11.118941
AMANTEA,ICN,4.346534653465347,-2.0,4,202,70,53,42,39.134353,16.068448
ANCONA,ICN,-2.505592841163311,-2.0,6,447,127,102,60,43.607734,13.497665
BARI CENTRALE,ICN,1.3970276008492568,-3.0,8,471,77,58,36,41.11774,16.869601
CASSINO,ICN,9.181818181818182,-9.0,1,11,1,1,1,41.484306,13.832125
CIVITAVECCHIA,ICN,12.723549488054607,4.0,5,293,154,127,81,42.088287,11.79815
FASANO,ICN,4.39935064935065,1.0,6,308,73,51,27,40.851753,17.3859
FRANCAVILLA FONTANA,ICN,5.390243902439025,3.0,2,164,71,41,19,40.523145,17.584714
FROSINONE,ICN,20.90909090909091,4.0,1,11,6,5,3,41.625333,13.328728
GENOVA BRIGNOLE,ICN,4.407894736842105,0.0,7,304,118,94,53,44.407213,8.947553
GENOVA P.PRINCIPE,ICN,4.934210526315789,1.0,7,304,106,76,37,44.417784,8.9207
LA SPEZIA CENTRALE,ICN,-3.424342105263158,-9.0,7,304,67,57,39,44.11141,9.813906
LATINA,ICN,7.575555555555556,1.0,8,450,170,139,102,41.538372,12.945888
MILANO CENTRALE,ICN,7.716279069767442,1.0,3,215,87,63,43,45.486347,9.204528
MODENA,ICN,9.155932203389831,5.0,5,295,169,125,70,44.654461,10.930373
MONSELICE,ICN,3.6143790849673203,0.0,5,153,40,33,23,45.246116,11.74789
NICOTERA,ICN,8.870229007633588,4.0,2,131,78,45,21,38.549328,15.933749
PAOLA,ICN,6.412935323383085,-2.0,4,201,62,57,38,39.359442,16.033093
PISCIOTTA PALINURO,ICN,7.028169014084507,3.0,2,71,34,31,15,40.091539,15.243601
RIMINI,ICN,-2.7884187082405347,-5.0,6,449,70,55,40,44.064176,12.574093
S.AGATA M.,ICN,2.2121951219512197,0.0,6,410,122,98,69,38.073554,14.640622
S.CANDIDO,ICN,10.555555555555555,7.0,1,9,8,5,3,46.732728,12.271917
SCALEA S.DOMENICA TALAO,ICN,11.410891089108912,5.0,4,202,121,91,62,39.8083,15.80139
TORTONA,ICN,8.392857142857142,4.0,4,140,89,60,26,44.900126,8.861777
VALLO DELLA LUC. CASTELNUOVO,ICN,7.577464788732394,4.0,2,71,38,28,14,40.233316,15.266511
VENEZIA MESTRE,ICN,4.204081632653061,2.0,5,147,45,37,26,45.482123,12.232069
VERCELLI,ICN,5.368421052631579,2.0,2,152,65,41,22,45.329909,8.416028
VIBO MARINA,ICN,7.587786259541985,2.0,2,131,47,33,25,38.713731,16.120199
VILLA SAN GIOVANNI,ICN,4.880208333333333,0.0,8,384,123,99,70,38.216638,15.634336
VOGHERA,ICN,6.264285714285714,5.0,4,140,87,59,26,44.9978,9.007942
ACIREALE,ICN,1.4870967741935484,1.0,7,310,106,92,43,37.600514,15.163697
ALESSANDRIA,ICN,6.067757009345795,3.0,7,428,180,136,57,44.909091,8.606498
AREZZO,ICN,0.9649122807017544,1.0,4,114,41,40,28,43.461725,11.874189
ASCEA,ICN,7.704225352112676,5.0,2,71,39,31,15,40.140955,15.172626
ASTI,ICN,4.651869158878505,2.0,7,428,156,104,44,44.89479,8.208112
AUGUSTA,ICN,1.2127659574468086,1.0,7,329,86,55,29,37.24334,15.218628
AVERSA,ICN,7.156626506024097,0.0,3,166,62,49,30,40.973323,14.218578
BARLETTA,ICN,7.1023454157782515,2.0,8,469,169,120,68,41.315227,16.278867
BENEVENTO,ICN,7.15,-6.0,2,20,4,3,2,41.141901,14.769998
BISCEGLIE,ICN,6.891472868217054,1.0,6,258,77,58,35,41.235445,16.499484
BOLOGNA C.LE,ICN,4.1310975609756095,2.0,15,656,240,193,118,44.50626,11.342267
BRINDISI,ICN,0.8771186440677966,-3.0,8,472,71,51,25,40.634339,17.938978
CASARSA,ICN,7.5,4.0,5,152,80,59,32,45.953002,12.8406
CATANIA CENTRALE,ICN,-0.27439024390243905,-1.0,7,328,73,56,35,37.506211,15.099417
CEFALU`,ICN,2.0533980582524274,-1.0,6,412,95,79,44,38.03285,14.019526
CESENA,ICN,3.056603773584906,-3.0,3,212,64,49,33,44.145449,12.24964
CHIAVARI,ICN,5.28135593220339,0.0,5,295,86,64,44,44.315156,9.322464
CIAMPINO,ICN,13.090909090909092,4.0,1,11,6,4,3,41.804442,12.599546
CONEGLIANO,ICN,3.7171052631578947,2.0,5,152,44,37,25,45.884706,12.298909
CORNIGLIA,ICN,6.8,5.0,1,5,4,2,1,44.119938,9.711051
FAENZA,ICN,8.607142857142858,3.0,3,224,101,85,65,44.293594,11.883268
FIDENZA,ICN,8.290322580645162,3.0,2,62,23,13,10,44.86773,10.06339
FIRENZE CASTELLO,ICN,22.0,22.0,1,1,1,1,1,43.819444,11.21838
FOGGIA,ICN,4.769722814498934,0.0,8,469,156,122,73,41.466,15.555816
FORLI`,ICN,4.10377358490566,-1.0,3,212,70,62,40,44.22413,12.054871
GIARRE RIPOSTO,ICN,1.9659442724458205,1.0,7,323,111,90,43,37.730346,15.193386
GORIZIA CENTRALE,ICN,2.183006535947712,-1.0,5,153,42,29,20,45.933047,13.60684
LAMEZIA TERME CENTRALE,ICN,9.068965517241379,4.0,6,319,169,137,100,38.921347,16.255577
LECCE,ICN,2.0480349344978164,-2.0,4,229,34,25,16,40.34566,18.165724
LENTINI,ICN,1.7325227963525835,0.0,7,329,84,64,40,37.300916,14.99758
LIVORNO CENTRALE,ICN,5.786885245901639,1.0,5,244,74,56,36,43.55406,10.336593
MARATEA,ICN,8.704225352112676,5.0,2,71,42,35,21,39.995028,15.70975
MESSINA CENTRALE,ICN,1.3458110516934045,0.0,10,561,114,88,51,38.184975,15.561278
MILANO PORTA GARIBALDI,ICN,2.401315789473684,-1.0,2,152,41,31,18,45.484917,9.187683
