stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
BAGNOLI AGNANO TERME,MET,-0.41926729986431477,-1.0,131,5159,229,112,36,40.819444,14.166694
CASALNUOVO,MET,4.13347022587269,3.0,28,1948,798,408,122,40.915559,14.35296
CASTELLAMMARE DI STABIA,MET,0.7222222222222222,0.0,7,72,6,3,1,40.701398,14.483737
GIUGLIANO QUALIANO,MET,37.0,37.0,1,1,1,1,1,40.935018,14.10378
MINTURNO,MET,0.0,0.0,1,1,0,0,0,41.257621,13.720664
NAPOLI MERGELLINA,MET,8.294117647058824,6.0,28,34,22,19,10,40.831531,14.218662
NOCERA INFERIORE,MET,3.4285714285714284,3.0,61,4613,1415,571,180,40.745318,14.635346
PIAZZA CAVOUR,MET,-0.5787124060150376,-2.0,136,4256,405,235,95,40.855248,14.255175
PRIVERNO FOSSANOVA,MET,4.0,4.0,1,1,1,0,0,41.421853,13.186406
S.MARCELLINO FRIGNANO,MET,2.0,2.0,1,1,0,0,0,40.992103,14.171976
SALERNO,MET,-1.0469710272168569,-2.0,33,2278,244,150,85,40.675137,14.772822
SCAFATI,MET,2.027542832357406,1.0,61,4611,944,438,168,40.746028,14.523253
ANGRI,MET,3.5368284228769498,3.0,61,4616,1807,779,201,40.746404,14.575366
ARECHI,MET,12.0,0.0,2,2,1,1,1,,
CAVA DEI TIRRENI,MET,2.691664833956455,2.0,60,4547,1123,576,175,40.703662,14.708461
DUOMO VIA VERNIERI,MET,5.25,1.0,7,8,4,3,1,,
MADDALONI INFERIORE,MET,16.44,13.0,13,25,24,24,17,41.035954,14.380504
NAPOLI CENTRALE,MET,-6.777777777777778,-1.0,9,9,3,2,0,40.852933,14.272908
NAPOLI S.GIOV.BARRA,MET,0.23448535643657595,1.0,141,10619,701,321,126,40.831269,14.307811
NOCERA SUPERIORE,MET,3.2148651611488708,2.0,60,4561,1259,561,172,40.742597,14.672398
PAGANI,MET,3.7563935847420895,3.0,61,4614,1806,723,189,40.74654,14.616996
PASTENA,MET,3.0,2.0,2,2,1,0,0,,
PIAZZA AMEDEO,MET,-1.1290569895221059,-2.0,231,7826,427,271,121,40.838506,14.232974
POMPEI,MET,2.37708830548926,1.0,61,4609,1112,504,170,40.745918,14.501109
PORTICI- ERCOLANO,MET,1.482253860036094,1.0,74,4987,716,375,139,40.809907,14.335809
SEZZE ROMANO,MET,4.0,4.0,1,1,1,0,0,41.495542,13.038452
TORRE ANNUNZIATA CENTRALE,MET,2.4092129725263374,2.0,71,4841,1076,511,165,40.747131,14.463744
TORRE DEL GRECO,MET,1.6413239719157473,1.0,74,4985,789,408,148,40.787631,14.363159
VIETRI SUL MARE,MET,1.75,2.0,7,8,3,2,1,40.674996,14.726829
ACERRA,MET,4.110996916752312,3.0,28,1946,786,383,121,40.939066,14.372243
AVERSA,MET,1.0,1.0,1,1,0,0,0,40.973323,14.218578
CANCELLO,MET,5.099690082644628,4.0,28,1936,1115,539,137,40.993063,14.418877
CASERTA,MET,3.4813186813186814,2.0,13,910,328,175,52,41.068655,14.328457
CAVALLEGGERI AOSTA,MET,-0.29540559942569994,-1.0,131,11144,494,198,54,40.819292,14.185679
FALCIANO MONDRAGONE CAR.,MET,1.0,1.0,1,1,0,0,0,41.123525,13.971792
FONDI - SPERLONGA,MET,5.0,5.0,1,1,1,0,0,41.337663,13.424893
FORMIA-GAETA,MET,1.0,1.0,1,1,0,0,0,41.258773,13.605996
LATINA,MET,4.0,4.0,1,1,1,0,0,41.538372,12.945888
MERCATELLO,MET,17.333333333333332,26.0,3,3,2,2,2,40.606491,15.38979
MONTE S.BIAGIO,MET,5.0,5.0,1,1,1,0,0,41.345967,13.347037
NAPOLI CAMPI FLEGREI,MET,-1.0107366132101114,-2.0,180,14716,742,430,189,40.822462,14.194649
NAPOLI GIANTURCO,MET,-0.8288515252752068,-2.0,235,18259,1606,888,290,40.853959,14.288213
NAPOLI MONTESANTO,MET,8.605263157894736,6.0,32,38,22,21,7,40.847807,14.244022
NAPOLI PIAZZA GARIBALDI,MET,7.942028985507246,7.0,54,69,48,41,18,40.852326,14.275159
NAPOLI PIAZZA LEOPARDI,MET,0.48134165025169623,0.0,233,18276,1537,804,296,40.82397,14.199117
PIETRARSA,MET,13.277777777777779,10.0,14,18,15,12,8,40.822433,14.32058
POZZUOLI SOLFATARA,MET,-0.18500088857295183,-1.0,66,5627,366,169,54,40.827586,14.126163
ROVIGLIANO,MET,4.5,3.0,1,2,1,1,0,,
S.MARIA LA BRUNA,MET,1.850381066987565,1.0,74,4986,856,420,157,40.755435,14.407647
SESSA AURUNCA R.,MET,0.0,0.0,1,1,0,0,0,41.1955,13.8761
TORRE ANNUNZIATA CITTA',MET,0.0,0.0,1,1,0,0,0,40.754069,14.448628
TORRIONE,MET,4.0,2.0,2,2,1,1,0,,
TRACCIA,MET,4.431718061674009,3.0,4,227,100,29,10,,
VILLA LITERNO,MET,19.0,2.0,2,2,1,1,1,41.004956,14.06753
