stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
BARDONECCHIA,EC,Fri,8.466666666666667,5.0,2,15,9,5,4,45.076447,6.709959
BRESCIA,EC,Fri,4.818181818181818,3.0,4,33,14,7,3,45.532315,10.212828
GENOVA P.PRINCIPE,EC,Fri,6.5,3.0,1,4,2,2,1,44.417784,8.9207
MILANO ROGOREDO,EC,Fri,4.454545454545454,4.0,3,11,6,4,1,45.433866,9.2391
PIACENZA,EC,Fri,1.5714285714285714,-1.0,2,7,2,1,1,45.052238,9.70633
STRESA,EC,Fri,7.854368932038835,7.0,9,103,75,64,21,45.884486,8.531454
TORINO PORTA SUSA,EC,Fri,11.23076923076923,4.0,4,26,14,11,6,45.075906,7.667673
VICENZA,EC,Fri,5.754385964912281,1.0,6,57,18,13,8,45.541102,11.540762
BOLOGNA C.LE,EC,Fri,6.5227272727272725,3.0,5,44,21,15,12,44.50626,11.342267
CHIASSO,EC,Fri,-0.4166666666666667,-4.0,6,12,3,3,1,45.830736,9.03421
FIRENZE RIFREDI,EC,Fri,4.0,4.0,1,1,1,0,0,43.800873,11.235729
MILANO LAMBRATE,EC,Fri,5.2727272727272725,3.0,3,11,5,5,1,45.484933,9.237333
ROVERETO,EC,Fri,7.4186046511627906,4.0,10,129,68,51,29,45.890985,11.033518
VENEZIA MESTRE,EC,Fri,5.321428571428571,1.0,6,56,13,7,6,45.482123,12.232069
VERONA PORTA NUOVA,EC,Fri,6.412162162162162,4.0,13,148,80,51,19,45.428603,10.982377
VIPITENO,EC,Fri,-0.8260869565217391,-1.0,2,23,3,2,2,46.895732,11.440206
BRESSANONE,EC,Fri,6.368421052631579,4.0,12,152,78,54,32,46.710088,11.649677
MODANE,EC,Fri,4.642857142857143,0.0,4,14,6,5,3,,
PADOVA,EC,Fri,5.706896551724138,2.0,7,58,19,12,9,45.417846,11.880794
PARMA,EC,Fri,2.5714285714285716,0.0,2,7,1,1,1,44.810203,10.32837
PAVIA,EC,Fri,6.25,5.0,1,4,3,2,1,45.188843,9.144674
PESCHIERA DEL GARDA,EC,Fri,4.7272727272727275,3.0,4,33,14,7,3,45.438502,10.702509
REGGIO EMILIA,EC,Fri,3.857142857142857,3.0,2,7,3,2,1,44.697793,10.643093
RHO FIERA MILANO,EC,Fri,5.222222222222222,3.0,3,9,4,4,1,,
TORTONA,EC,Fri,2.5,2.0,1,4,1,0,0,44.900126,8.861777
TRENTO,EC,Fri,6.736434108527132,4.0,10,129,67,40,26,46.072414,11.118941
VENEZIA SANTA LUCIA,EC,Fri,7.785714285714286,2.0,3,28,7,6,4,45.441569,12.320882
BRENNERO,EC,Fri,2.9078947368421053,1.0,6,76,28,25,14,47.004117,11.505711
COMO S. GIOVANNI,EC,Fri,4.070707070707071,2.0,18,99,42,29,11,45.808946,9.072331
DOMODOSSOLA,EC,Fri,4.496894409937888,2.0,15,161,69,55,23,46.115429,8.296684
GALLARATE,EC,Fri,10.11111111111111,7.0,6,72,52,44,22,45.659828,8.798243
MILANO CENTRALE,EC,Fri,7.019704433497537,3.0,21,203,100,84,50,45.486347,9.204528
MODENA,EC,Fri,2.142857142857143,1.0,2,7,2,1,1,44.654461,10.930373
TARVISIO BOSCOVERDE,EC,Fri,-12.0,-12.0,1,1,0,0,0,46.505956,13.608012
