stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ACIREALE,ICN,Fri,5.191489361702128,1.0,6,47,19,15,9,37.600514,15.163697
ALESSANDRIA,ICN,Fri,5.875,3.0,6,64,30,25,7,44.909091,8.606498
ANCONA,ICN,Fri,-4.303030303030303,-3.0,6,66,15,10,4,43.607734,13.497665
AREZZO,ICN,Fri,-1.0,1.0,4,20,5,4,3,43.461725,11.874189
ASCEA,ICN,Fri,6.0,5.0,2,12,7,6,2,40.140955,15.172626
BAGNARA,ICN,Fri,5.833333333333333,1.0,2,18,8,8,3,38.282695,15.800327
BARI CENTRALE,ICN,Fri,0.7761194029850746,-1.0,7,67,10,6,4,41.11774,16.869601
BARLETTA,ICN,Fri,5.791044776119403,2.0,7,67,25,16,9,41.315227,16.278867
BRINDISI,ICN,Fri,0.373134328358209,-1.0,7,67,12,8,3,40.634339,17.938978
CAPO D`ORLANDO-NASO,ICN,Fri,7.403225806451613,2.0,6,62,22,21,17,38.157941,14.744844
CASSINO,ICN,Fri,-10.0,-10.0,1,1,0,0,0,41.484306,13.832125
CHIUSI C.T.,ICN,Fri,1.25,-2.0,4,20,2,2,2,43.002466,11.957893
CIAMPINO,ICN,Fri,4.0,4.0,1,1,1,0,0,41.804442,12.599546
CORNIGLIA,ICN,Fri,7.0,7.0,1,1,1,1,0,44.119938,9.711051
FASANO,ICN,Fri,2.2093023255813953,0.0,5,43,11,8,2,40.851753,17.3859
FORMIA-GAETA,ICN,Fri,7.449275362318841,3.0,7,69,30,21,14,41.258773,13.605996
GIOIA DEL COLLE,ICN,Fri,4.333333333333333,1.0,2,24,5,3,3,40.796983,16.916569
GIOIA TAURO,ICN,Fri,8.966666666666667,6.0,4,30,17,16,8,38.423436,15.897516
GORIZIA CENTRALE,ICN,Fri,5.708333333333333,-1.0,5,24,9,6,6,45.933047,13.60684
LIVORNO CENTRALE,ICN,Fri,5.186046511627907,1.0,4,43,13,9,5,43.55406,10.336593
MILANO CENTRALE,ICN,Fri,1.7741935483870968,1.0,3,31,12,6,3,45.486347,9.204528
MILAZZO,ICN,Fri,4.403225806451613,1.0,6,62,19,16,12,38.21195,15.244203
MODENA,ICN,Fri,3.9130434782608696,3.0,5,46,21,18,5,44.654461,10.930373
PADOVA,ICN,Fri,-0.7083333333333334,-4.0,5,24,2,2,2,45.417846,11.880794
PIACENZA,ICN,Fri,4.868131868131868,2.0,9,91,44,32,14,45.052238,9.70633
PORDENONE,ICN,Fri,8.416666666666666,3.0,5,24,11,10,6,45.956281,12.654126
SANTO STEFANO DI CAMASTRA,ICN,Fri,0.7142857142857143,1.0,2,21,4,2,2,38.01778,14.35104
SAPRI,ICN,Fri,9.862068965517242,5.0,4,29,15,13,9,40.078013,15.627204
TERMINI IMERESE,ICN,Fri,-0.016129032258064516,-1.0,6,62,16,11,6,37.980132,13.703631
TERMOLI,ICN,Fri,-3.857142857142857,-7.0,2,21,2,2,1,42.000623,14.992805
TORINO LINGOTTO,ICN,Fri,1.875,1.0,6,64,14,9,6,45.0266,7.657469
TORTONA,ICN,Fri,5.904761904761905,5.0,2,21,12,10,2,44.900126,8.861777
VIAREGGIO,ICN,Fri,2.2222222222222223,-6.0,2,18,3,3,2,43.865947,10.257886
