stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
CERVIGNANO A.G.,IR,Fri,6.0,6.0,1,1,1,1,0,45.823948,13.342866
LATISANA LIGNANO B.,IR,Fri,6.0,6.0,1,1,1,1,0,45.777733,13.001101
TRIESTE AIRPORT,IR,Fri,6.0,6.0,1,1,1,1,0,,
PORTOGRUARO CAORLE,IR,Fri,6.0,6.0,1,1,1,1,0,45.781438,12.832375
S. DONA` DI PIAVE,IR,Fri,4.0,4.0,1,1,1,0,0,45.63983,12.559791
MONFALCONE,IR,Fri,9.0,9.0,1,1,1,1,0,45.807683,13.542929
QUARTO D`ALTINO,IR,Fri,5.0,5.0,1,1,1,0,0,45.574576,12.365032
S. STINO DI LIVENZA,IR,Fri,4.0,4.0,1,1,1,0,0,45.721088,12.682769
SAN GIORGIO DI NOGARO,IR,Fri,5.0,5.0,1,1,1,0,0,45.82917,13.210315
TRIESTE CENTRALE,IR,Fri,9.0,9.0,1,1,1,1,0,45.657456,13.771873
VENEZIA MESTRE,IR,Fri,-1.0,-1.0,1,1,0,0,0,45.482123,12.232069
