stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
RIMINI,NCL,Fri,52.5,24.0,2,2,2,2,2,44.064176,12.574093
CASERTA,NCL,Fri,83.0,83.0,1,1,1,1,1,41.068655,14.328457
PADOVA CAMPO MARTE,NCL,Fri,92.0,92.0,1,1,1,1,1,,
FAENZA,NCL,Fri,42.5,39.0,2,2,2,2,2,44.293594,11.883268
FALCONARA MARITTIMA,NCL,Fri,-50.0,-50.0,1,1,0,0,0,43.630577,13.397378
S.PIETRO IN CASALE,NCL,Fri,104.0,104.0,1,1,1,1,1,44.697928,11.404763
VENEZIA MESTRE,NCL,Fri,-2.0,-2.0,1,1,0,0,0,45.482123,12.232069
BARI PARCO NORD,NCL,Fri,57.0,57.0,1,1,1,1,1,41.123916,16.837018
FANO,NCL,Fri,-38.0,-38.0,1,1,0,0,0,43.842977,13.02478
FOGGIA,NCL,Fri,39.0,39.0,1,1,1,1,1,41.466,15.555816
SENIGALLIA,NCL,Fri,-58.0,-58.0,1,1,0,0,0,43.716277,13.221652
