stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ABBADIA LARIANA,REG,Fri,0.6656346749226006,1.0,28,323,35,23,9,45.895864,9.335175
ABBIATEGRASSO,REG,Fri,3.021505376344086,2.0,56,558,175,96,33,45.400631,8.921305
ACQUI TERME,REG,Fri,3.6455981941309257,3.0,41,443,179,83,19,44.67407,8.474482
AFRICO NUOVO,REG,Fri,4.95,2.0,10,120,44,29,13,38.053759,16.144283
AGRIGENTO BASSA,REG,Fri,1.9850746268656716,1.0,38,402,77,39,14,37.319148,13.588094
AGRIGENTO CENTRALE,REG,Fri,2.0579710144927534,1.0,20,207,48,22,12,37.309051,13.584412
ALANNO,REG,Fri,5.665517241379311,5.0,30,290,257,102,14,42.287185,14.019595
ALASSIO,REG,Fri,3.916239316239316,3.0,58,585,273,169,41,44.007889,8.17112
ALBA ADRIATICA NERETO CONTR.,REG,Fri,3.79136690647482,2.0,27,278,97,63,15,42.83438,13.91733
ALBACINA,REG,Fri,2.7590579710144927,2.0,56,552,154,74,16,43.345686,12.986501
ALBONESE,REG,Fri,3.556,2.0,28,250,72,35,13,45.297785,8.714601
ALCANTARA,REG,Fri,1.7202970297029703,1.0,41,404,90,48,14,37.82145,15.251158
ALI` TERME,REG,Fri,3.55632183908046,1.0,48,435,143,97,35,38.013952,15.435184
ALTAVILLA M.,REG,Fri,0.15164835164835164,0.0,50,455,28,9,4,38.048392,13.554421
ALTOPASCIO,REG,Fri,4.4578125,4.0,63,640,345,204,41,43.817418,10.672754
AMANTEA,REG,Fri,0.7473684210526316,0.0,26,285,32,20,8,39.134353,16.068448
ANAGNI-FIUGGI,REG,Fri,1.3544891640866874,1.0,74,646,102,52,11,41.71037,13.09597
ANNONE VENETO,REG,Fri,2.5984848484848486,2.0,22,264,46,24,9,45.774904,12.680334
ANTIGNANO,REG,Fri,5.166666666666667,2.0,4,6,3,2,1,43.492482,10.328827
ANZIO COLONIA,REG,Fri,1.9446808510638298,2.0,52,470,52,15,6,41.459893,12.617442
ANZOLA,REG,Fri,4.166994106090374,2.0,43,509,166,113,45,,
APPIANO,REG,Fri,2.3415744957709825,1.0,145,1537,258,102,34,41.909342,12.43838
ARBOSTELLA,REG,Fri,0.6052631578947368,0.0,36,38,1,1,0,40.677263,15.623814
ARDORE,REG,Fri,3.0625,1.0,12,144,33,23,10,38.175698,16.207311
ARECHI,REG,Fri,0.08658008658008658,0.0,32,231,1,1,0,,
ARGENTA,REG,Fri,2.8948863636363638,2.0,36,352,80,38,16,44.616867,11.841267
ASCIANO MONTE OLIVETO MAGGIORE,REG,Fri,3.49,3.0,38,300,116,48,6,43.231706,11.563621
ASSEMINI CARMINE,REG,Fri,0.3264705882352941,0.0,35,340,25,6,1,,
AUGUSTA,REG,Fri,2.222707423580786,1.0,28,229,56,44,18,37.24334,15.218628
AVIO,REG,Fri,13.666666666666666,8.0,3,3,3,3,1,45.733892,10.955842
BAGNOLI AGNANO TERME,REG,Fri,0.8992248062015504,0.0,51,258,15,12,6,40.819444,14.166694
BALVANO R.,REG,Fri,2.391304347826087,2.0,3,23,9,2,0,40.649993,15.495304
BALZOLA,REG,Fri,2.3962848297213624,1.0,27,323,70,32,4,45.173985,8.402174
BARBIANO,REG,Fri,5.541666666666667,3.0,5,48,21,14,5,44.387263,11.878086
BARCO,REG,Fri,0.19428571428571428,0.0,20,175,16,2,2,,
BARGA GALLICANO,REG,Fri,3.5,3.0,34,322,126,59,7,44.068114,10.451938
