stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
ANCONA,,Mon,6.852739726027397,3.0,25,292,141,114,69,43.607734,13.497665
BARI CENTRALE,,Mon,4.2507552870090635,1.0,28,331,124,98,64,41.11774,16.869601
BATTIPAGLIA,,Mon,3.5223880597014925,1.0,6,67,22,18,10,40.605789,14.98324
BOLOGNA C.LE,,Mon,6.962264150943396,4.0,27,318,168,133,76,44.50626,11.342267
CERVIGNANO A.G.,,Mon,1.12,1.0,5,50,13,5,1,45.823948,13.342866
CIVITANOVA MARCHE,,Mon,10.346153846153847,6.0,2,26,18,14,8,43.3091,13.7257
CIVITAVECCHIA,,Mon,2.9692307692307693,1.0,11,130,51,39,17,42.088287,11.79815
FABRIANO,,Mon,4.12,2.0,2,25,8,6,2,43.345429,12.905336
FAENZA,,Mon,11.441176470588236,8.0,6,68,48,42,29,44.293594,11.883268
FALCONARA MARITTIMA,,Mon,6.32,2.0,2,25,8,7,3,43.630577,13.397378
FOGGIA,,Mon,8.05050505050505,5.0,33,396,238,182,107,41.466,15.555816
FOLIGNO,,Mon,5.48,1.0,2,25,6,6,3,42.954261,12.711096
GENOVA BRIGNOLE,,Mon,3.771689497716895,1.0,18,219,66,49,25,44.407213,8.947553
LAMEZIA TERME CENTRALE,,Mon,4.825842696629214,1.0,16,178,54,42,20,38.921347,16.255577
LECCE,,Mon,4.708955223880597,1.0,11,134,52,43,28,40.34566,18.165724
MANTOVA,,Mon,1.5384615384615385,-1.0,1,13,2,1,1,45.158746,10.783165
METAPONTO,,Mon,-3.6363636363636362,-4.0,1,11,0,0,0,40.368496,16.815176
MONFALCONE,,Mon,1.9215686274509804,1.0,5,51,13,5,1,45.807683,13.542929
NAPOLI CENTRALE,,Mon,6.691860465116279,3.0,55,688,335,263,156,40.852933,14.272908
PALAZZOLO SULL`OGLIO,,Mon,-1.2857142857142858,-3.0,2,7,2,0,0,45.601486,9.896235
PAOLA,,Mon,3.8374384236453203,0.0,18,203,68,47,24,39.359442,16.033093
PARMA,,Mon,7.972972972972973,5.0,19,222,143,101,54,44.810203,10.32837
PERUGIA,,Mon,-1.7692307692307692,-4.0,1,13,2,1,0,43.103808,12.375567
PESCHIERA DEL GARDA,,Mon,4.295880149812734,3.0,21,267,119,68,25,45.438502,10.702509
PORTOGRUARO CAORLE,,Mon,1.7307692307692308,1.0,2,26,7,2,1,45.781438,12.832375
REGGIO CALABRIA CENTRALE,,Mon,3.652173913043478,-2.0,8,92,25,21,10,38.103884,15.635844
REGGIO EMILIA,,Mon,9.27927927927928,7.0,19,222,154,123,66,44.697793,10.643093
ROSARNO,,Mon,5.52808988764045,1.0,16,178,58,45,22,38.488593,15.970149
ROVIGO,,Mon,2.298611111111111,0.0,12,144,30,21,10,45.076993,11.780892
SARZANA,,Mon,4.0,1.0,2,26,12,5,3,44.108865,9.960657
SCALEA S.DOMENICA TALAO,,Mon,6.403846153846154,5.0,6,52,33,22,10,39.8083,15.80139
TORANO LATTARICO,,Mon,4.6,0.0,2,25,9,8,6,39.49455,16.210509
TORINO LINGOTTO,,Mon,3.923076923076923,1.0,2,26,10,9,3,45.0266,7.657469
